Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	guanyl-nucleotide exchange factor activity (GO:0005085)	1.3579815970852546e-09	5.316087385890118	108.53997214748705	DOCK4,ARHGEF15,DENND4A,DOCK8,DENND3,RASGRP2,KALRN,DOCK11,PREX1,ABR,AKAP13,FGD4,FGD5,RASGEF1B,SPATA13,ELMO1,SH3BP5,RAPGEF2,NUCB1,RIN3,ARHGEF2,DOCK2,RAPGEF5	7.849133631152771e-07	0	0
2	GTPase activator activity (GO:0005096)	5.602434354699711e-08	3.190971639536835	53.28118364624766	NRP1,DOCK4,DOCK8,LRRK2,ARHGEF10L,ARRB1,DENND3,IQGAP2,RASGRP2,KALRN,ARHGAP44,PREX1,ABR,AKAP13,FGD4,DOCK11,FGD5,RGS3,RASGEF1B,SH3BP5,STARD13,ARHGEF15,DENND4A,RALGAPA2,TBC1D2B,SPATA13,ELMO1,RAPGEF2,NUCB1,RIN3,ARHGEF2,RAPGEF5,DOCK2	1.6191035285082163e-05	0	0
3	calcium ion binding (GO:0005509)	3.4541112073013995e-06	2.7491607824979742	34.573295847270515	MCTP1,LTBP4,LPL,FBLN1,RASGRP2,AIF1,THBS1,SLC8A1,TTN,CDH5,CLEC3B,SCUBE1,ANXA6,ENPP2,CAPN3,EFHD1,SLIT3,SLIT2,TGM2,PLA2G4F,TNNC1,ANXA5,SYT15,NAALADL1,SELP,RGN,CDHR3,SPARCL1,RAPGEF2,NUCB1	0.0006654920926067362	0	0
4	MHC class II receptor activity (GO:0032395)	9.929544695474835e-06	28.52732644017725	328.63468455225603	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0014348192084961138	0	0
5	metal ion binding (GO:0046872)	1.948657759307219e-05	2.251311369509044	24.417238311716254	MCTP1,LRRK2,LTBP4,LPL,FBLN1,RASGRP2,AIF1,THBS1,SLC8A1,TTN,CDH5,CLEC3B,SCUBE1,ANXA6,ENPP2,EFHD1,CAPN3,SLIT3,SLIT2,TGM2,CSGALNACT1,PLA2G4F,TNNC1,ANXA5,PDE2A,SYT15,IRAK3,SEPTIN4,NAALADL1,SELP,RAP2A,RGN,CDHR3,SPARCL1,RAPGEF2,NUCB1,FBP1	0.002252648369759145	0	0
6	transforming growth factor beta binding (GO:0050431)	0.00012234308630929087	9.516765285996055	85.73350525104598	ACVRL1,LTBP4,CD36,THBS1,LTBP1,ENG	0.011785717314461687	0	0
7	MHC class II protein complex binding (GO:0023026)	0.00019982520196263115	11.882077794190055	101.21234144870608	CD74,HLA-DMA,CD81,HLA-DOA,HLA-DRB1	0.016499852390628688	0	0
8	actin binding (GO:0003779)	0.00038119666310134373	2.8585604237778153	22.503145475150273	MACF1,PLEKHH2,LRRK2,MICAL2,CGN,SORBS1,IQGAP2,SYNE1,PDLIM2,MLPH,MICAL1,COTL1,PHACTR1,DMD,UTRN,MYH10	0.027541458909072086	0	0
9	transforming growth factor beta-activated receptor activity (GO:0005024)	0.0005330311755656255	14.240412979351033	107.32900497820404	ACVRL1,LTBP4,LTBP1,ENG	0.034232446608547955	0	0
10	LBD domain binding (GO:0050693)	0.0007309420556096504	28.44624447717231	205.4153483953453	CITED2,PPARG,PROX1	0.04224845081423779	0	0
11	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.0009382694939918081	4.397626112759644	30.657933218443407	NRP1,PDGFRA,NRP2,EFEMP1,NTRK3,CRIM1,FGFR4,ROS1	0.047506924103745775	0	0
12	alpha-actinin binding (GO:0051393)	0.0011261982394917235	7.5017492031407915	50.928682991489374	PDLIM2,CACNA1D,PPARG,CACNA1C,TTN	0.047506924103745775	0	0
13	lipoprotein particle binding (GO:0071813)	0.0011261982394917235	7.5017492031407915	50.928682991489374	MSR1,APOA2,LPL,CD36,THBS1	0.047506924103745775	0	0
14	protein tyrosine kinase activity (GO:0004713)	0.0011506867429973025	3.2484367077911105	21.983458709821452	PDGFRA,HCK,FES,PEAK1,NTRK3,AATK,PTK2B,FGFR4,ROS1,HIPK3,TTN	0.047506924103745775	0	0
15	vascular endothelial growth factor-activated receptor activity (GO:0005021)	0.0012467449776138594	21.33357879234168	142.66231646599493	NRP1,PDGFRA,NRP2	0.048041239804054045	0	0
16	FAD binding (GO:0071949)	0.001368657850528019	7.126292466765141	46.99023584819112	STEAP4,MICAL1,CRY2,MICAL2,QSOX1	0.049442764850324686	0	0
