Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	4.696742116449707e-12	13.62586115527292	355.41903369956384	CSF3,CD81,HGF,ITGB2,HBB,HBA2,ITGAL,TNF,THBS1,SELP,IL6,PECAM1,CCL2,CD36,ACKR1,TLR4	1.3103910504894682e-09	0	0
2	Hematopoietic cell lineage	1.1762514093592374e-10	7.357451527783089	168.21722779283078	CSF3,CSF3R,IL4R,CSF1,IL1R1,ITGA1,TNF,EPOR,IL6,HLA-DMA,IL7,CD37,CD36,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,CD55,HLA-DPA1,HLA-DQB1	1.6408707160561363e-08	0	0
3	Hypertrophic cardiomyopathy	8.566451632042795e-09	6.739417035740035	125.1874496647871	EDN1,ACE,LAMA2,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA1C,TNF,SLC8A1,TTN,IL6,DES,SGCA,LMNA,DMD,ITGA9	7.966800017799799e-07	0	0
4	Rheumatoid arthritis	1.437514575239336e-08	6.472378314206569	116.87668730758546	CSF1,ANGPT1,ITGB2,TNFSF13,FOS,ITGAL,TNF,CXCL5,HLA-DMA,IL6,CCL2,HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.002666416229437e-06	0	0
5	Complement and coagulation cascades	2.47146917765333e-08	6.702006354180267	117.39145837611491	C1QB,SERPINA1,VWF,CFH,PROS1,ITGB2,F13A1,C4BPA,TFPI,C2,C3,ITGAX,SERPING1,VSIG4,A2M,CD55	1.379079801130558e-06	0	0
6	Viral myocarditis	8.874363636734366e-08	7.967528543714022	129.37285718277084	LAMA2,CAV1,ITGB2,ITGAL,HLA-DMA,SGCA,DMD,HLA-DOA,HLA-DQA1,CD55,HLA-DRB1,HLA-DPA1,HLA-DQB1	4.12657909108148e-06	0	0
7	Dilated cardiomyopathy	1.4682393262488356e-07	5.777177177177177	90.89828887269037	LAMA2,TNNC1,ITGA1,ADCY4,CACNA2D2,CACNA1D,CACNA1C,TNF,SLC8A1,TTN,PLN,DES,SGCA,LMNA,DMD,ITGA9	5.8519824574775015e-06	0	0
8	Inflammatory bowel disease	2.411101982610773e-07	7.199551569506727	109.7068514380114	IL4R,RORC,NFATC1,TNF,HLA-DMA,IL6,STAT4,HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	8.408718164355072e-06	0	0
9	Cell adhesion molecules	7.125137296667975e-07	4.262876050837747	60.33873691718088	CADM1,ITGB2,ICAM2,PTPRM,ITGAL,SELP,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,HLA-DPA1,ITGA9,HLA-DQB1	2.0621674046788272e-05	0	0
10	Staphylococcus aureus infection	7.39128102035422e-07	5.407983508245877	76.34880029341454	C1QB,CFH,ITGB2,FPR3,ITGAL,C2,C3,SELP,HLA-DMA,HLA-DOA,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.0621674046788272e-05	0	0
11	Osteoclast differentiation	1.5116276654382205e-06	4.463923444976077	59.82694637248275	SPI1,JUND,CSF1,IL1R1,MITF,NFATC1,GAB2,FOS,TNF,SIRPB1,NFKBIA,SOCS3,TYROBP,FOSB,PPARG,JUNB,FCGR2C	3.8340374423387594e-05	0	0
12	Human T-cell leukemia virus 1 infection	1.8400223782806079e-06	3.4050199746059273	44.96578404607895	STAT5A,EGR1,NRP1,SPI1,IL1R1,ITGB2,ADCY4,NFATC1,FOS,ITGAL,TNF,ETS1,ETS2,NFKBIA,HLA-DMA,CCND3,ZFP36,IL6,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	3.9763323970747275e-05	0	0
13	Leishmaniasis	1.8527713678125973e-06	5.845992152466367	77.16024492820426	ITGB2,FOS,TNF,C3,NFKBIA,HLA-DMA,HLA-DOA,TLR4,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	3.9763323970747275e-05	0	0
14	Th17 cell differentiation	3.4598576790233802e-06	4.6996610390456945	59.09486839296281	STAT5A,IL4R,IL1R1,RORC,NFATC1,FOS,NFKBIA,IL6,HLA-DMA,HLA-DOA,IL6ST,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	6.895002088910878e-05	0	0
15	Asthma	6.90262062693741e-06	9.957424848406657	118.33014770219332	HLA-DMA,FCER1G,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00012838874366103583	0	0
16	ECM-receptor interaction	8.584050987508113e-06	4.985729945191829	58.16155424691785	TNXB,VWF,LAMA2,LAMA4,ITGA1,NPNT,HSPG2,THBS1,COL4A2,COL4A1,COL4A3,CD36,ITGA9	0.0001496843890946727	0	0
17	Pertussis	9.43548693157198e-06	5.388246268656716	62.34757415503205	C1QB,C3,IL6,SFTPA2,ITGB2,SERPING1,C4BPA,FOS,TNF,TLR4,CXCL5,C2	0.0001548529914063872	0	0
18	Influenza A	2.501754580513914e-05	3.3734157408856205	35.74448766766242	TPSD1,TPSB2,CIITA,TNF,NFKBIA,SOCS3,NXF1,CCND3,IL6,HLA-DMA,CCL2,HLA-DOA,TPSAB1,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00038777195997965666	0	0
19	AGE-RAGE signaling pathway in diabetic complications	3.496414159373706e-05	4.2953627819871825	44.07552309075155	STAT5A,EGR1,EDN1,NFATC1,TNF,PRKCZ,AGER,IL6,COL4A2,COL4A1,COL4A3,AGTR1,CCL2	0.0005134208160343495	0	0
20	PPAR signaling pathway	3.959071453288967e-05	5.010408534998699	50.79009018788886	FABP1,FABP4,APOA2,ILK,OLR1,LPL,ME3,PPARG,PLIN2,CD36,SORBS1	0.0005522904677338109	0	0
21	Arrhythmogenic right ventricular cardiomyopathy	5.769763807756107e-05	4.7819175360158965	46.672922564619135	DES,SGCA,LAMA2,ITGA1,LMNA,CACNA2D2,CACNA1D,DMD,CACNA1C,SLC8A1,ITGA9	0.0007665543344590257	0	0
22	Th1 and Th2 cell differentiation	6.717047495281461e-05	4.307014925373134	41.382991446046155	STAT5A,NFKBIA,HLA-DMA,IL4R,STAT4,NFATC1,FOS,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0008518437505379671	0	0
23	Graft-versus-host disease	7.416304647271897e-05	6.732064932798045	64.01685182510877	HLA-DMA,IL6,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0008996299985168953	0	0
24	Cytokine-cytokine receptor interaction	8.091516867446098e-05	2.5635549972521003	24.154095258669148	CCR1,ACVRL1,CCL14,CSF3,CSF3R,IL4R,CSF1,IL1R1,TNFSF12,TNFSF13,IL16,TNF,CXCL5,EPOR,CXCL16,BMP4,IL1RL1,IL6,IL7,CCL4,CCL2,TNFSF8,TNFRSF14,IL6ST	0.0009149431454001021	0	0
25	Fluid shear stress and atherosclerosis	8.198415281362922e-05	3.4810417371959184	32.75306805458114	MEF2C,EDN1,IL1R1,CAV2,CAV1,FOS,TNF,PRKCZ,KLF2,BMP4,CDH5,PECAM1,CCL2,ARHGEF2,GSTM5	0.0009149431454001021	0	0
26	Chemokine signaling pathway	0.00010633825682103747	2.9825508932280846	27.287016448651098	CCR1,CCL14,ADCY4,ARRB1,ARRB2,RASGRP2,PRKCZ,GNG11,CXCL5,CXCL16,NFKBIA,PREX1,HCK,CCL4,ELMO1,PTK2B,CCL2,DOCK2	0.0011410912943488252	0	0
