Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	EGFR UP.V1 UP	3.5180997714449942e-12	5.407147427453046	142.60324041234784	EPAS1,TFPI,PAPSS2,ETS2,ACTG2,SEL1L3,RND1,SOCS2,SDCBP,PLAGL1,RNF19A,COTL1,CCL2,A2M,JUNB,CSGALNACT1,CADPS2,EDN1,IL4R,PCDH9,IL1R1,KRT7,SOD2,DUSP6,PTPRE,RCAN1,CRISPLD2,MGAT4A,SLCO2A1,MGLL	6.47330357945879e-10	0	0
2	RPS14 DN.V1 UP	1.671272202567956e-11	5.218904724771935	129.50634254693023	CPM,RBM47,LST1,ITGB2,TNFAIP2,F13A1,PTPN22,ITGAL,AIF1,HLA-DMA,ENPP2,ANXA6,ITGAX,SH3BP5,CTSH,CCL2,ST3GAL6,PTGDS,VWF,SLC31A2,PDE4D,CRIM1,DCN,PTPRE,HCK,TYROBP,MNDA,CD69,HLA-DQB1	1.5375704263625195e-09	0	0
3	ATF2 S UP.V1 DN	2.3902742728127987e-10	4.93574427480916	109.34866427132172	ITIH5,SERPINA3,LAMA2,ADH1B,CELF2,C4BPA,CRIP2,EFEMP1,PLN,CCL2,SVEP1,ST3GAL6,SLIT3,A2M,CSGALNACT1,IL4R,IL1R1,PDE4DIP,ABCA8,FOS,SORBS1,SMAD6,SLC7A7,DES,NFIB,SERPING1,CD302	1.4660348873251832e-08	0	0
4	ERB2 UP.V1 UP	3.8876529692015294e-10	4.814354868739527	104.31765940643304	VIPR1,PARM1,SERPINA1,EPAS1,PAPSS2,SLC9A3R2,SDCBP,MUC1,ANXA6,PCDH1,CSGALNACT1,CAST,CADPS2,EDN1,IL1R1,LIMCH1,LMO3,PDE4D,RFTN1,KRT7,DUSP6,PNRC1,PTPRE,DAB2,NPC2,MGAT4A,FGFR4	1.7883203658327034e-08	0	0
5	LTE2 UP.V1 UP	1.675298832828544e-09	4.628978286734087	93.53903387584516	SERPINA1,EPAS1,PROS1,C4ORF19,ACTG2,SDCBP,DPYSL2,PLAGL1,ANXA6,SASH1,CSGALNACT1,UNC13B,EDN1,PRKCH,PCDH9,IL1R1,GPX3,RFTN1,PNRC1,RCAN1,DIAPH2,DAB2,NPC2,MGAT4A,CD302,FGFR4	6.165099704809042e-08	0	0
6	MEK UP.V1 UP	3.2846484774794778e-09	4.4642037302725965	87.2037833412495	PARM1,EPAS1,FHL1,NEDD9,ARRB1,SDCBP,ARHGDIB,TIMP2,COTL1,PCDH1,CSGALNACT1,CADPS2,MEF2C,EDN1,PRKCH,IL4R,PCDH9,LIMCH1,GPX3,RFTN1,KRT7,MICAL2,PTPRE,NPC2,PPARG,CCNJL	1.0072921997603732e-07	0	0
7	ESC J1 UP LATE.V1 UP	8.678204645812684e-09	4.390163393299225	81.49219360637656	RAMP2,PARM1,CITED2,PTH1R,SEL1L3,PODXL,CA4,CTSH,PCDH1,CD55,PDGFRA,GPX3,CRIM1,APOA2,KRT7,LMO7,HNF1B,RBP4,DAB2,COL4A2,COL4A1,ID2,SLCO2A1,RGL3,HLA-DRB1	2.2811280783279055e-07	0	0
8	ATF2 UP.V1 DN	1.0926766699573923e-07	4.076224138569155	65.33969340220564	CSGALNACT1,ITIH5,SERPINA3,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,SMAD6,SOD2,AFF1,EFEMP1,PLN,SLCO4A1,NFIB,CCL2,SVEP1,SLIT3,CD302,CD68	2.5131563409020024e-06	0	0
9	KRAS.600 UP.V1 UP	1.9593087145709685e-07	3.2808623289053505	50.67457201646969	NRP1,CSF3,DOCK4,RTN1,ITGB2,TFPI,CXCL5,IL1RL1,ST3GAL6,A2M,TGM2,PCDH9,LIMCH1,LMO3,NTRK3,PDE2A,LAPTM5,ETV1,RNASE1,GNG11,DUSP6,RBP4,ZEB1,NAV3,SLCO4A1,MGAT4A,TLR4,KCNK3,CCNJL	4.005697816456202e-06	0	0
10	CRX DN.V1 DN	7.093589608292834e-07	4.487380556709597	63.536391172741354	CADPS2,EGR1,SERPINA3,PPP1R14A,MYOCD,STEAP4,RNASE4,GNG11,SEL1L3,SOCS3,RBP4,COL4A2,GLIPR2,SERPING1,TAGLN2,RGL3,JUNB,TGM2	1.3052204879258813e-05	0	0
11	RAF UP.V1 UP	1.0069617785140392e-06	3.667432950191571	50.64201525130941	CCR1,ZNF331,CSGALNACT1,CAST,PRKCH,SLC31A2,HPGD,EPAS1,HEG1,PDE4D,C4ORF19,CRIM1,MICAL2,TBC1D2B,SOCS2,SDCBP,RCAN1,CRISPLD2,NPC2,GJA5,COTL1,PPARG	1.684372429514393e-05	0	0
12	ESC V6.5 UP LATE.V1 UP	2.268076473263236e-06	3.5997905271732806	46.78496000544337	RAMP2,PARM1,GPX3,TNNC1,KRT7,HNF1B,PTH1R,SH3RF1,SEL1L3,RBP4,DAB2,COL4A2,COL4A1,PODXL,PLAGL1,CA4,CTSH,RGL3,SLIT3,ZNF521,CD55	3.4777172590036286e-05	0	0
13	E2F1 UP.V1 DN	2.917794596721709e-06	3.5364493543960878	45.070924206687856	SERPINA3,PDGFRA,TNXB,CSF1,PLXND1,IL1R1,LAMA4,PDE4DIP,CRIP2,CXCL5,KLF2,C3,IL1RL1,DAB2,CCL2,PLIN2,APBB2,IL6ST,SASH1,RUNX1T1,TGM2	3.755572083313305e-05	0	0
14	CORDENONSI YAP CONSERVED SIGNATURE	2.955339921119791e-06	6.868139700641483	87.44444643420266	DAB2,PDLIM2,ITGB2,COL4A3,CRIM1,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	3.755572083313305e-05	0	0
15	P53 DN.V2 UP	3.061607676614107e-06	4.001204819277109	50.80157865457239	CD83,NTRK3,RORC,C4BPA,FPR3,CXCL5,POU6F1,HS3ST2,NFKBIA,CA3,CCL4,PTK2B,ME3,CD69,PCDH1,CD68,APOL3,KCNK3	3.755572083313305e-05	0	0
16	HINATA NFKB IMMU INF	1.3796112707450748e-05	15.578536847767618	174.34133282475455	NFKBIA,IL6,CD83,TNFAIP2,CCL2,OLR1	0.0001586552961356836	0	0
17	LEF1 UP.V1 DN	2.8501080889853372e-05	3.2088151499916204	33.582074901912755	MEF2C,RBM47,KDM5D,LIMCH1,PROS1,TNNC1,HNF1B,CXCL5,PAPSS2,SELENBP1,RBP4,SH3BGRL,BDH2,KCNQ1,STAT4,EFHD1,CTSH,OLR1,CFTR	0.00030330801474906294	0	0
18	KRAS.50 UP.V1 UP	3.0122173703863804e-05	6.6106983655274885	68.81901597971179	IL1RL1,DOCK4,RBP4,LMO3,ITGB2,ST3GAL6,ETV1,A2M,CXCL5	0.00030330801474906294	0	0
19	P53 DN.V1 DN	3.296826247272423e-05	3.1713877191605855	32.72861090543763	NRP2,IL1R1,PTPRM,MITF,ITGAL,FBLN5,SOCS3,NR4A1,NAV3,APOC1,STAT4,CAPN3,ST3GAL5,ST3GAL6,PLIN2,VIM,DOCK2,MGLL,SLC19A2	0.00030330801474906294	0	0
20	TGFB UP.V1 UP	3.296826247272423e-05	3.1713877191605855	32.72861090543763	CDK17,PHLDB1,CD163,EDN1,TAGLN,JMJD1C,TBC1D2B,RNASE4,SMAD6,ETS2,HS3ST2,IL1RL1,HRH1,SLCO2A1,PMP22,RAPGEF2,TRIB1,JUNB,LMCD1	0.00030330801474906294	0	0
21	KRAS.KIDNEY UP.V1 UP	3.6502222747906976e-05	3.5736201317596668	36.51574152897031	MEF2C,RTN1,PCDH9,LIMCH1,LMO3,PLCL1,AQP4,ANK2,ETV1,SORBS1,DUSP6,PECAM1,SPARCL1,ST3GAL6,A2M,ASPA	0.00030529131752794926	0	0
22	KRAS.LUNG.BREAST UP.V1 UP	3.6502222747906976e-05	3.5736201317596668	36.51574152897031	CSF3,DOCK4,PDE2A,SEMA3B,ETS1,RNASE1,CXCL5,IL1RL1,RBP4,NAV3,SLCO4A1,ID2,ST3GAL6,CD37,A2M,MGLL	0.00030529131752794926	0	0
23	KRAS.300 UP.V1 UP	3.97247924513635e-05	3.545945945945946	35.9329676002428	CSF3,DOCK4,RTN1,LMO3,PDE2A,ITGB2,ETV1,TFPI,RNASE1,CXCL5,DUSP6,IL1RL1,RBP4,NAV3,ST3GAL6,A2M	0.000317798339610908	0	0
24	KRAS.600.LUNG.BREAST UP.V1 UP	5.548771760455297e-05	2.632495164410058	25.796738504443333	PPP1R15A,CSF3,DOCK4,PDE2A,SEMA3B,LPL,TFPI,RNASE1,GNG11,ETS1,CXCL5,CLDN5,IL1RL1,RBP4,NAV3,SLCO4A1,ID2,TRIM46,ST3GAL6,CD37,SLIT2,A2M,FBP1,MGLL	0.0004254058349682394	0	0
25	CSR LATE UP.V1 DN	7.409035757293117e-05	3.202172096908939	30.453377646997616	ACVRL1,ANKRD29,SFTPB,TNXB,CFH,TSC22D3,DDX60L,TBC1D2B,ACCS,SOD2,CLEC3B,CCL2,SVEP1,PDE5A,VAMP5,PRKG1,APOL3	0.0005453050317367734	0	0
26	BMI1 DN MEL18 DN.V1 UP	0.0001324310856519499	3.3193403298350823	29.63987738780851	NRP2,EDN1,TAGLN,CSF1,GFPT2,LSAMP,ADRB2,GAB2,ZEB2,ABLIM3,CRISPLD2,PODXL,TNIP3,APBB2,MGLL	0.0009372046061522608	0	0
27	BMI1 DN.V1 UP	0.00015439304331864507	3.2687065558130026	28.68619807900409	NRP2,EDN1,TAGLN,CSF1,GFPT2,LTBP4,LSAMP,ADRB2,BMP4,GPRC5A,CRISPLD2,PODXL,FES,SLCO4A1,SLCO2A1	0.0010521599989122478	0	0
28	GCNP SHH UP EARLY.V1 DN	0.00022585651977831062	3.009283793597519	25.264775001831723	EGR1,IL1R1,CITED2,SLC43A3,ANKRD44,WWC2,C4BPA,ETS1,LYST,NR4A2,CNN1,NR5A2,ID2,MGP,CCL2,AMOTL2	0.0014841999871146126	0	0
29	JNK DN.V1 UP	0.00032359237552864403	2.7963995703544575	22.471939470494274	STARD13,CD83,BEAN1,ELN,TNNC1,HNF1B,PTPN22,PAPSS2,SYNE1,TBX2,SLC7A7,SLCO2B1,CCL4,PECAM1,S1PR1,EFHD1,CD37	0.00198469990324235	0	0
30	IL2 UP.V1 UP	0.00032359237552864403	2.7963995703544575	22.471939470494274	EGR1,CD52,LMO3,HEG1,AATK,PTH1R,FOS,DUSP6,SOCS2,CLDN5,RGS3,SLCO4A1,CD69,TRIB1,JUNB,ASPA,ITGA9	0.00198469990324235	0	0
31	KRAS.LUNG UP.V1 UP	0.0003364668655949756	3.166980998632656	25.32638150756594	NRP1,CSF3,DOCK4,EGFL7,NDNF,ETS1,RNASE1,CXCL5,IL1RL1,RBP4,NAV3,SLCO4A1,ST3GAL6,DOCK2	0.0019970936538540487	0	0
32	KRAS.KIDNEY UP.V1 DN	0.00036182917865932646	3.142075224550898	24.898867168024854	SEMA5A,ITIH5,EGFL7,ACE,ABCA3,IFI30,ETS1,BMP4,CNN1,IL6,CLEC3B,TYROBP,EFHD1,FOLR2	0.0020805177772911273	0	0
33	ESC J1 UP EARLY.V1 DN	0.0004320322481993645	2.823191289448958	21.87129206569601	EGR1,NAPSA,EDN1,TAGLN,WSB1,ANXA5,RNASE4,PTPN22,ARHGEF10L,DUSP6,BMP4,CNN1,SOCS3,ZFP36,JUNB,LIMS2	0.002408907080869184	0	0
34	GCNP SHH UP LATE.V1 DN	0.00045956447350198993	2.8058302204643666	21.56345427126961	CD52,NRP2,EDN1,IL4R,SLC11A1,TNNC1,ADRB2,PTH1R,HSPG2,AGER,LGALS4,CNN1,FCGRT,S1PR1,AMOTL2,RBKS	0.002487054797775475	0	0
35	BMI1 DN MEL18 DN.V1 DN	0.0005145944791883276	3.0231641979199497	22.891796509702075	IL1R1,GPX3,LMO3,AK1,FOS,SOCS2,RBP4,FCGRT,ID2,EFHD1,CTSH,PDE5A,A2M,PPARGC1A	0.0027052966905900654	0	0
36	MEL18 DN.V1 DN	0.000550961340020561	3.000446867459112	22.514890968282373	EGR1,IL1R1,AK1,FOS,SOCS2,RBP4,SH3BGRL,PLN,ID2,EFHD1,PDE5A,DMD,A2M,PPARGC1A	0.002816024626771756	0	0
37	NRL DN.V1 DN	0.0006765149536814543	3.0829411110699327	22.501018362703384	MYOCD,PLEKHH2,RNASE4,ABCC9,ADRB2,SOCS3,NR4A1,ALDH2,ARHGDIB,PECAM1,CCL2,RGL3,QSOX1	0.0033642905804699345	0	0
38	STK33 SKM UP	0.0010223485515608586	2.2497680094933328	15.491121386832441	EGR1,RTN1,TNFAIP2,PTPRM,ETV1,FOS,TFPI,GNG11,TNF,NFKBIA,FGD4,ZFP36,FABP4,TYROBP,RNF19A,CCL4,OLR1,VSIG4,CD36,TRIB1,JUNB	0.004759477914038104	0	0
39	P53 DN.V1 UP	0.0010346691117474138	2.583257414718089	17.75646829916831	UNC13B,VIPR1,NR2F1,CRIM1,RNASE4,SMAD6,LTBP1,BMP4,EFEMP1,PODXL,LAMP3,PPARG,APBB2,DMD,ME3,SLIT2	0.004759477914038104	0	0
40	PRC2 EZH2 UP.V1 DN	0.0010346691117474138	2.583257414718089	17.75646829916831	EDN1,MCTP1,PCDH9,GFPT2,AATK,FPR3,ETV1,NR4A2,IL1RL1,PTPRB,ABLIM3,TBXAS1,DMD,TRIB1,SLC19A2,CCNJL	0.004759477914038104	0	0
41	MEL18 DN.V1 UP	0.0010893406549345136	2.9132800822122573	19.87492888826498	NRP1,NRP2,EDN1,CD83,CSF1,GFPT2,LTBP4,LPL,ABLIM3,CRISPLD2,SLCO4A1,SLCO2A1,HLA-DQA1	0.004888748305071964	0	0
42	STK33 UP	0.001163279053531633	2.2246039868292247	15.030564625384958	PPP1R15A,EGR1,NRP1,DOCK4,RTN1,FOS,TFPI,GNG11,TNF,ZEB2,ZFP36,FABP4,TYROBP,RNF19A,CCL4,OLR1,VSIG4,CD36,TRIB1,IL6ST,JUNB	0.0050962701392814405	0	0
43	BCAT.100 UP.V1 UP	0.0012845552812380196	4.759506172839506	31.685663699991977	BMP4,EFEMP1,ENPP2,HBA2,SORBS2,DUSP6,ITGA9	0.005496701668553386	0	0
44	BMI1 DN.V1 DN	0.0013216686753940705	2.846118737091934	18.866523200064382	EGR1,IL1R1,GPX3,LMO3,ETV1,FOS,SOD2,SOCS2,GPR162,SH3BGRL,EFHD1,PDE5A,PPARGC1A	0.005526978097102476	0	0
45	CAMP UP.V1 DN	0.0014243426092084652	2.4982373678025853	16.373559875880353	PHLDB1,CD83,IL4R,STXBP1,CELF2,ETS2,SEL1L3,RAP2A,ZFP36,PTPRC,MYO15B,ID2,TIMP2,FOSB,SVEP1,MYH10	0.005823978668763502	0	0
46	SNF5 DN.V1 DN	0.0015041940974090426	2.6781636726546907	17.406719454587545	CSGALNACT1,SERPINA3,NNMT,GPX3,ESR1,SH3RF1,MYLK,SLC9A3R2,RBP4,EFEMP1,DES,FABP4,RPS6KA2,OLR1	0.00601677638963617	0	0
47	RAPA EARLY UP.V1 UP	0.0015588537195659797	2.5634504176483186	16.56964240399166	PARM1,HSPB6,ARHGEF15,HPGD,LST1,PDE2A,CYP4A11,TNFAIP2,CACNA1C,TIMP2,NUCB1,PIP5K1B,PDE5A,VSIG4,CTSD	0.006102746476598729	0	0
48	RELA DN.V1 UP	0.0017998321281433051	2.740767607491427	17.321820879612567	PPP1R15A,EGR1,KDM5D,LMO7,FOS,SIRPB1,AGPAT4,ZFP36,CCL2,FOSB,PDE5A,JUNB,PRKG1	0.006899356491216003	0	0
49	AKT UP.V1 DN	0.0019288677493538835	2.5033122973397024	15.647759847890981	STAT5A,ITIH5,PDGFRA,CAV2,RORC,LPL,FMO2,AXIN2,KLF2,EFEMP1,ZEB1,TSPAN4,SLIT3,SASH1,KCNK3	0.007243095222063563	0	0
50	IL15 UP.V1 DN	0.0022520664390872887	2.4600128507174985	14.996009721306546	VWF,TSC22D3,PLCL1,TNFAIP2,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,LGALS4,SELP,KCNQ1,MMP19,PTGDS,PRKG1	0.008287604495841223	0	0
51	ESC V6.5 UP EARLY.V1 DN	0.0023507307223768256	2.54149927992117	15.38376898072931	TAGLN,WSB1,CAV1,ANXA5,BMP4,SOCS3,COL4A2,COL4A1,CRY2,MGP,TIMP2,PMP22,CD37,JUNB	0.008481067704261488	0	0
