Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	1.0006578715084712e-08	7.838824866093167	144.39133502207628	CBR1,GSTM3,GSTM2,UGT1A1,GSTP1,AKR1C1,ADH7,ALDH3A1,CYP2S1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	2.1261690961311467e-06	0	0
2	Glutathione metabolism	1.5351401416109364e-08	9.395746112440191	169.0488190581215	GSTM3,GPX2,G6PD,GSTM2,RRM1,RRM2,GSTP1,ODC1,GSR,IDH2,PGD,GGCT,GCLC	2.1261690961311467e-06	0	0
3	Central carbon metabolism in cancer	2.601515183877385e-08	7.9584019769357495	138.99020136449613	G6PD,PDHA1,IDH2,SLC2A1,HK2,SLC7A5,LDHB,LDHA,PKM,PIK3CA,HRAS,TP53,FGFR3,FGFR2	2.4020656864467854e-06	0	0
4	Glycolysis / Gluconeogenesis	1.1965181762093086e-07	7.651833576998051	121.96012550814332	GPI,TPI1,PDHA1,ENO1,ADH7,HK2,ALDH3A1,LDHB,LDHA,PKM,ALDOA,DLD,GAPDH	8.285888370249462e-06	0	0
5	Steroid hormone biosynthesis	3.1309838153080116e-07	7.773197949130391	116.41722977498819	DHRS11,UGT1A1,SRD5A1,HSD17B1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	1.7345650336806384e-05	0	0
6	Drug metabolism	1.2332688294955973e-06	5.133077823911424	69.83984753338764	GSTM3,GSTM2,RRM1,RRM2,UGT1A1,GSTP1,NME2,ADH7,ALDH3A1,UGT1A5,UGT1A3,UMPS,UGT1A9,UGT1A7,UGT1A6	5.693591096171341e-05	0	0
7	RNA transport	5.692540656273798e-06	3.6308910418365925	43.84792518250937	EIF4A2,EIF2B5,EIF5B,PRMT5,NCBP2,THOC3,MAGOHB,SENP2,RANGAP1,FXR1,CLNS1A,SUMO2,TACC3,STRAP,SAP18,PABPC1,RAE1,RAN,EIF4G1	0.0002252619659696917	0	0
8	Ascorbate and aldarate metabolism	2.9377403236275547e-05	9.594391729216825	100.12020995213105	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0010171925870560408	0	0
9	Alzheimer disease	3.737642877132007e-05	2.5301701222753854	25.793744162925552	NDUFB5,ATP2A2,ATP2A1,FZD10,COX5A,RTN4,APH1A,TUBA1C,PPP3R1,PSMD4,PSMD2,HRAS,NDUFA9,TUBB,WNT7B,FZD6,WNT5A,NDUFC2,SDHC,TUBA4A,SEM1,PIK3CA,NDUFS6,VDAC3,PPIF,VDAC2,GAPDH	0.0011503634188506288	0	0
10	Retinol metabolism	4.446215284682202e-05	5.452057113832609	54.634367720172584	UGT1A1,RDH10,CYP2S1,UGT1A5,PNPLA4,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.0012316016338569699	0	0
11	Diabetic cardiomyopathy	6.676943120514048e-05	3.0970552642194433	29.77591064569913	NDUFA9,G6PD,PDHA1,NDUFB5,GSR,SLC2A1,ATP2A2,NDUFC2,SDHC,ATP2A1,COX5A,COL1A1,PIK3CA,NDUFS6,VDAC3,PPIF,VDAC2,GAPDH	0.0016088140659682975	0	0
12	Pentose and glucuronate interconversions	6.96959162152331e-05	8.171311376523104	78.21063503236131	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0016088140659682975	0	0
13	Cell cycle	0.00012858797824234026	3.711533902323376	33.251250805172994	CDKN2A,PLK1,PKMYT1,SMC1A,YWHAZ,CCNB1,CDK7,DBF4,PTTG1,CDK4,MCM4,TP53,BUB1	0.0026699175905161836	0	0
14	Pathways in cancer	0.00013494168327518618	2.127807146955168	18.9601827323811	NOTCH3,CXCL8,GSTP1,SLC2A1,KEAP1,FZD10,PLD1,CKS1B,HEY1,RAC3,HRAS,GSTM3,NQO1,GSTM2,EGLN3,JAG1,JUP,LAMB3,CDKN2A,WNT7B,TXNRD1,FZD6,WNT5A,PGF,MSH6,RAD51,PIK3CA,CDK4,BIRC5,ITGA6,TP53,FGFR3,FGFR2	0.0026699175905161836	0	0
15	Chemical carcinogenesis	0.00018055117430120635	2.7485729386892177	23.6913142924623	GSTM3,CBR1,GSTM2,JAG1,UGT1A1,GSTP1,CACNA1B,AKR1C2,KLF5,PIK3CA,UGT1A5,BIRC5,UGT1A3,KPNA2,UGT1A9,HRAS,UGT1A7,KPNA1,UGT1A6	0.00333417835209561	0	0
16	Hepatocellular carcinoma	0.00024530800122466264	3.11039927522164	25.856736699455904	GSTM3,NQO1,GSTM2,CDKN2A,GSTP1,TXNRD1,WNT7B,WNT5A,FZD6,KEAP1,FZD10,PIK3CA,CDK4,TP53,HRAS	0.003999129819757867	0	0
17	Huntington disease	0.00024543396005734204	2.4694326224458605	20.527115826264986	NDUFA9,GPX2,NDUFB5,TUBB,CACNA1B,NDUFC2,SDHC,COX5A,TUBA4A,SEM1,TUBA1C,PSMD4,NDUFS6,PSMD2,VDAC3,PPIF,POLR2E,TBPL1,VDAC2,POLR2H,POLR2I,TP53	0.003999129819757867	0	0
18	Pentose phosphate pathway	0.00027482085931226994	7.867886178861789	64.5118758576405	GPI,G6PD,TALDO1,PGD,ALDOA,TKT	0.004229187668305488	0	0
19	Human papillomavirus infection	0.00029252360003765156	2.3814935064935066	19.37812981174494	NOTCH3,JAG1,LAMB3,ITGB4,WNT7B,FZD6,WNT5A,SCRIB,FZD10,THBS2,COL1A1,SLC9A3R1,PKM,HEY1,PIK3CA,RHEB,CDK4,PARD3,SPP1,TBPL1,ITGA6,TP53,HRAS	0.004264686168969973	0	0
20	HIF-1 signaling pathway	0.0005788201005490362	3.5478588156574107	26.447580368218972	LDHB,LDHA,EGLN3,PDHA1,PIK3CA,SLC2A1,ENO1,LTBR,ALDOA,GAPDH,HK2	0.00791957205062135	0	0
21	Mismatch repair	0.00060040076918068	8.730609668109668	64.76290450111807	MSH6,RFC4,EXO1,RPA3,POLD2	0.00791957205062135	0	0
22	Parkinson disease	0.0008198412392745301	2.474381340052982	17.583943176599195	NDUFA9,NDUFB5,TUBB,NDUFC2,SDHC,COX5A,TUBA4A,TXN2,SEM1,TUBA1C,UCHL1,PSMD4,NDUFS6,PSMD2,VDAC3,PPIF,VDAC2,TP53	0.010322546512683857	0	0
23	Prion disease	0.000937781200789393	2.376428963821383	16.568448233809974	RYR1,NDUFA9,NDUFB5,TUBB,CACNA1B,NDUFC2,SDHC,COX5A,TUBA4A,SEM1,TUBA1C,PPP3R1,PSMD4,PIK3CA,NDUFS6,PSMD2,VDAC3,PPIF,VDAC2	0.01129414750515921	0	0
24	Cellular senescence	0.0011861309485446604	2.876196172248804	19.377102078656762	CXCL8,CDKN2A,IGFBP3,FOXM1,PPP3R1,CCNB1,PIK3CA,RHEB,CDK4,VDAC3,VDAC2,TP53,HRAS	0.013689928031119621	0	0
25	Fluid shear stress and atherosclerosis	0.0013358936009600442	2.987005934603002	19.768467804227363	GSTM3,NQO1,GSTM2,PIK3CA,GSTP1,GPC1,SUMO2,KEAP1,SDC1,RAC3,TP53,TXN2	0.01480170109863729	0	0
26	Bladder cancer	0.00155872902947572	5.39205574912892	34.85362565803037	CXCL8,CDKN2A,CDK4,HRAS,FGFR3,TP53	0.01599140522832498	0	0
27	Homologous recombination	0.00155872902947572	5.39205574912892	34.85362565803037	SEM1,RAD51,RPA3,POLD2,RBBP8,BRCA1	0.01599140522832498	0	0
28	Pyrimidine metabolism	0.0016667370804996492	4.497440670079107	28.76962158979617	DTYMK,RRM1,RRM2,NME2,UMPS,TYMS,DCTPP1	0.01627026451241741	0	0
29	Signaling pathways regulating pluripotency of stem cells	0.0017033850933577794	2.8951979844319933	18.457286040728167	PIK3CA,DLX5,WNT7B,WNT5A,FZD6,COMMD3-BMI1,HOXA1,PAX6,FZD10,FGFR3,HRAS,FGFR2	0.01627026451241741	0	0
30	Hippo signaling pathway	0.0017645585701384745	2.7409758771929824	17.37738885731282	WNT7B,WNT5A,FZD6,SCRIB,FZD10,BMP7,YWHAZ,PAK1,FRMD6,PARD3,BIRC5,NF2,AJUBA	0.01629275746427858	0	0
31	Bile secretion	0.0019108441253267371	3.5036310820624545	21.933466981334043	ABCC2,UGT1A1,SLC2A1,UGT1A5,UGT1A3,SLC51A,UGT1A9,UGT1A7,UGT1A6	0.016835353887835667	0	0
32	Pathways of neurodegeneration	0.001985138533283624	1.9207589285714286	11.951089932343665	RYR1,NDUFB5,CACNA1B,ATP2A2,ATP2A1,FZD10,COX5A,TUBA1C,PPP3R1,UCHL1,PSMD4,PSMD2,HRAS,NDUFA9,GPX2,WNT7B,TUBB,FZD6,WNT5A,NDUFC2,SDHC,TUBA4A,SEM1,NDUFS6,VDAC3,PPIF,VDAC2	0.016835353887835667	0	0
33	Porphyrin and chlorophyll metabolism	0.002005655878334213	5.100065919578115	31.680508644987952	UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.016835353887835667	0	0
34	Breast cancer	0.0021502133093865825	2.8088305053822293	17.25236566487493	NOTCH3,JAG1,HEY1,PIK3CA,CDK4,WNT7B,WNT5A,FZD6,FZD10,BRCA1,TP53,HRAS	0.017517914314708335	0	0
35	Pyruvate metabolism	0.0031821426109250326	4.601546698393813	26.459816273382007	LDHB,LDHA,PDHA1,PKM,ADH7,DLD	0.02518438580646383	0	0
36	DNA replication	0.004827047105299186	5.0659824046920825	27.019520317267922	FEN1,RFC4,RPA3,POLD2,MCM4	0.03714144578244096	0	0
37	Spinocerebellar ataxia	0.005082644809267799	2.6293715846994536	13.888139619009127	SEM1,RYR1,PSMD4,PIK3CA,PSMD2,PPIF,VDAC3,TBPL1,VDAC2,ATP2A2,ATP2A1	0.038051151680194066	0	0
38	Fanconi anemia pathway	0.006379632570375985	3.9290650406504066	19.860028074956226	FANCI,RAD51,RPA3,FANCA,BRCA1,FANCG	0.0465041637366881	0	0
39	Tight junction	0.006620521148252824	2.412475291016912	12.10479063872534	ACTR3,SLC9A3R1,TUBA1C,CLDN4,HSPA4,CDK4,PARD3,ARPC1A,SCRIB,AMOTL1,NF2,TUBA4A	0.04702267584784698	0	0
