Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MHC class II receptor activity (GO:0032395)	1.1332959365568309e-06	45.1662817551963	618.3435790562996	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.000536048977991381	0	0
2	guanyl-nucleotide exchange factor activity (GO:0005085)	5.239609253576246e-06	4.751537386443047	57.77519574068078	DOCK4,ARHGEF15,DENND4A,DENND3,DOCK11,ABR,AKAP13,FGD5,RASGEF1B,ELMO1,SH3BP5,RAPGEF2,ARHGEF2,RAPGEF5	0.001239167588470782	0	0
3	calcium ion binding (GO:0005509)	9.610640413374567e-06	3.120516753185465	36.050205717669776	MCTP1,TNNC1,LTBP4,LPL,SYT15,FBLN1,AIF1,THBS1,SLC8A1,TTN,SELP,CDH5,CLEC3B,SCUBE1,RGN,ENPP2,SPARCL1,RAPGEF2,CAPN3,SLIT3,SLIT2,TGM2	0.0015152776385087233	0	0
4	GTPase activator activity (GO:0005096)	1.813881597090882e-05	3.077058353317346	33.59365037300405	NRP1,DOCK4,ARHGEF15,DENND4A,RALGAPA2,LRRK2,TBC1D2B,ARHGEF10L,ARRB1,DENND3,ABR,AKAP13,DOCK11,FGD5,RGS3,RASGEF1B,ELMO1,SH3BP5,RAPGEF2,ARHGEF2,RAPGEF5	0.0021449149885599678	0	0
5	metal ion binding (GO:0046872)	3.098904311238188e-05	2.55694920303888	26.545931773310087	MCTP1,LRRK2,LTBP4,LPL,FBLN1,AIF1,THBS1,SLC8A1,TTN,CDH5,CLEC3B,SCUBE1,ENPP2,CAPN3,SLIT3,SLIT2,TGM2,TNNC1,SYT15,IRAK3,SEPTIN4,SELP,RAP2A,RGN,SPARCL1,RAPGEF2,FBP1	0.0029315634784313257	0	0
6	transforming growth factor beta binding (GO:0050431)	0.00014835606228236624	11.877355050443661	104.70951912784743	ACVRL1,LTBP4,CD36,THBS1,ENG	0.010024631065651319	0	0
7	lipoprotein particle binding (GO:0071813)	0.00014835606228236624	11.877355050443661	104.70951912784743	MSR1,APOA2,LPL,CD36,THBS1	0.010024631065651319	0	0
8	vascular endothelial growth factor-activated receptor activity (GO:0005021)	0.00034193385518067036	33.720689655172414	269.1212243029542	NRP1,PDGFRA,NRP2	0.020216839187557133	0	0
9	MHC class II protein complex binding (GO:0023026)	0.00043056164241961543	13.85962424672102	107.41790973568159	CD74,HLA-DMA,HLA-DOA,HLA-DRB1	0.022628406318275344	0	0
10	exopeptidase activity (GO:0008238)	0.0010249343102614616	5.766843971631205	39.69391803878469	CPM,ACE,MME,DPEP2,CTSH,LTA4H	0.04847939287536713	0	0
