Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	4.684343626479845e-12	10.307407407407407	268.88722722540825	CSF3,IL4R,MME,IL1R1,ITGA1,TNF,EPOR,IL6,HLA-DMA,IL7,CD36,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,CD55,HLA-DPA1,HLA-DQB1	1.1945076247523604e-09	0	0
2	Malaria	3.794997109482515e-11	16.14149443561208	387.31116192480584	CSF3,HGF,ITGB2,HBB,HBA2,TNF,THBS1,SELP,IL6,PECAM1,CCL2,CD36,ACKR1	4.8386213145902074e-09	0	0
3	Complement and coagulation cascades	3.9415783860564643e-08	8.280065359477124	141.16765814102624	C1QB,SERPINA1,VWF,F10,ITGB2,C4BPA,TFPI,C2,ITGAX,SERPING1,VSIG4,A2M,CD55	3.3503416281479946e-06	0	0
4	Hypertrophic cardiomyopathy	7.939626436264327e-08	7.7404125286478225	126.54656872466944	EDN1,ACE,TNNC1,ITGA1,CACNA2D2,CACNA1D,TNF,SLC8A1,TTN,IL6,DES,LMNA,ITGA9	4.6099044763954384e-06	0	0
5	Th17 cell differentiation	9.039028385089096e-08	6.912304727125178	112.11156243569408	STAT5A,IL4R,IL1R1,NFATC1,FOS,NFKBIA,IL6,HLA-DMA,HLA-DOA,IL6ST,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	4.6099044763954384e-06	0	0
6	Rheumatoid arthritis	1.1815685070245382e-07	7.449	118.82088249381289	ANGPT1,ITGB2,TNFSF13,FOS,TNF,HLA-DMA,IL6,CCL2,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	5.021666154854287e-06	0	0
7	Cell adhesion molecules	1.6565459240393557e-07	5.580927761022548	87.13703976431854	CADM1,ITGB2,ICAM2,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,HLA-DPA1,ITGA9,HLA-DQB1	6.034560151857654e-06	0	0
8	ECM-receptor interaction	4.780133320423917e-07	7.22238695329874	105.11192731025804	TNXB,VWF,COL4A2,COL4A1,LAMA4,ITGA1,COL4A3,CD36,NPNT,HSPG2,THBS1,ITGA9	1.5236674958851234e-05	0	0
9	Inflammatory bowel disease	1.3978352909625315e-06	8.286745964316058	111.71018946693025	HLA-DMA,IL6,IL4R,NFATC1,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	3.960533324393839e-05	0	0
10	AGE-RAGE signaling pathway in diabetic complications	1.9295810856725078e-06	6.233674775928297	82.02398701615739	STAT5A,IL6,EDN1,COL4A2,COL4A1,COL4A3,AGTR1,CCL2,NFATC1,TNF,PRKCZ,AGER	4.9204317684648944e-05	0	0
11	Graft-versus-host disease	3.048881034277825e-06	10.68563611491108	135.71544231159962	HLA-DMA,IL6,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	7.067860579462231e-05	0	0
12	Asthma	3.842584690800477e-06	13.221771075019335	164.86709372808676	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	8.165492467951014e-05	0	0
13	Th1 and Th2 cell differentiation	5.354713130646725e-06	6.195709370572758	75.20062958232513	STAT5A,NFKBIA,HLA-DMA,IL4R,NFATC1,FOS,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00010503475756268576	0	0
14	Viral myocarditis	5.86693525043178e-06	8.025915261209379	96.68160516820376	HLA-DMA,CAV1,ITGB2,HLA-DOA,HLA-DQA1,CD55,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00010686203491857886	0	0
15	Leishmaniasis	6.779382270988892e-06	6.798367973218022	80.91162331027918	NFKBIA,HLA-DMA,ITGB2,FOS,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00011001793941912241	0	0
16	Human T-cell leukemia virus 1 infection	7.162917696949749e-06	3.8700877213612097	45.84735473011526	STAT5A,NRP1,SPI1,IL1R1,ITGB2,NFATC1,FOS,TNF,ETS1,NFKBIA,HLA-DMA,IL6,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00011001793941912241	0	0
17	Staphylococcus aureus infection	7.334529294608161e-06	5.973513995762239	70.624362087391	C1QB,SELP,HLA-DMA,ITGB2,FPR3,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1,C2	0.00011001793941912241	0	0
18	Intestinal immune network for IgA production	8.689416465649848e-06	9.08	105.81291532103843	HLA-DMA,IL6,TNFSF13,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0001231000665967062	0	0
19	Allograft rejection	1.6156799745836804e-05	10.23254247436569	112.8973761497101	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0002168412597467571	0	0
20	Type I diabetes mellitus	3.754086726367163e-05	8.809100283578243	89.76544035876957	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00047864605761181327	0	0
21	Pertussis	4.151765163557649e-05	6.104268865462895	61.588360727852766	C1QB,IL6,SFTPA2,ITGB2,SERPING1,C4BPA,FOS,TNF,C2	0.0005041429127177145	0	0
22	Dilated cardiomyopathy	4.8177891784174714e-05	5.291241034557705	52.59816522742948	DES,TNNC1,ITGA1,LMNA,CACNA2D2,CACNA1D,TNF,SLC8A1,ITGA9,TTN	0.0005584255638620251	0	0
23	Antigen processing and presentation	5.113572757966724e-05	5.926725448464579	58.562134979179575	CD74,HLA-DMA,IFI30,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0005669395883832673	0	0
24	JAK-STAT signaling pathway	6.032007121138115e-05	3.9852980655349386	38.72054088874752	STAT5A,PDGFRA,CSF3,IL4R,FHL1,LIFR,EPOR,PIAS1,SOCS2,SOCS3,IL6,IL7,IL6ST	0.0006409007566209247	0	0
25	Influenza A	0.00011114999312993378	3.732726600073992	33.98509450779951	TPSD1,TNF,NFKBIA,SOCS3,IL6,HLA-DMA,CCL2,HLA-DOA,TPSAB1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0011337299299253244	0	0
26	Insulin resistance	0.0001310510993996175	4.64047301163456	41.485472516982114	NFKBIA,SOCS3,IL6,RPS6KA2,GFPT2,CD36,TNF,PRKCZ,ACACB,PPARGC1A	0.0012696241854001065	0	0
27	Phagosome	0.00013443079610118774	3.90784708249497	34.83635048302594	MSR1,HLA-DMA,SFTPA2,ITGB2,OLR1,CD36,HLA-DOA,THBS1,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0012696241854001065	0	0
28	PPAR signaling pathway	0.00021134975711756924	5.495701198026779	46.5046025449344	FABP1,FABP4,APOA2,OLR1,LPL,ME3,CD36,SORBS1	0.0019247924308921486	0	0
29	Fluid shear stress and atherosclerosis	0.00024849367378160985	3.9112631733021077	32.463848752248104	CDH5,EDN1,IL1R1,CAV1,PECAM1,CCL2,FOS,ARHGEF2,TNF,PRKCZ,GSTM5	0.0021850305798038106	0	0
30	Pathways in cancer	0.00030243854700401303	2.279665802141852	18.473573772882553	SPI1,EPAS1,LAMA4,ETS1,RUNX1T1,STAT5A,PDGFRA,EDN1,IL4R,HGF,FOS,AXIN2,GNG11,ESR1,EPOR,NFKBIA,IL6,COL4A2,COL4A1,IL7,COL4A3,AGTR1,IL6ST,FGFR4,GSTM5	0.0025707276495341106	0	0
31	PI3K-Akt signaling pathway	0.0003261986645684016	2.60259323905532	20.89362883380395	PDGFRA,CSF3,TNXB,IL4R,VWF,ANGPT1,HGF,LAMA4,ITGA1,GNG11,THBS1,EPOR,IL6,COL4A2,COL4A1,IL7,COL4A3,FGFR4,ITGA9	0.0026832470795142716	0	0
32	Amoebiasis	0.0004049681197888229	4.391833972479134	34.30769915108218	IL6,COL4A2,IL1R1,COL4A1,LAMA4,COL4A3,ITGB2,TNF,SERPINB6	0.0032270897045671826	0	0
33	Osteoclast differentiation	0.0004901206777392326	3.8830976915089064	29.592539664350515	NFKBIA,SOCS3,SPI1,TYROBP,IL1R1,FOSB,NFATC1,FOS,TNF,SIRPB1	0.0037872961461667973	0	0
34	Focal adhesion	0.0005103618011760158	3.152215269086358	23.895023214638158	PDGFRA,TNXB,VWF,HGF,CAV1,LAMA4,ITGA1,THBS1,MYLK,COL4A2,COL4A1,COL4A3,ITGA9	0.0037994472579262312	0	0
35	Lysosome	0.0005214927608918357	3.8499920798352605	29.10137851795527	NAPSA,ASAH1,NPC2,LAMP3,SLC11A1,LAPTM5,CTSH,CD68,LITAF,CTSD	0.0037994472579262312	0	0
36	Coronavirus disease	0.0006296699785984192	2.9298944088627317	21.59424388771548	C1QB,NRP1,CSF3,ACE,VWF,FOS,TNF,C2,SELP,NFKBIA,IL6,AGTR1,CCL2,IL6ST	0.004374941112994941	0	0
37	Tuberculosis	0.000634795377179658	3.2518443997317235	23.940754372095206	CD74,IL6,HLA-DMA,ITGB2,ITGAX,HLA-DOA,TNF,CTSD,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.004374941112994941	0	0
38	Vascular smooth muscle contraction	0.0007043862489444202	3.6925385608996275	26.801123206123535	PPP1R14A,EDN1,PTGIR,RAMP2,PRKCH,AGTR1,CACNA1D,MYH10,PRKG1,MYLK	0.004726802460021767	0	0
39	Toxoplasmosis	0.0008022431798915999	3.9634055265123225	28.251546095150676	NFKBIA,HLA-DMA,LAMA4,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.005245436176214307	0	0
40	Cytokine-cytokine receptor interaction	0.0008463244953890003	2.620462382578267	18.5387433692914	CCR1,ACVRL1,CSF3,IL4R,IL1R1,TNFSF12,TNFSF13,LIFR,TNF,EPOR,CXCL16,IL6,IL7,CCL4,CCL2,IL6ST	0.005395318658104877	0	0
41	Autoimmune thyroid disease	0.0010249343102614616	5.766843971631205	39.69391803878469	HLA-DMA,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.006374591441870066	0	0
42	Transcriptional misregulation in cancer	0.0011162151839219244	3.0331768388106415	20.61896474969145	IL6,SPI1,HPGD,ID2,NFKBIZ,JMJD1C,ETV1,ERG,FLI1,AFF1,DUSP6,RUNX1T1	0.006777020759525969	0	0
43	African trypanosomiasis	0.0012043907181272912	7.047488452655889	47.37167727716597	IL6,LAMA4,HBB,HBA2,TNF	0.007142317049359518	0	0
44	Arrhythmogenic right ventricular cardiomyopathy	0.0014810465878515805	4.522505800464037	29.46415372377644	DES,ITGA1,LMNA,CACNA2D2,CACNA1D,SLC8A1,ITGA9	0.008583338179594387	0	0
45	Relaxin signaling pathway	0.0021631825157181826	3.398951048951049	20.85655761920101	NFKBIA,EDN1,COL4A2,COL4A1,COL4A3,ARRB1,FOS,PRKCZ,GNG11	0.012258034255736369	0	0
46	Systemic lupus erythematosus	0.0029433530977363586	3.236097236097236	18.86064080403008	C1QB,HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,C2,HLA-DPA1,HLA-DQB1	0.016316413911364597	0	0
47	Type II diabetes mellitus	0.0032248409944266275	5.49794400946319	31.54099903322964	SOCS2,SOCS3,CACNA1D,PRKCZ,TNF	0.017496477735718937	0	0
48	Adipocytokine signaling pathway	0.003994041633561362	4.298721340388007	23.741629990895284	NFKBIA,SOCS3,CD36,TNF,ACACB,PPARGC1A	0.021218346178294732	0	0
49	IL-17 signaling pathway	0.004596333983219323	3.635624183267995	19.568733545204548	NFKBIA,CSF3,IL6,CCL2,FOSB,FOS,TNF	0.023674455856096576	0	0
50	Cholesterol metabolism	0.004642050167862074	5.008211444701052	26.90711261997155	NPC2,APOC1,APOA2,LPL,CD36	0.023674455856096576	0	0
51	MAPK signaling pathway	0.005604784813024175	2.273820754716981	11.787792883202416	PDGFRA,ANGPT1,IL1R1,HGF,CACNA2D2,NFATC1,CACNA1D,ARRB1,FOS,TNF,DUSP6,RPS6KA2,RAPGEF2,FGFR4	0.028023924065120873	0	0
52	Axon guidance	0.006968014459545781	2.633938274288198	13.081256799845839	ROBO2,NRP1,RGS3,ABLIM3,SEMA3B,NTN4,SLIT3,SLIT2,PRKCZ,RND1	0.03417007090738797	0	0
53	Chagas disease	0.007151880132998372	3.328098668946147	16.44207210601164	NFKBIA,C1QB,IL6,ACE,CCL2,FOS,TNF	0.03440998931914311	0	0
54	Chemokine signaling pathway	0.009964669210218597	2.487932628119544	11.466158790894626	CCR1,NFKBIA,HCK,CCL4,ELMO1,CCL2,ARRB1,PRKCZ,GNG11,CXCL16	0.04705538238158782	0	0
55	Yersinia infection	0.010694117878971603	2.802668108887687	12.718680016911621	NFKBIA,IL6,RPS6KA2,ELMO1,CCL2,NFATC1,FOS,TNF	0.049581819257050165	0	0
