Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	3.758816366507574e-07	89.68468468468468	1326.7944664261415	NQO1,AKR1C1,AKR1C3,AKR1C2	4.5675203780010904e-05	0	0
2	ketosteroid monooxygenase activity (GO:0047086)	5.67393835776533e-07	398.4	5729.873331959345	AKR1C1,AKR1C3,AKR1C2	4.5675203780010904e-05	0	0
3	androsterone dehydrogenase activity (GO:0047023)	3.1507483381402835e-06	159.336	2018.4478244528507	AKR1C1,AKR1C3,AKR1C2	0.00016909016081352853	0	0
4	bile acid binding (GO:0032052)	4.712860460320133e-06	132.77333333333334	1628.4935483582328	AKR1C1,AKR1C3,AKR1C2	0.00018969263352788536	0	0
5	monocarboxylic acid binding (GO:0033293)	6.216389177899939e-06	39.829829829829826	477.49279882995285	AKR1C1,AKR1C3,AKR1C2,UGT1A6	0.00020016773152837806	0	0
6	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	9.205516370396433e-06	99.57	1154.5846105236014	AKR1C1,AKR1C3,AKR1C2	0.00024701468927230426	0	0
7	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	1.1466814013330388e-05	33.597972972972975	382.2123357587163	AKR1C1,AKR1C3,AKR1C2,CYP4F11	0.0002637367223065989	0	0
8	alcohol dehydrogenase (NADP+) activity (GO:0008106)	3.730359414854815e-05	56.88	579.9724195455716	AKR1C1,AKR1C3,AKR1C2	0.0007507348322395315	0	0
9	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	7.214628107857622e-05	44.23111111111111	421.82391587764994	AKR1C1,AKR1C3,AKR1C2	0.001290616805961197	0	0
10	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.00037278346246466364	12.920221426245522	101.99885389963795	BDH1,AKR1C1,AKR1C3,CBR3	0.006001813745681085	0	0
11	retinal dehydrogenase activity (GO:0001758)	0.0004140822931136557	87.35087719298245	680.4149259453243	AKR1C3,ALDH8A1	0.006060659017390779	0	0
12	carboxylic acid binding (GO:0031406)	0.0005467144208739558	20.930526315789475	157.22140604885882	GCLC,AKR1C1,AKR1C2	0.007335085146725573	0	0
13	aldo-keto reductase (NADP) activity (GO:0004033)	0.0006621298425578926	65.50657894736842	479.511360148814	AKR1C1,AKR1C3	0.00820022343475544	0	0
14	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	0.00220617578300177	32.74013157894737	200.25484053611478	AKR1C1,AKR1C2	0.025371021504520357	0	0
15	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	0.002725898036056179	29.099415204678362	171.83080571225088	AKR1C3,ALDH8A1	0.02925797225366965	0	0
16	disordered domain specific binding (GO:0097718)	0.0036023817908896524	24.93859649122807	140.3085351250561	GAPDH,BCL2L2	0.036248966770827125	0	0
