Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	histone acetyltransferase binding (GO:0035035)	2.928839492649749e-05	350.4035087719298	3657.623672658719	EGR1,CITED2	0.0010543822173539096	0	0
2	LBD domain binding (GO:0050693)	0.002397858969227747	571.0571428571428	3445.2899826083253	CITED2	0.022588685465981313	0	0
3	double-stranded methylated DNA binding (GO:0010385)	0.002397858969227747	571.0571428571428	3445.2899826083253	EGR1	0.022588685465981313	0	0
4	ubiquitination-like modification-dependent protein binding (GO:0140035)	0.0039936462613403625	317.1904761904762	1751.8590547314027	LAPTM5	0.022588685465981313	0	0
5	MHC class II receptor activity (GO:0032395)	0.0039936462613403625	317.1904761904762	1751.8590547314027	HLA-DQB1	0.022588685465981313	0	0
6	ubiquitin-dependent protein binding (GO:0140036)	0.004392244396163033	285.45714285714286	1549.43708775113	LAPTM5	0.022588685465981313	0	0
7	vinculin binding (GO:0017166)	0.004392244396163033	285.45714285714286	1549.43708775113	UTRN	0.022588685465981313	0	0
8	cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	0.0059852428364459065	203.85714285714286	1043.434298452164	CTSH	0.02693359276400658	0	0
9	peptidase activator activity involved in apoptotic process (GO:0016505)	0.00678090602009761	178.35714285714286	890.6521752159383	CTSH	0.02712362408039044	0	0
10	aminopeptidase activity (GO:0004177)	0.010750872860949598	109.7032967032967	497.25962914000377	CTSH	0.038703142299418555	0	0
