Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	4.022804971491527e-14	3.978922776750873	122.72673721408492	HJURP,MCM10,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,CBR1,GPX2,G6PD,ABCC2,UGT1A1,IGFBP3,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,PPIF,TKT,BCAT1,PFN2,LRP8,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,AKR1C3,CYP4F11,TPD52L1,GCLC,TMEM237,PNPLA4,RPL22L1	7.321505048114579e-12	0	0
2	CSR LATE UP.V1 UP	7.870578701069092e-09	4.973239436619719	92.80131551827617	PRMT5,FEN1,DTYMK,RRM2,UBE2C,UHRF1,IGFBP3,FANCA,IMP4,NETO2,KIF22,FOXM1,TUBA4A,ANLN,PSMD2,PBK,BIRC5,ITGA6,FAM83D,UMPS,DCTPP1,EZH2	7.162226617972874e-07	0	0
3	MEL18 DN.V1 UP	1.8595177282699355e-05	3.9925465838509315	43.48924604438316	CA12,JAG1,LAMB3,DDX11,ABCC5,FZD6,ADM,PTHLH,GREM1,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CHST2	0.0008548943386499157	0	0
4	P53 DN.V1 UP	1.878888656373441e-05	3.439009853782581	37.42414779710063	COL17A1,ANXA1,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,TUBA4A,NDC80,UCHL1,KRT19,CALB1,KLF5,KRT15,CD24,PITX1,DSC2	0.0008548943386499157	0	0
5	E2F1 UP.V1 UP	4.727022659964954e-05	3.318377369211413	33.04981053039036	TOP2A,SLBP,FEN1,HMGB3,MCM10,TYMS,NCAPH,SLC9A3R1,DBF4,PRC1,DNAJC21,MCM4,GRSF1,DCTPP1,BUB1,KPNA1,EZH2	0.0017206362482272432	0	0
6	VEGF A UP.V1 DN	6.150951372410412e-05	3.2422854196414406	31.438232746551915	RFC4,RRM2,TWF1,KIF23,KIF22,SMC4,LRP8,NDC80,NUDT21,CCNB1,DBF4,EXO1,CCDC86,BIRC5,MCM4,BUB1,CDKN3	0.0018657885829644915	0	0
7	GCNP SHH UP LATE.V1 DN	9.017549801083767e-05	3.2711821194867	30.466981652401746	GRB7,DLX5,PUS1,SLC2A1,LSR,KLK8,MRPL3,VSNL1,WNK2,GJB6,ESRP1,UBE2V2,S100A11,BCL2L2,MDFI,KPNA1	0.0023445629482817796	0	0
8	RPS14 DN.V1 DN	0.00014108670251639202	3.136133015465493	27.80538165704262	CDCA3,PLK1,KRT13,PYCR1,MCM10,KIF23,MYO19,NCAPH,NLE1,SLC6A8,TRIM29,EXO1,PRC1,PES1,PBK,BCAT1	0.0032097224822479186	0	0
9	RB DN.V1 DN	0.0003557130076547065	3.514114004735021	27.90693685075964	SLC7A5,LAMB3,IGFBP3,STC2,ADAM12,KRT8,LRRC4,RPS2,NDRG1,TUBA4A,CTSC,DUSP14	0.0071933074881285084	0	0
10	MTOR UP.V1 UP	0.0005324064679681004	2.999866452991453	22.613303277301217	HELLS,GPX2,RRM2,KCNE3,HMGCS1,UBE2C,UHRF1,TMPRSS4,SLC2A1,TMEM97,HSPE1,DBF4,BDH1,CCDC86	0.009689797717019426	0	0
