Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	chloride channel activity (GO:0005254)	0.00020950564474475012	128.58709677419355	1089.2304198073584	ANO1,GABRP	0.0029571915936813216	0	0
2	anion channel activity (GO:0005253)	0.00023657532749450573	120.76969696969697	1008.3356546729788	ANO1,GABRP	0.0029571915936813216	0	0
3	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	0.0017489165149326186	832.875	5287.722499803602	JUP	0.014574304291105155	0	0
4	voltage-gated chloride channel activity (GO:0005247)	0.0034952242970889957	370.0740740740741	2093.271349114512	ANO1	0.01657997266695265	0	0
5	protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	0.0034952242970889957	370.0740740740741	2093.271349114512	JUP	0.01657997266695265	0	0
6	voltage-gated anion channel activity (GO:0008308)	0.005587341707821481	221.9777777777778	1151.4545938502376	ANO1	0.01657997266695265	0	0
7	intracellular calcium activated chloride channel activity (GO:0005229)	0.005935661995124462	208.09375	1066.8501922993223	ANO1	0.01657997266695265	0	0
8	intracellular chloride channel activity (GO:0061778)	0.005935661995124462	208.09375	1066.8501922993223	ANO1	0.01657997266695265	0	0
9	calcium activated cation channel activity (GO:0005227)	0.00663198906678106	184.9537037037037	927.7001289942034	ANO1	0.01657997266695265	0	0
10	GABA-A receptor activity (GO:0004890)	0.00663198906678106	184.9537037037037	927.7001289942034	GABRP	0.01657997266695265	0	0
11	GABA receptor activity (GO:0016917)	0.0076756962402828215	158.5079365079365	771.8855078560287	GABRP	0.01744476418246096	0	0
12	ion gated channel activity (GO:0022839)	0.009065844334115208	133.12	626.0954814439701	ANO1	0.01888717569607335	0	0
13	inorganic anion transmembrane transporter activity (GO:0015103)	0.01010736011907222	118.83928571428571	546.0060757050519	ANO1	0.01943723099821581	0	0
14	protein homodimerization activity (GO:0042803)	0.019066538308286633	12.213880126182966	48.36477170354719	ANO1,JUP	0.034047389836226134	0	0
15	protein serine/threonine phosphatase activity (GO:0004722)	0.021502267689373616	54.459016393442624	209.10066918631128	LRRK1	0.03583711281562269	0	0
