Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	cadherin binding (GO:0045296)	4.106464288207092e-08	6.18356110120816	105.17073907213337	LAD1,JUP,SCRIB,SLC3A2,NDRG1,YWHAZ,RPL7A,LDHA,CDH3,PKM,TRIM29,PRDX1,MICALL1,PKP3,ALDOA,S100A11	1.211406965021092e-05	0	0
2	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.00013915169554248936	8.354708994708995	74.18936375851078	LDHA,BDH1,AKR1C1,PHGDH,PTGR1,CBR3	0.020524875092517183	0	0
3	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	0.00037430833572903166	25.67761452031115	202.60743722361744	NQO1,AKR1C1,AKR1C2	0.022681466033519705	0	0
4	alcohol dehydrogenase (NADP+) activity (GO:0008106)	0.0004514997950175135	23.842295345104333	183.65566653200563	ALDH3A1,AKR1C1,AKR1C2	0.022681466033519705	0	0
5	carboxylic acid binding (GO:0031406)	0.000505879022430626	12.082455336692625	91.69632715383992	GCLC,SHMT2,AKR1C1,AKR1C2	0.022681466033519705	0	0
6	cadherin binding involved in cell-cell adhesion (GO:0098641)	0.0005382042787614845	22.251685393258427	167.49449663704405	TRIM29,PKP3,S100A11	0.022681466033519705	0	0
7	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	0.0005382042787614845	22.251685393258427	167.49449663704405	AKR1C1,AKR1C2,PTGR1	0.022681466033519705	0	0
8	protein homodimerization activity (GO:0042803)	0.0006950591908760331	2.793492811827018	20.31292083106633	TBX1,GSTM3,NTRK2,TENM2,TPI1,JUP,TENM4,SHMT2,HSPB1,SLC51A,ANO1,DDIT3,MAP3K13,S100A11,UGT1A6	0.023601072360325406	0	0
9	ketosteroid monooxygenase activity (GO:0047086)	0.0008000363511974713	73.8026070763501	526.275571033324	AKR1C1,AKR1C2	0.023601072360325406	0	0
10	L-leucine transmembrane transporter activity (GO:0015190)	0.0008000363511974713	73.8026070763501	526.275571033324	SLC7A5,SLC3A2	0.023601072360325406	0	0
11	branched-chain amino acid transmembrane transporter activity (GO:0015658)	0.0016601426267214953	44.27709497206704	283.4111213058912	SLC7A5,SLC3A2	0.04452200680753101	0	0
12	RNA binding (GO:0003723)	0.0019999141322150065	2.039359554601012	12.673907963141652	NQO1,DDX11,MAZ,HSPB1,RPL35A,SLC3A2,HSPE1,NOL3,LSM4,YWHAZ,MRPL11,HNRNPM,C7ORF50,RPL7A,PKM,SNRPD1,PRDX1,FAM120A,LONP1,PKP3,FKBP4,ALDOA,DAP3,EIF4G1	0.04636484665014711	0	0
13	intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)	0.002200365603735795	36.89571694599628	225.76975296298892	GPI,TPI1	0.04636484665014711	0	0
14	androsterone dehydrogenase activity (GO:0047023)	0.002200365603735795	36.89571694599628	225.76975296298892	AKR1C1,AKR1C2	0.04636484665014711	0	0
15	monocarboxylic acid binding (GO:0033293)	0.002719596812883712	11.912720706260032	70.37167718593865	AKR1C1,AKR1C2,UGT1A6	0.04880056783338446	0	0
16	aromatic amino acid transmembrane transporter activity (GO:0015173)	0.0028122361124323252	31.623304070231445	185.7481836975071	SLC7A5,SLC3A2	0.04880056783338446	0	0
17	bile acid binding (GO:0032052)	0.0028122361124323252	31.623304070231445	185.7481836975071	AKR1C1,AKR1C2	0.04880056783338446	0	0
