Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	1.5939568982546557e-07	15.487410600568237	242.40703199945654	GPI,ALDH3A1,LDHA,TPI1,PKM,PGAM1,ALDOA,HK2	3.522644745142789e-05	0	0
2	Central carbon metabolism in cancer	3.281508509308978e-06	12.61558109833972	159.29955811615997	SLC7A5,LDHA,PKM,PGAM1,SLC2A1,HRAS,HK2	0.00036260669027864204	0	0
3	Human papillomavirus infection	5.070017250824526e-05	4.340487099107789	42.92559980882127	COL1A1,JAG1,PKM,LAMB3,CDK4,ITGB4,PARD3,FZD6,TNC,SPP1,SCRIB,HRAS	0.00361302537670664	0	0
4	Metabolism of xenobiotics by cytochrome P450	6.539412446527856e-05	9.672979591836734	93.1999142479962	ALDH3A1,GSTM3,GSTP1,AKR1C1,CBR3,UGT1A6	0.00361302537670664	0	0
5	Pathways in cancer	0.00010226681148336674	3.3803236200616418	31.05816111739121	GSTM3,NQO1,JAG1,CXCL8,JUP,LAMB3,TXNRD1,GSTP1,FZD6,SLC2A1,KEAP1,PLD1,CKS1B,CDK4,HRAS	0.00452019306756481	0	0
6	Hepatocellular carcinoma	0.0001496635037826795	5.681791907514451	50.04022934884691	GSTM3,NQO1,CDK4,GSTP1,TXNRD1,FZD6,KEAP1,HRAS	0.0051872220181509625	0	0
7	Glutathione metabolism	0.00016430114989618433	10.799278846153847	94.10285897194913	GSTM3,GPX2,GCLC,GSTP1,GSR	0.0051872220181509625	0	0
8	Fructose and mannose metabolism	0.00021626050339852365	15.421780635106176	130.1448207419351	TKFC,TPI1,ALDOA,HK2	0.0059741964063842155	0	0
9	Amoebiasis	0.00033183649681022275	7.043928571428571	56.427983324382815	COL1A1,CXCL8,SERPINB13,LAMB3,PRDX1,HSPB1	0.008148429532784359	0	0
10	ECM-receptor interaction	0.001226975928241545	6.755202628696605	45.28149271475005	COL1A1,LAMB3,ITGB4,TNC,SPP1	0.027116168014138145	0	0
11	Focal adhesion	0.002407833082899894	4.069646877592132	24.53601526679018	COL1A1,PAK1,LAMB3,ITGB4,TNC,SPP1,HRAS	0.04837555557462514	0	0
