Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	LTE2 UP.V1 UP	1.300440115201374e-08	5.887081596988843	106.89749804358941	UNC13B,EDN1,PRKCH,IL1R1,EPAS1,MAOA,GPX3,RFTN1,PNRC1,SDCBP,RCAN1,DIAPH2,DAB2,PLCB4,PLAGL1,ANXA6,FGFR4,SASH1	2.078867240502606e-06	0	0
2	CRX DN.V1 DN	2.2970908734835424e-08	7.049071777708218	123.98638614099325	CADPS2,EGR1,PPP1R14A,STEAP4,RNASE4,GNG11,SEL1L3,SOCS3,COL4A2,GLIPR2,SERPING1,MAP3K8,RGL3,JUNB,TGM2	2.078867240502606e-06	0	0
3	EGFR UP.V1 UP	9.65558834102402e-08	5.4168849882106365	87.49972266921446	CADPS2,EDN1,IL1R1,EPAS1,MAOA,TFPI,DUSP6,PAPSS2,ETS2,SEL1L3,SDCBP,RCAN1,CRISPLD2,PLAGL1,A2M,JUNB,MGLL	5.825538299084493e-06	0	0
4	ERB2 UP.V1 UP	4.56862018086111e-07	5.112906403940887	74.64272964873187	CADPS2,EDN1,IL1R1,LIMCH1,EPAS1,MAOA,LMO3,PDE4D,RFTN1,DUSP6,PAPSS2,PNRC1,SDCBP,DAB2,ANXA6,FGFR4	2.0673006318396524e-05	0	0
5	ATF2 S UP.V1 DN	1.8062097217992319e-06	4.8637302592123675	64.31933071780504	ITIH5,LAMA2,IL1R1,ADH1B,CELF2,PDE4DIP,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,SERPING1,A2M	6.53847919291322e-05	0	0
6	MEL18 DN.V1 DN	3.243822301463433e-06	5.350068587105624	67.61822323018853	EGR1,IL1R1,AK1,FRMD4B,FOS,NDRG2,SH3BGRL,PLN,ID2,STK17B,EPB41L3,PDE5A,A2M	9.78553060941469e-05	0	0
7	ATF2 UP.V1 DN	8.862233994100528e-06	4.500115606936416	52.35304750373596	ITIH5,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,PLN,NFIB	0.0002291520504188851	0	0
8	CAMP UP.V1 DN	1.897911763798257e-05	4.182795698924731	45.47607116299039	RERE,RALGAPA1,STXBP1,CELF2,FRY,ETS2,SEL1L3,ZFP36,MYO15B,ID2,EPB41L3,TIMP2,FOSB,PAM	0.0004294025365593556	0	0
9	RPS14 DN.V1 UP	5.300796757089782e-05	4.025863852679495	39.63490469349399	PDE4D,ITGB2,TNFAIP2,FRY,DCN,TYROBP,ANXA6,ITGAX,SH3BP5,CTSH,MNDA,CD69,PTGDS	0.0010660491255925007	0	0
10	KRAS.KIDNEY UP.V1 UP	7.180846738215101e-05	4.535157075810748	43.272238240060055	MEF2C,LIMCH1,LMO3,EPB41L3,PECAM1,SPARCL1,AQP4,ANK2,SORBS1,A2M,DUSP6	0.001242098507863169	0	0
11	CORDENONSI YAP CONSERVED SIGNATURE	7.548664964914287e-05	7.68078431372549	72.9025847843144	DAB2,PDLIM2,ITGB2,COL4A3,PMP22,TNS1,TGM2	0.001242098507863169	0	0
12	STK33 NOMO UP	0.00010519587181961993	3.2015215413875797	29.324933641111297	DOCK4,CADM1,IL1R1,EPAS1,FOS,GNG11,ZEB2,ZFP36,DAB2,STK17B,OLR1,COL6A3,MAP3K8,A2M,IL6ST,JUNB	0.001586704399945934	0	0
13	ESC V6.5 UP LATE.V1 UP	0.00019676056039090746	3.726634320735444	31.801319680936505	DAB2,COL4A2,COL4A1,PODXL,GPX3,TNNC1,PLAGL1,CTSH,CYBA,RGL3,CD55,SEL1L3	0.002670834763299098	0	0
14	ESC J1 UP LATE.V1 UP	0.00020658390434357662	3.7056246825799897	31.441498801874715	DAB2,COL4A2,COL4A1,PODXL,CITED2,GPX3,ID2,CTSH,LMO7,RGL3,CD55,SEL1L3	0.002670834763299098	0	0
15	E2F1 UP.V1 DN	0.0002274900085261041	3.6643018583626317	30.73764524204684	DAB2,TNXB,PLXND1,IL1R1,LAMA4,CIRBP,PDE4DIP,TCF4,IL6ST,SASH1,RUNX1T1,TGM2	0.0026991782174523894	0	0
16	RAF UP.V1 DN	0.00023860138938805654	3.643981018981019	30.3934116094543	SELENBP1,SH3BGRL,PLCB4,EPB41L2,ID2,TSC22D3,TRPS1,MGP,PMP22,JMJD1C,FOS,TFPI	0.0026991782174523894	0	0
17	RAF UP.V1 UP	0.0002622150172346455	3.604001976284585	29.71984625148426	CCR1,ZNF331,SDCBP,RCAN1,PRKCH,HPGD,CRISPLD2,EPAS1,HEG1,PDE4D,TBC1D2B,FYN	0.002789682276470877	0	0
18	GCNP SHH UP EARLY.V1 DN	0.00027832991031565793	3.8415390683831174	31.449541029672993	CNN1,EGR1,IL1R1,CITED2,SLC43A3,ANKRD44,ID2,MGP,CYBA,LGALS9,ETS1	0.002789682276470877	0	0
19	CSR LATE UP.V1 DN	0.0002928395759831307	3.8171824612040552	31.056159899355418	ACVRL1,ANKRD29,SFTPB,TNXB,CFH,TSC22D3,TBC1D2B,PDE5A,VAMP5,PRKG1,APOL3	0.002789682276470877	0	0
20	BMI1 DN MEL18 DN.V1 DN	0.00036852921317814943	4.020578168171883	31.786653097798414	FCGRT,IL1R1,GPX3,LMO3,ID2,AK1,CTSH,PDE5A,FOS,A2M	0.003335189379262253	0	0
21	ESC J1 UP EARLY.V1 DN	0.000454610201492615	3.6110211790098474	27.790672509759208	CNN1,SOCS3,EGR1,ZFP36,EDN1,WSB1,TRPS1,CIRBP,RNASE4,JUNB,DUSP6	0.0039183069747696815	0	0
22	IL2 UP.V1 UP	0.000815423926303587	3.3494279498536614	23.820469816076415	EGR1,CD52,RGS3,LMO3,HEG1,AATK,FOS,CD69,JUNB,DUSP6,ITGA9	0.006417031767867359	0	0
23	TGFB UP.V1 UP	0.000815423926303587	3.3494279498536614	23.820469816076415	CDK17,EDN1,PMP22,JMJD1C,RAPGEF2,TBC1D2B,RNASE4,SMAD6,JUNB,LMCD1,ETS2	0.006417031767867359	0	0
24	HOXA9 DN.V1 UP	0.0008877669755737327	3.312481617362498	23.276150016864445	TYROBP,CRISPLD2,FCGRT,PECAM1,COL6A3,FYN,MNDA,FOS,FRY,SAMHD1,CLK4	0.006695242607451901	0	0
25	MEK UP.V1 UP	0.0009653457614003066	3.276334124492765	22.747667175335334	CADPS2,SDCBP,MEF2C,EDN1,PRKCH,LIMCH1,EPAS1,MAOA,GPX3,RFTN1,TIMP2	0.00698910331253822	0	0
26	BMI1 DN.V1 DN	0.0013096801096563727	3.6621596244131456	24.309314374615788	EGR1,SH3BGRL,IL1R1,GPX3,LMO3,TRPS1,PDE5A,FOS,NDRG2	0.009117388455684747	0	0
27	RELA DN.V1 UP	0.0016600504048031274	3.53046277665996	22.598165004463002	EGR1,ZFP36,KDM5D,FOSB,LMO7,PDE5A,FOS,JUNB,PRKG1	0.011128486047013556	0	0
28	GCNP SHH UP LATE.V1 DN	0.0017503582766858201	3.234629444998338	20.533216762294263	CNN1,CD52,TBC1D1,EDN1,FCGRT,SLC11A1,TNNC1,ADRB2,HSPG2,AGER	0.011314816002861909	0	0
