Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	9.36659345203102e-10	5.136460554371002	106.78034501976508	CPM,RBM47,VWF,PDE4D,LST1,ITGB2,CRIM1,TNFAIP2,EMP1,PTPN22,FRY,ITGAL,AIF1,DCN,HCK,HLA-DMA,TYROBP,ANXA6,ITGAX,SH3BP5,CTSH,MNDA,CD69,PTGDS	1.7140866017216766e-07	0	0
2	ATF2 S UP.V1 DN	1.4579625465108683e-08	4.776951672862453	86.19360009912118	ITIH5,DGKD,LAMA2,IL1R1,ADH1B,CELF2,PDE4DIP,C4BPA,ABCA8,FOS,SORBS1,SMAD6,SBNO2,EFEMP1,PLN,DES,NFIB,SERPING1,SVEP1,SLIT3,CD302,A2M	1.3340357300574446e-06	0	0
3	LTE2 UP.V1 UP	4.124883558635169e-07	4.198257080610022	61.71882025227797	UNC13B,SERPINA1,IL1R1,EPAS1,GPX3,RFTN1,PNRC1,SDCBP,RCAN1,DIAPH2,DAB2,PLCB4,PLAGL1,MGAT4A,ANXA6,PHACTR2,CD302,FGFR4,TNS3,SASH1	2.5161789707674533e-05	0	0
4	CRX DN.V1 DN	1.1108082890854463e-06	4.8160518444666005	66.03010614397728	CADPS2,EGR1,PPP1R14A,STEAP4,KSR1,RNASE4,GNG11,SEL1L3,SOCS3,RBP4,COL4A2,GLIPR2,SERPING1,MAP3K8,RGL3,TGM2	5.0284763054282224e-05	0	0
5	ATF2 UP.V1 DN	1.3739006298984213e-06	4.028782677581199	54.37993121127109	ITIH5,DGKD,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,EFEMP1,PLN,NFIB,SVEP1,SLIT3,CD302	5.0284763054282224e-05	0	0
6	EGFR UP.V1 UP	2.209437961326009e-06	3.888648097393078	50.6409790807362	CADPS2,MBNL2,IL1R1,EPAS1,ARAP2,CBLB,TFPI,PAPSS2,ETS2,SEL1L3,SOCS2,SDCBP,RCAN1,CRISPLD2,PLAGL1,MGAT4A,A2M,TNS3,MGLL	6.738785782044327e-05	0	0
7	CORDENONSI YAP CONSERVED SIGNATURE	3.6130199429476423e-06	7.502127659574468	94.00891102632548	DAB2,PDLIM2,ITGB2,COL4A3,CRIM1,PMP22,ASAP1,THBS1,TNS1,TGM2	9.445466422277407e-05	0	0
8	ESC V6.5 UP LATE.V1 UP	6.987203549939146e-06	3.720329528876684	44.16563212272632	RAMP2,EPB41,GPX3,TNNC1,CYBA,SH3RF1,SEL1L3,SGCE,RBP4,DAB2,COL4A2,COL4A1,PODXL,PLAGL1,CTSH,RGL3,SLIT3,CD55	0.00015285643342180218	0	0
9	ESC J1 UP LATE.V1 UP	7.517529512547649e-06	3.6986327666744874	43.63747909408397	RAMP2,CITED2,GPX3,CRIM1,ARAP2,SHROOM3,LMO7,SEL1L3,SGCE,RBP4,DAB2,COL4A2,COL4A1,PODXL,ID2,CTSH,RGL3,CD55	0.00015285643342180218	0	0
10	STK33 NOMO UP	9.980454733620861e-06	3.0295890109739085	34.88535967958987	PPP1R15A,NRP1,DOCK4,CADM1,IL1R1,EPAS1,EMP1,FOS,GNG11,ZEB2,ZFP36,DAB2,STK17B,HMOX1,OLR1,COL6A3,HBP1,MAP3K8,SLC12A6,A2M,TPSAB1,IL6ST,CPEB4	0.00018264232162526177	0	0
11	CAMP UP.V1 DN	1.4183019521887326e-05	3.514091074976684	39.22943313425081	RERE,ATP8A1,DST,RALGAPA1,STXBP1,CELF2,FRY,ETS2,SEL1L3,ZFP36,PTPRC,MYO15B,ID2,EPB41L3,TIMP2,FOSB,SVEP1,MYH10	0.00023595387022776188	0	0
12	ERB2 UP.V1 UP	2.817347739323361e-05	3.466501555851908	36.31898585319654	CADPS2,SERPINA1,IL1R1,LIMCH1,EPAS1,LMO3,PDE4D,RFTN1,PAPSS2,PNRC1,DOCK10,SDCBP,SLC6A6,DAB2,MGAT4A,ANXA6,FGFR4	0.00042964553024681253	0	0
13	HOXA9 DN.V1 UP	3.4391620859243875e-05	3.4072166557417987	35.01834245537524	RBM47,USP15,FOS,IFI30,FRY,ARHGAP26,SAMHD1,N4BP2L2,CLK4,HLA-DMA,TYROBP,CRISPLD2,FCGRT,PECAM1,COL6A3,FYN,MNDA	0.00048412820132627917	0	0
14	SNF5 DN.V1 UP	3.9879549325789015e-05	3.521921812203142	35.67582441524823	CSF1R,CD52,USP15,SPI1,FNBP1,ELN,ITGB2,FBLN1,AIF1,INPP5B,SLC6A6,PTPRC,ID2,ABI3BP,EVL,VAMP5	0.0005212826804728135	0	0
15	LEF1 UP.V1 DN	9.328508101293932e-05	3.2565922920892496	30.220689174618485	MEF2C,RBM47,KDM5D,ATP8A1,LIMCH1,TNNC1,PAPSS2,PLAC8,SELENBP1,RBP4,SH3BGRL,STAT4,CTSH,OLR1,TNS3,KIAA0319L	0.0011380779883578597	0	0
16	P53 DN.V1 DN	0.00010552120239607623	3.2192513368983957	29.477392460459843	IL1R1,ITGAL,FBLN5,SOCS3,NR4A1,PLCB4,NAV3,EPB41L3,ALDH1A1,APOC1,STAT4,CAPN3,HMOX1,VIM,DOCK2,MGLL	0.0012068987524051218	0	0
17	E2F1 UP.V1 DN	0.00011214952345768232	3.2008973080757728	29.114329772623606	NOTCH2,TNXB,PLXND1,IL1R1,LAMA4,CIRBP,PDE4DIP,ANKHD1,C3,DAB2,ALDH1A1,TCF4,IL6ST,SASH1,RUNX1T1,TGM2	0.0012072566348679922	0	0
18	RAF UP.V1 UP	0.00013426804575375899	3.1470588235294117	28.058145540021634	CCR1,ZNF331,HPGD,EPAS1,HEG1,PDE4D,CRIM1,TBC1D2B,ARHGAP26,SOCS2,SGCE,SDCBP,RCAN1,CRISPLD2,GJA5,FYN	0.0013650584651632163	0	0
19	BMI1 DN MEL18 DN.V1 DN	0.0002572318125424232	3.4240770553084667	28.301821502429313	IL1R1,GPX3,LMO3,AK1,FOS,SOCS2,RBP4,FCGRT,ID2,CTSH,ITGA7,PDE5A,A2M	0.0024775485102770233	0	0
20	MEL18 DN.V1 DN	0.0002749528656576651	3.3985374771480803	27.86430587231588	EGR1,IL1R1,AK1,FOS,SOCS2,RBP4,SH3BGRL,PLN,ID2,STK17B,EPB41L3,PDE5A,A2M	0.0025158187207676356	0	0
21	GCNP SHH UP EARLY.V1 DN	0.0002981454553323193	3.1902398676592223	25.898141011077993	EGR1,WIPF1,IL1R1,CITED2,SLC43A3,ANKRD44,EMP1,C4BPA,CYBA,ETS1,NR4A2,CNN1,ID2,MGP	0.002575914615090323	0	0
22	IL15 UP.V1 DN	0.00030967279525676017	3.0298820445609436	24.48142970150047	CDKN1C,ATP8A1,VWF,TSC22D3,TNFAIP2,LRP2BP,PNRC1,MYLK,FSTL3,TOM1,MMP19,HBP1,PTGDS,TNS3,PRKG1	0.002575914615090323	0	0
23	RAF UP.V1 DN	0.0003868723509350942	2.9615601455589156	23.270209367498342	TSC22D3,PCGF3,JMJD1C,NEDD4L,FOS,TFPI,MYLK,SELENBP1,SH3BGRL,PLCB4,EPB41L2,ID2,TRPS1,MGP,PMP22	0.0030781582704835758	0	0
24	EIF4E DN	0.0004946852351694988	3.909090909090909	29.754392918801056	C3,STAT5A,TBCK,LRBA,NEDD4L,LMO7,IQGAP1,MYH10,CD55,PARP8	0.0037719749181674284	0	0
25	STK33 UP	0.0006415995240745784	2.4566158910911127	18.05992532511484	PPP1R15A,EGR1,NRP1,DOCK4,EMP1,FOS,TFPI,GNG11,ZEB2,ZFP36,TYROBP,HMOX1,OLR1,COL6A3,HBP1,VSIG4,SLC12A6,IL6ST,CPEB4	0.004696508516225914	0	0
26	ESC J1 UP LATE.V1 DN	0.0007805196273130622	2.872391174716756	20.5535405982596	EGR1,GFPT2,CIRBP,AOAH,RASGRP2,RNPC3,STK4,ACACB,SOCS2,SOCS3,HCK,TRPS1,STAT4,ANKRD10	0.005493657376857322	0	0
27	MTOR UP.N4.V1 DN	0.0011171390515840312	2.75906030654634	18.753289531157773	CD52,TFPI,CLK4,FBLN5,PNRC1,CLN5,ADORA2A,DMXL1,REL,ECHDC2,HBP1,SPRY1,ANKRD36B,TNRC6B	0.007472135284475075	0	0
28	ESC V6.5 UP EARLY.V1 DN	0.0011432775298650388	2.881963367941775	19.522005184180937	WSB1,SERPINF1,EMP1,PBX1,BMP4,SOCS3,COL4A2,COL4A1,MGP,TIMP2,PMP22,CD37,B2M	0.007472135284475075	0	0
29	KRAS.600 UP.V1 UP	0.0012873162151361755	2.366822590158987	15.75166748005256	NRP1,CSF3,DOCK4,LIMCH1,LMO3,NTRK3,PDE2A,ITGB2,LAPTM5,EMP1,TFPI,RNASE1,GNG11,RBP4,NAV3,MGAT4A,A2M,TGM2	0.007898386516520037	0	0
30	MEK UP.V1 UP	0.0012948174617245965	2.7131586362355593	18.040837830542365	CADPS2,MEF2C,LIMCH1,EPAS1,GPX3,RFTN1,NEDD9,CBLB,SGCE,SLC6A6,SDCBP,TIMP2,TNS3,TP53I11	0.007898386516520037	0	0
31	KRAS.600.LUNG.BREAST UP.V1 UP	0.0013384344615237898	2.357933579335793	15.600689033014508	PPP1R15A,CSF3,DOCK4,PDE2A,LPL,TFPI,RNASE1,GNG11,ETS1,HIC1,CLDN5,RBP4,NAV3,ID2,CD37,A2M,FBP1,MGLL	0.007901080853511403	0	0
32	KRAS.KIDNEY UP.V1 UP	0.0025993382007343554	2.886741157599978	17.183322134916892	MEF2C,LIMCH1,LMO3,EPB41L3,ALDH1A1,PECAM1,SPARCL1,EMP1,ANK2,SORBS1,A2M	0.014414511840435972	0	0
33	KRAS.LUNG.BREAST UP.V1 UP	0.0025993382007343554	2.886741157599978	17.183322134916892	CSF3,RBP4,DOCK4,NAV3,ID2,PDE2A,CD37,A2M,ETS1,RNASE1,MGLL	0.014414511840435972	0	0
34	CSR LATE UP.V1 DN	0.003083406507847161	2.6723644091287073	15.450863510853917	ACVRL1,ANKRD29,SFTPB,TNXB,CFH,TSC22D3,SVEP1,TBC1D2B,PDE5A,VAMP5,PRKG1,APOL3	0.01659598208635384	0	0
35	PRC2 EDD UP.V1 DN	0.003317479647376429	2.528780793277243	14.435671412115083	CDKN1C,RABGAP1L,RBM47,MCTP1,PCGF3,AATK,FPR3,BAZ2B,N4BP2L2,TSPAN13,TRPS1,IRF8,PTGDS	0.017345679299139615	0	0
36	LEF1 UP.V1 UP	0.0034663615278050213	2.5147558109166885	14.2452109666606	RAMP2,FNBP1,SLC43A3,EMP1,LPL,HBA2,NR3C1,GNG11,ARHGAP4,CD302,VIM,PTGDS,TGM2	0.017620671099675522	0	0
37	CAMP UP.V1 UP	0.004294331449983798	2.446880896284058	13.33662496570001	PPP1R15A,CD74,ELN,PDE4DIP,CYBA,FOS,SELENBP1,UFM1,STAT4,ELMO1,RAPGEF2,COL6A3,CPEB4	0.021239531225595538	0	0
38	ESC J1 UP EARLY.V1 DN	0.004668929914491946	2.5271646488045807	13.562851361287516	BMP4,CNN1,SOCS3,EGR1,ZFP36,WSB1,TRPS1,CIRBP,LUC7L3,RNASE4,PTPN22,STK4	0.022484583535579635	0	0
