Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ATF2 S UP.V1 DN	1.2551830558912365e-06	9.490208667736757	128.95512991379124	DES,ADH1B,PDE4DIP,SLIT3,SVEP1,ABCA8,FOS,SORBS1,A2M	0.00019329819060725042	0	0
2	RELA DN.V1 UP	2.338640051438971e-05	9.09622219297091	96.99625439944164	PPP1R15A,EGR1,GADD45B,FOSB,LMO7,FOS,PRKG1	0.0018007528396080075	0	0
3	ESC V6.5 UP EARLY.V1 DN	5.849931391848581e-05	7.819144718210139	76.20925905762854	SOCS3,TUBB6,AHNAK,COL4A2,COL4A1,CAV1,KLF4	0.0030029647811489384	0	0
4	ESC J1 UP LATE.V1 UP	0.00011287835384160559	7.004977651361235	63.6696417044279	SGCE,GADD45B,COL4A2,GPX3,COL4A1,LMO7,CRYAB	0.0035914231294652886	0	0
5	TGFB UP.V1 UP	0.00011660464706056131	6.966759282647133	63.09599809363958	EDN1,PLEKHA1,GADD45B,TBC1D2B,KLF4,CRYAB,LMCD1	0.0035914231294652886	0	0
6	CSR LATE UP.V1 DN	0.00043167415764247687	6.680894308943089	51.76249694934134	ACVRL1,TNXB,TBC1D2B,SVEP1,APOL3,PRKG1	0.011079636712823573	0	0
7	ESC V6.5 UP LATE.V1 UP	0.0007748786977937258	5.948671497584541	42.60916835353602	SGCE,COL4A2,GPX3,COL4A1,TNNC1,SLIT3	0.015794565791978292	0	0
8	CYCLIN D1 KE .V1 DN	0.000863528320431944	5.820921985815603	41.0636002205468	ADH1B,CAV1,ALDH1A1,A2M,RAPGEF5,EML1	0.015794565791978292	0	0
9	CAMP UP.V1 DN	0.0010109443148720633	5.639175257731959	38.892661026650636	TJP1,DST,MYO15B,FOSB,SVEP1,MYH10	0.015794565791978292	0	0
10	CRX DN.V1 DN	0.0010256211553232657	7.025460493563758	48.35242866141581	EGR1,SOCS3,TUBB6,COL4A2,GNG11	0.015794565791978292	0	0
11	MEL18 DN.V1 DN	0.0015943703329151504	6.3331622505934435	40.79364851863202	EGR1,FRMD4B,FOS,NDRG2,A2M	0.022321184660812107	0	0
12	ESC J1 UP EARLY.V1 DN	0.0036340622707771468	5.196667721185279	29.191782945554937	EGR1,CNN1,SOCS3,EDN1,KLF4	0.03417593650685973	0	0
13	CORDENONSI YAP CONSERVED SIGNATURE	0.004219307684130407	9.925925925925926	54.275798927284505	GADD45B,SLIT2,TNS1	0.03417593650685973	0	0
14	ESC J1 UP LATE.V1 DN	0.0042758935173182605	4.993917583253079	27.240632805783648	EGR1,SOCS3,EDN1,KLF4,ACACB	0.03417593650685973	0	0
15	ATF2 UP.V1 DN	0.0043737715339486	4.966226434116343	26.977185567587128	PDE4DIP,SLIT3,SVEP1,ABCA8,FOS	0.03417593650685973	0	0
16	CYCLIN D1 UP.V1 UP	0.004473238730526499	4.938837920489297	26.7173479326163	EGR1,COL4A2,NKG7,HBA2,KLF4	0.03417593650685973	0	0
17	P53 DN.V1 DN	0.004887279428154756	4.83221311877545	25.712783379467897	SOCS3,ALDH1A1,FRMD4B,CRYAB,FBLN5	0.03417593650685973	0	0
18	IL15 UP.V1 UP	0.004887279428154756	4.83221311877545	25.712783379467897	ACVRL1,EGR1,GADD45B,HEG1,FOS	0.03417593650685973	0	0
19	IL2 UP.V1 UP	0.004887279428154756	4.83221311877545	25.712783379467897	EGR1,CLDN5,GADD45B,HEG1,FOS	0.03417593650685973	0	0
20	TGFB UP.V1 DN	0.004887279428154756	4.83221311877545	25.712783379467897	FCN3,COL4A1,FRMD4B,ADRB2,FSTL3	0.03417593650685973	0	0
21	E2F1 UP.V1 DN	0.004994902394085424	4.806265859847746	25.47002446290484	TNXB,LAMA4,ALDH1A1,PDE4DIP,TCF4	0.03417593650685973	0	0
22	IL21 UP.V1 UP	0.004994902394085424	4.806265859847746	25.47002446290484	CDH5,HEG1,FAM107A,NKG7,FOSB	0.03417593650685973	0	0
23	KRAS.DF.V1 DN	0.005104198309466064	4.780593175088588	25.230497781552074	TNXB,SEMA6A,HSPB6,ADRB2,KLF4	0.03417593650685973	0	0
24	MEK UP.V1 UP	0.005327864423851956	4.730054277342812	24.760910797650713	SGCE,EDN1,GPX3,FHL1,KLF4	0.034187130053050054	0	0
25	CRX NRL DN.V1 DN	0.006558443790469879	5.702741702741703	28.66769355299666	SGCE,EGR1,RTKN2,ADRB2	0.04040001374929446	0	0
