Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	TGFB UP.V1 UP	3.5448891493270697e-07	8.184439567093014	121.56011512966973	CDK17,EDN1,PLEKHA1,GADD45B,SLCO2A1,TBC1D2B,SMAD6,KLF4,CRYAB,JUNB,LMCD1	5.60092485593677e-05	0	0
2	RELA DN.V1 UP	2.7500400968768863e-06	8.558252895752895	109.57897202302529	PPP1R15A,EGR1,ZFP36,GADD45B,FOSB,LMO7,FOS,JUNB,PRKG1	0.000217253167653274	0	0
3	ATF2 S UP.V1 DN	1.7358380728857497e-05	6.718228059520194	73.64142105672855	ITIH5,DES,ADH1B,SLIT3,SVEP1,ABCA8,FOS,SMAD6,A2M	0.0009142080517198282	0	0
4	ESC V6.5 UP EARLY.V1 DN	6.547574344835413e-05	6.442625634310034	62.0671653520825	SOCS3,TUBB6,AHNAK,COL4A2,COL4A1,CAV1,KLF4,JUNB	0.002586291866209988	0	0
5	CRX DN.V1 DN	9.161782615138248e-05	7.244724409448819	67.36061221754251	SOCS3,EGR1,PPP1R14A,TUBB6,COL4A2,JUNB,GNG11	0.0028951233063836865	0	0
6	ESC J1 UP LATE.V1 UP	0.00013582101477193555	5.768144643708512	51.36055552891275	SGCE,GADD45B,COL4A2,GPX3,COL4A1,SLCO2A1,LMO7,CRYAB	0.0035766200556609693	0	0
7	CSR LATE UP.V1 DN	0.0003965751340451066	5.634355828220859	44.13190924087836	ACVRL1,CLEC3B,TNXB,TBC1D2B,SVEP1,APOL3,PRKG1	0.008951267311303836	0	0
8	ESC J1 UP EARLY.V1 DN	0.000540122813619452	5.337093023255814	40.15476156047568	EGR1,CNN1,SOCS3,ZFP36,EDN1,KLF4,JUNB	0.010667425568984175	0	0
9	E2F1 UP.V1 DN	0.0008427378909101593	4.931863799283154	34.911946606486026	TNXB,LAMA4,ALDH1A1,APBB2,TCF4,SASH1,RUNX1T1	0.01475880325122358	0	0
10	CAMP UP.V1 DN	0.001037419183970233	4.751295336787565	32.64624150228657	TJP1,ZFP36,DST,MYO15B,FOSB,SVEP1,MYH10	0.01475880325122358	0	0
11	CORDENONSI YAP CONSERVED SIGNATURE	0.0010446542626098383	9.761992847453447	67.00699538647548	GADD45B,AMOTL2,SLIT2,TNS1	0.01475880325122358	0	0
12	MEL18 DN.V1 DN	0.001120921765915715	5.5128252961477475	37.45195158009283	EGR1,DMD,FRMD4B,FOS,NDRG2,A2M	0.01475880325122358	0	0
13	STK33 UP	0.0022462845989522193	3.684540209584364	22.470086365545885	PPP1R15A,EGR1,ZFP36,ZEB2,CFL2,FOS,GNG11,JUNB	0.02543163703544731	0	0
14	STK33 NOMO UP	0.002294062096122295	3.6714694701271884	22.313103077171792	PPP1R15A,ZFP36,ZEB2,CFL2,FOS,A2M,GNG11,JUNB	0.02543163703544731	0	0
15	GCNP SHH UP LATE.V1 DN	0.003012562399640545	4.491664763644668	26.07395345143009	CNN1,EDN1,TNNC1,AMOTL2,ADRB2,HSPG2	0.02543163703544731	0	0
16	ESC J1 UP LATE.V1 DN	0.0035397926159472784	4.340618101545254	24.497090544663276	EGR1,SOCS3,EDN1,RNPC3,KLF4,ACACB	0.02543163703544731	0	0
17	ATF2 UP.V1 DN	0.0036339317119588204	4.316417255131536	24.247215379942862	ITIH5,SLIT3,SVEP1,ABCA8,FOS,SMAD6	0.02543163703544731	0	0
18	CYCLIN D1 UP.V1 UP	0.003729919889596535	4.292482352085001	24.000850708453175	EGR1,COL4A2,NKG7,HBA2,KLF4,HSPG2	0.02543163703544731	0	0
19	ESC V6.5 UP LATE.V1 UP	0.003927531445387836	4.245393031960841	23.51839134657148	SGCE,COL4A2,GPX3,COL4A1,TNNC1,SLIT3	0.02543163703544731	0	0
20	IL15 UP.V1 UP	0.004132803493177464	4.199316385387737	23.04920479624105	ACVRL1,EGR1,GADD45B,HEG1,FOS,JUNB	0.02543163703544731	0	0
21	IL2 UP.V1 UP	0.004132803493177464	4.199316385387737	23.04920479624105	EGR1,CLDN5,GADD45B,HEG1,FOS,JUNB	0.02543163703544731	0	0
22	TGFB UP.V1 DN	0.004132803493177464	4.199316385387737	23.04920479624105	FCN3,COL4A1,FRMD4B,ADRB2,HSPG2,FSTL3	0.02543163703544731	0	0
23	EGFR UP.V1 UP	0.004238367382469404	4.176647660870489	22.81943666169328	SDCBP,EDN1,SLCO2A1,A2M,KLF4,JUNB	0.02543163703544731	0	0
24	CYCLIN D1 KE .V1 DN	0.004345912657956186	4.154220092997041	22.5928069600448	ADH1B,CAV1,ALDH1A1,A2M,RAPGEF5,EML1	0.02543163703544731	0	0
25	P53 DN.V1 UP	0.004345912657956186	4.154220092997041	22.5928069600448	VIPR1,INPP1,APBB2,DMD,SLIT2,SMAD6	0.02543163703544731	0	0
26	RAF UP.V1 DN	0.004345912657956186	4.154220092997041	22.5928069600448	B3GALNT1,EPB41L2,CAV1,APBB2,FOS,MYLK	0.02543163703544731	0	0
27	KRAS.DF.V1 DN	0.004345912657956186	4.154220092997041	22.5928069600448	TNXB,SEMA6A,HSPB6,ADRB2,SMAD6,KLF4	0.02543163703544731	0	0
28	MEK UP.V1 UP	0.004567035892424488	4.110073196235622	22.148735986872445	SGCE,SDCBP,EDN1,GPX3,FHL1,KLF4	0.02577113110725247	0	0
29	BMI1 DN.V1 DN	0.005612882470109795	4.6630064369556985	24.166920944047295	EGR1,GPX3,FOS,NDRG2,CES1	0.03058053207852923	0	0
