Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	monocarboxylic acid binding (GO:0033293)	2.7027708773970656e-08	28.399425287356323	494.89983702034857	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	9.000227021732229e-06	0	0
2	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	4.837521201866743e-07	43.85587583148559	637.7386917884229	NQO1,CBR1,AKR1C1,AKR1C3,AKR1C2	8.054472801108128e-05	0	0
3	protein homodimerization activity (GO:0042803)	1.024185090637475e-06	3.6547231270358305	50.40452806875536	TBX1,GSTM3,NTRK2,TENM2,G6PD,GSTM1,TPI1,JUP,TENM4,UGT1A1,HSPB1,SLC51A,EXT1,ANO1,STC2,UGT1A3,TKT,MAP3K13,ECT2,S100A11,UGT1A7,UGT1A6	0.00011368454506075973	0	0
4	UDP-glycosyltransferase activity (GO:0008194)	2.8441679757311997e-06	10.273058884835852	131.18942733498127	EXT1,UGT1A1,HAS3,B4GALNT1,UGT1A3,UGT1A7,B4GALNT4,UGT1A6	0.00023677698397962238	0	0
5	ketosteroid monooxygenase activity (GO:0047086)	1.1235926401387919e-05	143.3913043478261	1634.143829055749	AKR1C1,AKR1C3,AKR1C2	0.0007483126983324353	0	0
6	glucuronosyltransferase activity (GO:0015020)	1.6553620976791752e-05	18.54033771106942	204.1088293206863	EXT1,UGT1A1,UGT1A3,UGT1A7,UGT1A6	0.0009187259642119423	0	0
7	alcohol dehydrogenase (NADP+) activity (GO:0008106)	2.5253723759861522e-05	29.539955190440626	312.72582675505316	ALDH3A1,AKR1C1,AKR1C3,AKR1C2	0.001201355716004841	0	0
8	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	3.6539996271484605e-05	8.495689655172415	86.80133718941744	CBR1,G6PD,BDH1,AKR1C1,AKR1C3,PTGR1,CBR3	0.0013836916670970012	0	0
9	hexosyltransferase activity (GO:0016758)	3.739707208370274e-05	7.021318348051022	71.57474449696154	EXT1,UGT1A1,HAS3,B4GALNT1,UGT1A3,UGT1A7,B4GALNT4,UGT1A6	0.0013836916670970012	0	0
10	androsterone dehydrogenase activity (GO:0047023)	6.147015857232768e-05	57.34782608695652	556.0995026700961	AKR1C1,AKR1C3,AKR1C2	0.0020469562804585114	0	0
11	retinoic acid binding (GO:0001972)	7.448697026604308e-05	21.329018338727078	202.72989513085668	UGT1A1,UGT1A3,UGT1A7,UGT1A6	0.0022549237362356677	0	0
12	bile acid binding (GO:0032052)	9.149144037372248e-05	47.78743961352657	444.3880712269402	AKR1C1,AKR1C3,AKR1C2	0.002538887470370799	0	0
13	aldo-keto reductase (NADP) activity (GO:0004033)	0.0001296906626357424	40.958592132505174	366.5940816539631	ALDH3A1,AKR1C1,AKR1C3	0.0033220762044386325	0	0
14	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.00017694535457729753	35.83695652173913	309.61946397003675	AKR1C1,AKR1C3,AKR1C2	0.004208771648160006	0	0
15	tubulin binding (GO:0015631)	0.00042037716115921904	3.6403979356240663	28.301757712780546	GPAA1,REEP4,PRC1,GJB6,PLK1,PDCD5,BIRC5,ALDOA,FAM83D,CCT5,HDGFL3	0.008905907190450911	0	0
16	retinoid binding (GO:0005501)	0.000427911456598242	12.789644012944985	99.20407934965323	UGT1A1,UGT1A3,UGT1A7,UGT1A6	0.008905907190450911	0	0
17	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.0005346807259030118	11.989077669902912	90.32380206294701	AKR1C1,AKR1C3,AKR1C2,CYP4F11	0.01047345186621782	0	0
18	protein serine/threonine kinase activator activity (GO:0043539)	0.0005946000294937174	11.625183877611063	86.34746684771306	CCNB1,MAP2K2,DBF4,CKS1B	0.010960586584093896	0	0
19	cadherin binding (GO:0045296)	0.0006253788141074595	3.4621499781867535	25.540810060853484	LAD1,CDH3,JUP,PRDX1,FSCN1,SCRIB,SLC3A2,CCT8,ALDOA,YWHAZ,S100A11	0.010960586584093896	0	0
20	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	0.0008288645143685381	19.106280193236714	135.56772933321614	AKR1C1,AKR1C2,PTGR1	0.013800594164236159	0	0
