Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Diabetic cardiomyopathy	2.697256507377918e-06	5.017746913580247	64.34395061011871	NDUFA9,PDHA1,NDUFB5,NDUFA10,SLC2A1,ATP2A2,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,VDAC3,PPIF,GAPDH	0.0006041854576526537	0	0
2	Huntington disease	1.8296540691918114e-05	3.7440077164215095	40.842625945146665	NDUFA9,NDUFB5,NDUFA10,CACNA1B,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,TUBA1C,POLR2D,PPIF,VDAC3,BAX,PSMD1,AP2M1	0.002049212557494829	0	0
3	Parkinson disease	2.7624227295654986e-05	4.026034278959811	42.260546550455636	NDUFA9,NDUFB5,NDUFA10,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,TUBA1C,VDAC3,PPIF,PSMD1,BAX,CALM1	0.0020626089714089056	0	0
4	Prion disease	7.50104238897939e-05	3.648460960960961	34.652657047995284	NDUFA9,NDUFB5,NDUFA10,CACNA1B,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,TUBA1C,VDAC3,PPIF,PSMD1,BAX	0.003556608150389117	0	0
5	Citrate cycle (TCA cycle)	7.938857478547137e-05	13.247811447811447	125.07465578868918	PDHA1,MDH2,SDHC,SDHB,DLD	0.003556608150389117	0	0
6	Alzheimer disease	0.00016749706761105482	3.0658293547811963	26.65599040957219	NDUFA9,NDUFB5,NDUFA10,WNT5A,NDUFC2,ATP2A2,SDHC,COX5A,SDHB,ATP5MC1,TUBA1C,PPIF,VDAC3,PSMD1,CALM1,GAPDH	0.0062532238574793805	0	0
7	One carbon pool by folate	0.0002039883321672588	16.511744966442954	140.30769029553989	ALDH1L1,ATIC,MTHFD2,TYMS	0.006527626629352282	0	0
8	Non-alcoholic fatty liver disease	0.0005946458659239565	4.113516293421853	30.55332537406034	NDUFA9,SREBF1,NDUFB5,NDUFA10,NDUFC2,BAX,SDHC,SDHB,COX5A	0.016650084245870785	0	0
9	Oxidative phosphorylation	0.0009456486253538061	4.260789115646259	29.670599343778196	NDUFA9,NDUFB5,NDUFA10,NDUFC2,SDHC,SDHB,COX5A,ATP5MC1	0.021393417869823836	0	0
10	Pathways of neurodegeneration	0.0009550632977599928	2.505784110932353	17.424553510972473	NDUFA9,NDUFB5,NDUFA10,WNT5A,CACNA1B,NDUFC2,ATP2A2,SDHC,COX5A,SDHB,ATP5MC1,TUBA1C,PPIF,VDAC3,BAX,PSMD1,CALM1	0.021393417869823836	0	0
11	Fanconi anemia pathway	0.0013113969133146395	6.750841750841751	44.80305737225676	FANCI,RAD51,RPA3,BRCA1,FANCG	0.026704809871134477	0	0
12	Glutathione metabolism	0.0016736574657076377	6.360398860398861	40.660401322309106	GSTM4,GGCT,GSTM2,MGST1,PGD	0.031241606026542572	0	0
13	DNA replication	0.002051487385613852	8.249161073825503	51.055626834773676	RNASEH2A,RPA3,MCM4,MCM5	0.03534870572134637	0	0
14	Ribosome	0.0028135819750760237	3.5461224489795917	20.827429926971018	RPL4,MRPL3,RPL35A,RPL22L1,RPL37,MRPL15,MRPL9,MRPL21	0.04501731160121638	0	0
