Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	0.00020162192237120434	4.7974064105701	40.82168901758368	HCK,HLA-DMA,VWF,SPTLC3,ITGB2,CCL2,ST3GAL6,AIF1,TRIM22	0.021348400230978705	0	0
2	CORDENONSI YAP CONSERVED SIGNATURE	0.00032696875496816857	9.257973733583489	74.30121932782042	DAB2,ITGB2,AMOTL2,SLIT2,THBS1	0.021348400230978705	0	0
3	LTE2 UP.V1 UP	0.000918883189492638	4.266782722228267	29.83484478038508	DAB2,SERPINA1,PCDH9,EPAS1,NPC2,MGAT4A,C4ORF19,FGFR4	0.021348400230978705	0	0
4	KRAS.600 UP.V1 UP	0.000945851276948859	3.522202166064982	24.5265913712751	NRP1,CSF3,RTN1,PCDH9,SLCO4A1,MGAT4A,HPN,ITGB2,ST3GAL6,ETV1	0.021348400230978705	0	0
5	ERB2 UP.V1 UP	0.000950576298366195	4.243250554563653	29.5264134161421	VIPR1,DAB2,MUC1,SERPINA1,EPAS1,NPC2,MGAT4A,FGFR4	0.021348400230978705	0	0
6	RAPA EARLY UP.V1 DN	0.000950576298366195	4.243250554563653	29.5264134161421	PLXND1,F10,FXYD1,CRY2,LMNA,NR2F1,CRIP2,TRIM22	0.021348400230978705	0	0
7	P53 DN.V2 UP	0.0009761219863505287	4.805331376864759	33.31018706193772	CD83,CLEC1A,FPR3,ME3,CD68,APOL3,HS3ST2	0.021348400230978705	0	0
8	E2F1 UP.V1 DN	0.0010165904871894621	4.196949424672197	28.922441391447116	PDGFRA,DAB2,PLXND1,NFKBIZ,CCL2,CRIP2,CD3E,RUNX1T1	0.021348400230978705	0	0
9	KRAS.50 UP.V1 UP	0.0016011411974112958	8.714033539276258	56.09257073847333	ITGB2,HPN,ST3GAL6,ETV1	0.02988796901834419	0	0
10	CSR LATE UP.V1 DN	0.0021641558566905844	4.152104929130527	25.47617359315307	CLEC3B,NTN4,CCL2,SVEP1,TBC1D2B,TRIM22,APOL3	0.03635781839240182	0	0
11	GCNP SHH UP LATE.V1 DN	0.0029794888061666605	3.910105640821208	22.741188228201732	LGALS4,IL4R,PPM1M,SLC11A1,S1PR1,AMOTL2,AGER	0.044327013303067854	0	0
12	ATF2 S UP.V1 DN	0.0036772609234103685	3.756704980842912	21.05853704760864	IL4R,TMEM176A,CCL2,SVEP1,ST3GAL6,CRIP2,SMAD6	0.044327013303067854	0	0
13	MEL18 DN.V1 UP	0.00378210041230412	4.2821350762527235	23.88350458475308	NRP1,CD83,SLCO4A1,GFPT2,LTBP4,HLA-DQA1	0.044327013303067854	0	0
14	PTEN DN.V1 UP	0.004128166251012159	3.674287856071964	20.171553653182418	SCEL,ACSS3,FCER1G,ITGB2,NR2F1,CCDC102B,C2	0.044327013303067854	0	0
15	EGFR UP.V1 UP	0.004368748724286289	3.6344086021505375	19.746754641601907	SOCS2,IL4R,PCDH9,EPAS1,MGAT4A,CCL2,RND1	0.044327013303067854	0	0
16	KRAS.300 UP.V1 UP	0.004482485393374827	4.128151260504202	22.323298331451277	CSF3,RTN1,HPN,ITGB2,ST3GAL6,ETV1	0.044327013303067854	0	0
17	P53 DN.V1 UP	0.004492944849527466	3.6147888622533655	19.53882637760705	VIPR1,LAMP3,NR2F1,ME3,SLIT2,SMAD6,CNN3	0.044327013303067854	0	0
18	RAF UP.V1 UP	0.004749322853900127	3.5761722313446453	19.131638939133186	CCR1,SOCS2,EPAS1,NPC2,GJA5,C4ORF19,TBC1D2B	0.044327013303067854	0	0
