Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell adhesion molecules	8.862964296426737e-08	6.832276743373434	110.94797192221557	CADM1,ITGB2,ICAM2,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,HLA-DOA,CD22,HLA-DPA1,ITGA9,HLA-DQB1	1.9941669666960157e-05	0	0
2	Complement and coagulation cascades	8.467811071256531e-07	8.63014301430143	120.66513734502175	SERPINA1,VWF,CFH,ITGB2,ITGAX,C4BPA,VSIG4,TFPI,A2M,CD55	9.526287455163597e-05	0	0
3	Viral myocarditis	4.151873015094504e-06	9.904161412358134	122.73188288437352	HLA-DMA,LAMA2,ITGB2,DMD,HLA-DOA,CD55,HLA-DPA1,HLA-DQB1	0.00031139047613208784	0	0
4	ECM-receptor interaction	9.704843505156895e-06	7.348101265822785	84.81829130874083	TNXB,VWF,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,NPNT,ITGA9	0.0005458974471650754	0	0
5	Dilated cardiomyopathy	1.974375155635733e-05	6.669691470054446	72.25058999793653	PLN,DES,LAMA2,TNNC1,CACNA2D2,CACNA1D,DMD,ITGA9,TTN	0.0008884688200360798	0	0
6	Hematopoietic cell lineage	2.53027952827118e-05	6.446381578947369	68.23234263053776	CSF3,HLA-DMA,IL1R1,CD37,HLA-DOA,CD22,CD55,HLA-DPA1,HLA-DQB1	0.0009488548231016924	0	0
7	Th17 cell differentiation	4.699262296341727e-05	5.917729591836735	58.97325216885479	STAT5A,NFKBIA,HLA-DMA,IL1R1,FOS,HLA-DOA,IL6ST,HLA-DPA1,HLA-DQB1	0.0015104771666812696	0	0
8	Hypertrophic cardiomyopathy	8.383646866725887e-05	6.27109156337465	58.864494327922486	DES,LAMA2,TNNC1,CACNA2D2,CACNA1D,DMD,ITGA9,TTN	0.0023579006812666555	0	0
9	Malaria	0.0001246746790086015	8.725051821143026	78.43649512748208	CSF3,HGF,ITGB2,PECAM1,HBA2,ACKR1	0.003116866975215038	0	0
10	Amoebiasis	0.00020176041104826763	5.4671782350889435	46.517101388718906	COL4A2,LAMA2,IL1R1,COL4A1,LAMA4,COL4A3,ITGB2,SERPINB6	0.004142926905778387	0	0
