Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	2.1587530560778586e-08	11.35345554150864	200.4015465295046	GPI,ALDH3A1,LDHA,TPI1,PKM,PGAM1,ENO1,ENO2,ALDOA,GAPDH,HK2	5.288944987390753e-06	0	0
2	Steroid hormone biosynthesis	1.0809921595898027e-06	9.947101285810962	136.64960969226357	SRD5A1,HSD17B1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	0.00013242153954975082	0	0
3	Drug metabolism	3.0599666644194902e-06	6.540856977769669	83.04995788374133	ALDH3A1,GSTM3,RRM2,GSTP1,NME2,UGT1A5,NME4,UGT1A3,UGT1A7,TYMP,UGT1A6	0.00021623723458516486	0	0
4	Central carbon metabolism in cancer	3.5304038299618753e-06	8.475602134512764	106.40354229869227	SLC7A5,G6PD,LDHA,PKM,PIK3CA,PGAM1,SLC2A1,HRAS,HK2	0.00021623723458516486	0	0
5	Glutathione metabolism	6.355666017940536e-06	9.357202530134861	111.9698187151785	GGCT,GSTM3,GPX2,G6PD,GCLC,RRM2,GSTP1,GSR	0.00028802369128495375	0	0
6	Metabolism of xenobiotics by cytochrome P450	7.053641419223357e-06	7.714229439313695	91.50593165396347	ALDH3A1,GSTM3,GSTP1,AKR1C1,UGT1A5,UGT1A3,UGT1A7,CBR3,UGT1A6	0.00028802369128495375	0	0
7	Diabetic cardiomyopathy	6.304194974414323e-05	3.9509604872715913	38.212544782157764	COX8A,NDUFA9,G6PD,GSR,NDUFA10,SLC2A1,ATP2A2,COL1A1,PIK3CA,NDUFS6,VDAC3,PPIF,GAPDH	0.002206468241045013	0	0
8	HIF-1 signaling pathway	0.0001273963410431664	5.159824046920821	46.274372899268656	LDHA,PIK3CA,SLC2A1,ENO1,ENO2,ALDOA,GAPDH,EIF4E,HK2	0.0039015129444469705	0	0
9	Ascorbate and aldarate metabolism	0.00015857875499494133	11.376811594202898	99.53867363363953	UGDH,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.004316866108195625	0	0
10	Pentose and glucuronate interconversions	0.0002923893771067848	9.8055972013993	79.79230357727629	UGDH,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.007163539739116228	0	0
11	Pyrimidine metabolism	0.00042749467814802314	6.837209302325581	53.04012100515816	DTYMK,RRM2,NME2,NME4,TYMS,TYMP	0.009521472376933243	0	0
12	Parkinson disease	0.00047136471714563785	3.173339033345069	24.307391172035132	COX8A,NDUFA9,NDUFA10,SEPTIN5,SEM1,TUBA1C,UCHL1,PSMC5,PSMD4,NDUFS6,PSMD2,VDAC3,PPIF	0.009623696308390106	0	0
13	Alzheimer disease	0.0008465147865118118	2.61871723974148	18.525808431225993	COX8A,NDUFA9,FZD6,NDUFA10,ATP2A2,SEM1,TUBA1C,PSMC5,PSMD4,PIK3CA,NDUFS6,PSMD2,PPIF,VDAC3,HRAS,GAPDH	0.015920751405883424	0	0
14	Spinocerebellar ataxia	0.0009492030081628706	3.843918238718431	26.75323990083215	SEM1,RYR1,PSMC5,PSMD4,PIK3CA,PSMD2,PPIF,VDAC3,ATP2A2	0.015920751405883424	0	0
15	Huntington disease	0.001059251319703103	2.762271689497717	18.9220939776236	COX8A,NDUFA9,GPX2,HDAC1,NDUFA10,SEM1,TUBA1C,PSMC5,PSMD4,NDUFS6,PSMD2,VDAC3,PPIF,POLR2H	0.015920751405883424	0	0
16	Chemical carcinogenesis	0.001082038230719803	3.0377707687094335	20.744659430929683	GSTM3,PIK3CA,GSTP1,UGT1A5,AKR1C2,BIRC5,UGT1A3,KPNA2,HRAS,UGT1A7,KPNA1,UGT1A6	0.015920751405883424	0	0
17	Prion disease	0.001104705199591911	2.876854599406528	19.58613464659756	RYR1,COX8A,NDUFA9,NDUFA10,SEM1,TUBA1C,PSMC5,PSMD4,PIK3CA,NDUFS6,PSMD2,VDAC3,PPIF	0.015920751405883424	0	0
18	Pentose phosphate pathway	0.001763354789796882	8.72565584704313	55.325345088814764	GPI,G6PD,TALDO1,ALDOA	0.024001217972235336	0	0
19	Pathways of neurodegeneration	0.0018907806338688867	2.276989797263452	14.278469067702362	COX8A,RYR1,NDUFA9,GPX2,FZD6,NDUFA10,SEPTIN5,ATP2A2,SEM1,TUBA1C,PSMC5,UCHL1,PSMD4,NDUFS6,PSMD2,PPIF,VDAC3,HRAS	0.024381118699888276	0	0
20	Hippo signaling pathway	0.0023517752600479814	3.3412804204593063	20.22338310616529	PPP2CA,PAK1,FRMD6,PARD3,FZD6,BIRC5,SCRIB,BMP7,YWHAZ	0.02880924693558777	0	0
21	Fructose and mannose metabolism	0.002526768196422809	7.8218058600757425	46.780767444344	TKFC,TPI1,ALDOA,HK2	0.029478962291599436	0	0
22	Hepatocellular carcinoma	0.002881606913317813	3.2353787417694906	18.92504765642857	GSTM3,NQO1,PIK3CA,CDKN2A,GSTP1,FZD6,KEAP1,TGFA,HRAS	0.03209062244376656	0	0
23	DNA replication	0.0034908761467615287	7.08742774566474	40.09784914050753	FEN1,RNASEH2A,RPA3,POLD2	0.037185419824198894	0	0
24	One carbon pool by folate	0.004856169206214767	9.984573656551959	53.19286988286655	SHMT2,MTHFD2,TYMS	0.046530526627696786	0	0
25	Spliceosome	0.004982429505903379	3.213573840705049	17.037846793574666	PRPF4,SNRPD1,SNRPC,HNRNPA1,LSM4,U2SURP,SNRPB,CHERP	0.046530526627696786	0	0
26	Bile secretion	0.004997400897050105	4.062707641196013	21.52762687872861	SLC2A1,UGT1A5,UGT1A3,SLC51A,UGT1A7,UGT1A6	0.046530526627696786	0	0
