Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.250136698450422e-13	4.947971087096543	144.0978581865981	ABCB6,LRP8,UCHL1,PTPRZ1,TRIM29,STC2,GPC1,SPP1,UGT1A5,PHGDH,UGT1A3,UGT1A7,CBR3,UGT1A6,NQO1,G6PD,GPX2,RRM2,AKR1C1,IGFBP3,GSR,AKR1C3,TALDO1,PTGR1,CYP4F11,TPD52L1,UGDH,ALDH3A1,GCLC,MTHFD2,TMEM237,PPIF,PNPLA4,RPL22L1,PPIA,PFN2	3.915237855303734e-11	0	0
2	CSR LATE UP.V1 UP	2.1309536925374667e-06	5.140295358649789	67.12681347950172	FEN1,DTYMK,RRM2,UBE2C,UHRF1,IGFBP3,MAZ,FANCA,IMP4,FOXM1,PSMD2,PBK,BIRC5,FAM83D	0.0001853929712507596	0	0
3	GCNP SHH UP LATE.V1 DN	3.6403522878834127e-06	4.890562248995984	61.24661446821769	DLX5,PUS1,NDUFA10,SLC2A1,LSR,KLK8,WNK2,GJB6,ESRP1,UBE2V2,S100A11,BCL2L2,MDFI,KPNA1	0.00021114043269723794	0	0
4	MEK UP.V1 UP	9.740634399671154e-06	4.456959706959707	51.429768655564125	GPX2,ST6GALNAC2,ITGB4,TMPRSS4,AKR1C3,AKR1C2,NME4,ENO2,BMP7,LRP8,ALDH3A1,CLDN4,TRIM29,PACSIN3	0.00042371759638569516	0	0
5	RB P107 DN.V1 UP	0.00018178362389400477	4.416289592760181	38.03614848361993	COL1A1,SLBP,FKBP10,FEN1,RRM2,PAQR4,PRC1,RPA3,FANCA,NCAPH	0.006326070111511366	0	0
6	RB DN.V1 DN	0.0003797240589429017	4.406271148206632	34.70408118616841	SLC7A5,LAMB3,IGFBP3,STC2,ADAM12,NDRG1,EIF4E,CTSC,DUSP14	0.011011997709344148	0	0
7	MTOR UP.V1 UP	0.0008486359343688186	3.582720588235294	25.336571078909188	HELLS,GPX2,RRM2,UBE2C,UHRF1,SLC41A3,TMPRSS4,PPAN,SLC2A1,HSPE1	0.017944313765925746	0	0
8	MEL18 DN.V1 UP	0.0008587648019679261	3.9025593175153293	27.552129185207495	CA12,SLC7A5,LAMB3,DDX11,STC2,ADAM12,FZD6,SPP1,PTHLH	0.017944313765925746	0	0
9	ESC V6.5 UP EARLY.V1 DN	0.0009281541603065041	3.5381263616557734	24.704304692719905	COL1A1,VAC14,GPX2,ANXA1,KRT17,IGFBP3,COL11A1,SLC41A3,C16ORF74,KLK10	0.017944313765925746	0	0
10	TBK1.DF UP	0.0018936043280880265	2.6979292761572164	16.914055744621614	GPX2,SERPINB13,TUFT1,FZD6,AKR1C3,TGFA,ATP11B,ENO2,PTHLH,DUSP14,RAD51AP1,CLDN4,FAT2	0.032948715308731655	0	0
11	P53 DN.V1 UP	0.002279514123589046	3.1115728900255752	18.930165250377716	COL17A1,UCHL1,ANXA1,AUTS2,CDKN2A,ITGB4,LSR,SULF1,KLK10,DSC2	0.03605776886404491	0	0
12	CORDENONSI YAP CONSERVED SIGNATURE	0.0031703572172011446	5.462095875139354	31.42841359706677	FSCN1,BIRC5,PHGDH,ECT2,NDRG1	0.0459701796494166	0	0
