Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	1.992406926531158e-08	9.771691771442798	173.2651630379708	IL6,CSF3R,IL7,ITGB3,ITGA1,CD36,TNF,CD34,HLA-DQA1,HLA-DRB1,CD33,EPOR	4.462991515429794e-06	0	0
2	Malaria	5.472252967181567e-07	13.332655482121675	192.23562969752322	SELP,IL6,HBB,CCL2,CD36,TNF,THBS1,SELE	5.240076687547107e-05	0	0
3	Hypertrophic cardiomyopathy	7.017959849393447e-07	8.795250896057349	124.62539022224249	EDN1,IL6,ACE,SGCA,ITGB3,ITGA1,LMNA,CACNA1C,TNF,SLC8A1	5.240076687547107e-05	0	0
4	Pertussis	0.00011411995866638813	7.066193853427896	64.14874779458162	C1QB,IL6,SFTPA2,SERPING1,TNF,CXCL5,C2	0.0063907176853177355	0	0
5	Cell adhesion molecules	0.0003084377027287406	4.52589928057554	36.587327562330394	SELP,PTPRM,PDCD1,SIGLEC1,SELE,CD34,HLA-DQA1,HLA-DRB1,JAM2	0.012683641377032403	0	0
6	Rheumatoid arthritis	0.00040154681837632246	5.664481279894441	44.29729959676729	IL6,TNFSF13,CCL2,TNF,CXCL5,HLA-DQA1,HLA-DRB1	0.012683641377032403	0	0
7	Staphylococcus aureus infection	0.00045705044575145807	5.535178916827853	42.569493423472494	C1QB,SELP,FCGR2A,FCGR2C,HLA-DQA1,HLA-DRB1,C2	0.012683641377032403	0	0
8	Dilated cardiomyopathy	0.00048700809857693664	5.47270698860467	41.7415938602456	SGCA,ITGB3,ITGA1,LMNA,CACNA1C,TNF,SLC8A1	0.012683641377032403	0	0
9	Osteoclast differentiation	0.0005241803424838035	4.68722150782021	35.40574683475322	JUND,FCGR2A,ITGB3,PPARG,TNF,JUNB,FCGR2C,SIRPB1	0.012683641377032403	0	0
10	Coronavirus disease	0.0005850594720851553	3.489534164523585	25.975384134465322	C1QB,SELP,NRP1,IL6,ACE,FCGR2A,STING1,AGTR1,CCL2,TNF,C2	0.012683641377032403	0	0
11	AGE-RAGE signaling pathway in diabetic complications	0.0006228573890506983	5.236254098985739	38.64980197290428	EGR1,IL6,EDN1,AGTR1,CCL2,TNF,SELE	0.012683641377032403	0	0
12	Arrhythmogenic right ventricular cardiomyopathy	0.0008677334310414476	5.864729010103021	41.34414609830219	SGCA,ITGB3,ITGA1,LMNA,CACNA1C,SLC8A1	0.01619769071277369	0	0
13	TNF signaling pathway	0.0012176839520947696	4.634988179669031	31.104500110181913	IL6,EDN1,CCL2,TNF,JUNB,SELE,CXCL5	0.02098163117455603	0	0
14	Phagosome	0.0016832044911648705	3.868525108738632	24.70848599315779	FCGR2A,SFTPA2,ITGB3,CD36,THBS1,FCGR2C,HLA-DQA1,HLA-DRB1	0.026931271858637928	0	0
15	African trypanosomiasis	0.0019374160425625461	8.36916533758639	52.277155457265806	IL6,HBB,TNF,SELE	0.02893207956893402	0	0
16	Inflammatory bowel disease	0.0024778232134157092	5.766138497652582	34.59899236969507	IL6,RORC,TNF,HLA-DQA1,HLA-DRB1	0.03468952498781993	0	0
17	Graft-versus-host disease	0.0031033653432308143	7.266112650046168	41.96374904737079	IL6,TNF,HLA-DQA1,HLA-DRB1	0.039061139253240944	0	0
18	Vascular smooth muscle contraction	0.003239287446820319	3.8583530338849488	22.11763025145381	PLA2G4F,EDN1,PRKCH,PLA2G1B,AGTR1,CACNA1C,ACTG2	0.039061139253240944	0	0
19	Viral protein interaction with cytokine and cytokine receptor	0.003313221633087402	4.42455454477107	25.263473124520832	IL6,CCL4,CCL2,TNFRSF14,TNF,CXCL5	0.039061139253240944	0	0
20	Cytokine-cytokine receptor interaction	0.003914697677661726	2.7066698753673117	15.003117603681188	IL6,CSF3R,IL7,TNFSF12,TNFSF13,CCL4,CCL2,TNFRSF14,TNF,CXCL5,EPOR	0.04384461398981133	0	0
21	Fluid shear stress and atherosclerosis	0.004131165337449557	3.6818450462067482	20.21036817161782	EDN1,CAV1,ITGB3,CCL2,TNF,SELE,GSTM5	0.04406576359946194	0	0
22	PPAR signaling pathway	0.004351159711916512	5.011737089201878	27.250382571024396	FABP1,FABP4,AQP7,PPARG,CD36	0.044302717066786304	0	0
23	Intestinal immune network for IgA production	0.005042770068737817	6.273365231259968	33.18484571322162	IL6,TNFSF13,HLA-DQA1,HLA-DRB1	0.04810252868332371	0	0
24	Leishmaniasis	0.00515384235892754	4.802181142410015	25.297951502259163	FCGR2A,TNF,FCGR2C,HLA-DQA1,HLA-DRB1	0.04810252868332371	0	0
