Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MEL18 DN.V1 UP	0.01405052356885377	141.84285714285716	604.9733486161721	NRP2	0.021451381536666626	0	0
2	KRAS.PROSTATE UP.V1 UP	0.014249107538697991	139.83098591549296	594.4300512492653	RARRES2	0.021451381536666626	0	0
3	BMI1 DN MEL18 DN.V1 UP	0.014447671516019701	137.875	584.206985754933	NRP2	0.021451381536666626	0	0
4	KRAS.LUNG.BREAST UP.V1 DN	0.014447671516019701	137.875	584.206985754933	RARRES2	0.021451381536666626	0	0
5	BMI1 DN.V1 UP	0.014646215501499311	135.97260273972603	574.2902550659267	NRP2	0.021451381536666626	0	0
6	GCNP SHH UP LATE.V1 DN	0.01791930465837746	110.72067039106145	445.3048816567316	NRP2	0.021451381536666626	0	0
7	JNK DN.V1 DN	0.0190091247079765	104.25263157894737	413.1360989582474	NRP2	0.021451381536666626	0	0
8	P53 DN.V1 DN	0.019108169264343198	103.70157068062828	410.4134142102927	NRP2	0.021451381536666626	0	0
9	KRAS.DF.V1 DN	0.019306243382999962	102.61658031088083	405.0611718426778	NRP2	0.021451381536666626	0	0
10	KRAS.600.LUNG.BREAST UP.V1 DN	0.028691730483428914	68.4375	243.0315772469316	RARRES2	0.028691730483428914	0	0
