Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	calcium ion transmembrane transporter activity (GO:0015085)	0.0006615177095993661	62.68238993710692	458.8961346318759	RYR1,SEC61A1	0.022856736615534817	0	0
2	calcium channel activity (GO:0005262)	0.0015350048968418733	40.45528455284553	262.1187578709559	RYR1,SEC61A1	0.022856736615534817	0	0
3	calcium ion binding (GO:0005509)	0.001648533273865437	15.526482213438735	99.49166888837017	RYR1,CALB1,SDF4	0.022856736615534817	0	0
4	cation channel activity (GO:0005261)	0.0020812343433310263	34.53125	213.2233596975422	RYR1,SEC61A1	0.022856736615534817	0	0
5	protease binding (GO:0002020)	0.002998619131128124	28.548850574712645	165.85749896251147	FN1,TIMP1	0.022856736615534817	0	0
6	1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184)	0.004193119798694676	307.4	1682.8029678019434	LPCAT4	0.022856736615534817	0	0
7	GPI anchor binding (GO:0034235)	0.004890387533564395	256.15384615384613	1362.8623704331803	THY1	0.022856736615534817	0	0
8	metal ion binding (GO:0046872)	0.00505391635111899	10.33180049522462	54.630343796594936	RYR1,CALB1,SDF4	0.022856736615534817	0	0
9	lysophospholipid acyltransferase activity (GO:0071617)	0.0055872022837974	219.54945054945054	1138.8637280375192	LPCAT4	0.022856736615534817	0	0
10	O-acetyltransferase activity (GO:0016413)	0.0055872022837974	219.54945054945054	1138.8637280375192	LPCAT4	0.022856736615534817	0	0
11	CD4 receptor binding (GO:0042609)	0.0055872022837974	219.54945054945054	1138.8637280375192	HLA-DRB1	0.022856736615534817	0	0
12	MHC class II receptor activity (GO:0032395)	0.006979473680213335	170.74358974358975	847.7046615380154	HLA-DRB1	0.02617302630080001	0	0
13	intracellular ligand-gated ion channel activity (GO:0005217)	0.007674930787541144	153.66153846153847	748.3003458854362	RYR1	0.026567068110719346	0	0
14	metalloendopeptidase inhibitor activity (GO:0008191)	0.009758590659951067	118.18343195266272	547.1428779573204	TIMP1	0.03136689854984272	0	0
15	calcium-release channel activity (GO:0015278)	0.01183818865932929	96.00961538461539	425.93942395331476	RYR1	0.03329490560436363	0	0
16	MHC class II protein complex binding (GO:0023026)	0.01183818865932929	96.00961538461539	425.93942395331476	HLA-DRB1	0.03329490560436363	0	0
17	ligand-gated calcium channel activity (GO:0099604)	0.013222334171232074	85.33333333333333	369.13902050225767	RYR1	0.035000296335614314	0	0
18	disordered domain specific binding (GO:0097718)	0.015985227036696047	69.8041958041958	288.7164567086745	FN1	0.03996306759174012	0	0
19	O-acyltransferase activity (GO:0008374)	0.02080301457834001	52.93633952254642	205.00430545239047	LPCAT4	0.04927029768554212	0	0
