Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)	0.005488389443320514	237.78571428571428	1237.7032790036255	CKMT1A	0.04114135717455417	0	0
2	creatine kinase activity (GO:0004111)	0.005488389443320514	237.78571428571428	1237.7032790036255	CKMT1A	0.04114135717455417	0	0
3	C-X-C chemokine binding (GO:0019958)	0.005488389443320514	237.78571428571428	1237.7032790036255	ACKR3	0.04114135717455417	0	0
4	C-X-C chemokine receptor activity (GO:0016494)	0.005488389443320514	237.78571428571428	1237.7032790036255	ACKR3	0.04114135717455417	0	0
5	leukotriene-B4 20-monooxygenase activity (GO:0050051)	0.005488389443320514	237.78571428571428	1237.7032790036255	CYP4F3	0.04114135717455417	0	0
6	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	0.005488389443320514	237.78571428571428	1237.7032790036255	JUP	0.04114135717455417	0	0
7	arylesterase activity (GO:0004064)	0.006582617147928667	190.21904761904761	955.5316921910462	CA2	0.04114135717455417	0	0
8	proton channel activity (GO:0015252)	0.006582617147928667	190.21904761904761	955.5316921910462	OTOP3	0.04114135717455417	0	0
9	CD4 receptor binding (GO:0042609)	0.008767627745742801	135.85714285714286	643.5130349149837	HLA-DRB1	0.048709043031904445	0	0
10	MHC class II receptor activity (GO:0032395)	0.010948052258043297	105.65608465608466	476.99429568907004	HLA-DRB1	0.049763873900196806	0	0
11	protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	0.010948052258043297	105.65608465608466	476.99429568907004	JUP	0.049763873900196806	0	0
