Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	3.1664675447261437e-07	6.834804744624384	102.28612703614495	CBR1,G6PD,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,UGDH,BDH1,RDH10,PHGDH,CBR3	0.00016022325776314286	0	0
2	monocarboxylic acid binding (GO:0033293)	8.201049604615358e-07	13.433402346445824	188.2534638795882	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.00020748655499676857	0	0
3	RNA binding (GO:0003723)	1.2476782728721023e-06	2.0041630412957634	27.245045555551783	RPL4,EIF4A2,ISY1,TOP2A,HMGB3,HSPB1,MSI2,BRCA1,VIRMA,SPOUT1,IPO5,YY1,MRPL42,MRPL3,SNRPD1,C1QBP,SUMO2,RPL35,RPL37,MRPL9,KPNA2,RBM34,ZNF385A,NELFE,EIF5B,MRPS24,NCBP2,STRBP,DDX11,MRPS23,YWHAZ,DARS1,CLNS1A,ESRP1,TCP1,FSCN1,STRAP,PABPC1,ALDOA,SLBP,MAZ,SLC3A2,MRPL15,RPF2,RAD51AP1,PRDX1,TRA2B,POLR2D,DHX36,DNAJC21,SAP18,HNRNPA1,NQO1,NIFK,CDKN2A,MDH2,RPL35A,PDAP1,LSM4,MRPL21,U2SURP,CHERP,CAPRIN1,RPL22L1,GRSF1,RAN	0.00021044173535776124	0	0
4	protein homodimerization activity (GO:0042803)	8.231338967821336e-06	2.3808403361344537	27.873835521148447	TOP2A,TENM2,TENM4,HSPB1,NADK2,ATIC,IRAK1,STC2,UGT1A3,UGT1A9,ECT2,S100A11,UGT1A7,UGT1A6,GSTM4,TBX1,GSTM3,NTRK2,GSTM2,G6PD,GSTM1,TPI1,JUP,UGT1A1,SLC51A,CIP2A,TPD52L1,GRHL1,KNSTRN,GGCT,EXT1,ANO1,BAX,TKT,MAP3K13,FGFR2	0.001041264379429399	0	0
5	hexosyltransferase activity (GO:0016758)	1.148205902394779e-05	4.7636026770522175	54.18466963028794	UGT1A1,TMTC3,FUT3,EXT1,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT1A9,B4GALT4,UGT1A7,B4GALNT4,UGT1A6	0.0011619843732235163	0	0
6	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	3.7277263417695936e-05	17.461897077281694	178.0611817566772	NQO1,CBR1,AKR1C1,AKR1C3,AKR1C2	0.0031437158815590237	0	0
7	glutathione transferase activity (GO:0004364)	5.1184524004240996e-05	10.992094861660078	108.60270336213783	GSTM4,GSTM3,GSTM2,GSTM1,GSTP1,MGST1	0.0035435452452326453	0	0
8	UDP-glycosyltransferase activity (GO:0008194)	5.602443075466633e-05	5.226122536879509	51.16229042646042	EXT1,UGT1A1,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT1A9,UGT1A7,B4GALNT4,UGT1A6	0.0035435452452326453	0	0
9	glucuronosyltransferase activity (GO:0015020)	0.00011672469231358701	9.231462450592886	83.59728484495491	EXT1,UGT1A1,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.006562521590075003	0	0
10	ketosteroid monooxygenase activity (GO:0047086)	0.0001605050558225587	57.42436149312377	501.72727650126654	AKR1C1,AKR1C3,AKR1C2	0.0067395617646714	0	0
11	L-leucine transmembrane transporter activity (GO:0015190)	0.0001605050558225587	57.42436149312377	501.72727650126654	SLC7A5,SLC7A8,SLC3A2	0.0067395617646714	0	0
12	DNA secondary structure binding (GO:0000217)	0.00016813560145987965	8.5467720685112	74.27777177209977	RAD51AP1,YY1,RECQL4,RBBP8,HMGA1,HMGB3	0.0067395617646714	0	0
13	single-stranded DNA binding (GO:0003697)	0.00018983201325554547	4.442231075697211	38.06712623377075	RAD51AP1,RAD51,DDX11,RPA3,DHX36,POLR2D,RBBP8,MCM4,MCM5,HNRNPA1	0.0067395617646714	0	0
14	retinoic acid binding (GO:0001972)	0.00019791714330761017	11.295393897203851	96.32330224968237	UGT1A1,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0067395617646714	0	0
15	retinoid binding (GO:0005501)	0.00019978938037563439	8.24110671936759	70.19978130690917	UGT1A1,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.0067395617646714	0	0
16	cadherin binding (GO:0045296)	0.00025878920199594335	2.5825122489635493	21.33025144854346	LAD1,NOTCH3,JUP,OLA1,SCRIB,SLC3A2,CIP2A,YWHAZ,ANLN,ATIC,CDH3,TRIM29,EPCAM,PRDX1,FSCN1,CCT8,ALDOA,S100A11,RAN,NCK1	0.008184208513121708	0	0
