Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	6.347011736407157e-12	11.309467556925185	291.59242054377825	GSTM4,CBR1,GSTM3,GSTM2,GSTM1,UGT1A1,GSTP1,AKR1C1,MGST1,ADH7,ALDH3A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	1.732734204039154e-09	0	0
2	Glutathione metabolism	1.5256272014145502e-09	11.512661687010384	233.71693580426393	GSTM4,GSTM3,GPX2,G6PD,GSTM2,GSTM1,RRM2,GSTP1,GSR,MGST1,PGD,GGCT,GCLC	2.082481129930861e-07	0	0
3	Drug metabolism	1.5692752316778977e-08	6.800841514726508	122.2115767718636	GSTM4,GSTM3,GSTM2,GSTM1,RRM2,UGT1A1,GSTP1,MGST1,ADH7,ALDH3A1,UGT1A5,UGT1A3,UMPS,UGT1A9,UGT1A7,UGT1A6	1.4280404608268868e-06	0	0
4	Chemical carcinogenesis	2.4689816151218745e-07	3.987228439763002	60.66284932787895	GSTM4,GSTM3,CBR1,GSTM2,JAG1,GSTM1,MAP2K2,UGT1A1,GSTP1,MGST1,CACNA1B,AKR1C2,KLF5,UGT1A5,BIRC5,UGT1A3,KPNA2,UGT1A9,HRAS,UGT1A7,KPNA1,UGT1A6	1.6850799523206792e-05	0	0
5	Steroid hormone biosynthesis	3.094503954598682e-06	7.591985001171784	96.31103299057703	UGT1A1,SRD5A1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.00016895991592108804	0	0
6	Diabetic cardiomyopathy	5.163969347291706e-06	3.801882043987307	46.28337071574708	NDUFA9,G6PD,PDHA1,NDUFB5,GSR,NDUFA10,SLC2A1,ATP2A2,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,COL1A1,NDUFS6,VDAC3,PPIF,GAPDH	0.00023496060530177264	0	0
7	Ascorbate and aldarate metabolism	8.443380782853477e-06	11.730951356005166	137.04247252090093	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0003292918505312856	0	0
8	Pentose and glucuronate interconversions	2.0418851631839278e-05	9.990979097909792	107.89310265169627	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0006967933119365154	0	0
9	Hepatocellular carcinoma	2.8795965275340678e-05	3.8140608356018464	39.877055952739745	GSTM4,GSTM3,NQO1,GSTM2,MAP2K2,GSTM1,CDKN2A,GSTP1,TXNRD1,WNT5A,FZD6,MGST1,KEAP1,BAX,HRAS	0.0008275197483361341	0	0
10	DNA replication	3.0312078693631286e-05	9.300990099009901	96.76716883434939	FEN1,RNASEH2A,RFC4,RPA3,POLD2,MCM4,MCM5	0.0008275197483361341	0	0
