Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	5.994840482164106e-08	5.6126663840610425	93.3374159602618	VWF,ITGB2,AIF1,DCN,HCK,HLA-DMA,TYROBP,SPTLC3,ENPP2,SH3BP5,CTSH,CCL2,ST3GAL6,MNDA,PTGDS,TRIM22,HLA-DQB1	1.073076446307375e-05	0	0
2	ATF2 S UP.V1 DN	2.3587830901978227e-07	5.391190006574622	82.26928888768842	ITIH5,IL4R,IL1R1,ADH1B,CELF2,TMEM176A,C4BPA,CRIP2,FOS,SMAD6,DES,CCL2,SVEP1,ST3GAL6,SLIT3,A2M	1.749169410865382e-05	0	0
3	ESC V6.5 UP LATE.V1 UP	2.93156884502578e-07	5.297422294769775	79.68678174471619	PARM1,GPX3,TNNC1,HPN,HNF1B,SH3RF1,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,SLIT3,ZNF521,CD55	1.749169410865382e-05	0	0
4	CORDENONSI YAP CONSERVED SIGNATURE	6.556222918796061e-07	10.65108695652174	151.6467782666427	DAB2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	2.9339097561612375e-05	0	0
5	KRAS.600 UP.V1 UP	9.613665701360008e-07	4.100935620405435	56.81809415860523	NRP1,CSF3,DOCK4,RTN1,PCDH9,LIMCH1,HPN,ITGB2,LAPTM5,ETV1,TFPI,RNASE1,GNG11,DUSP6,SLCO4A1,MGAT4A,ST3GAL6,A2M,TGM2	3.441692321086883e-05	0	0
6	ESC J1 UP LATE.V1 UP	1.6691673383593005e-06	4.894911504424779	65.11791651140189	PDGFRA,PARM1,CITED2,GPX3,SHROOM3,LMO7,HNF1B,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,CD55	4.97968255943858e-05	0	0
7	ERB2 UP.V1 UP	3.775549798297675e-05	4.169560776302349	42.46438908962258	VIPR1,PARM1,SERPINA1,IL1R1,LIMCH1,EPAS1,DUSP6,PAPSS2,DAB2,MUC1,NPC2,MGAT4A,FGFR4	0.0008367339583487936	0	0
8	E2F1 UP.V1 DN	4.207042248681085e-05	4.122808732486152	41.542103599619516	PDGFRA,TNXB,PLXND1,IL1R1,LAMA4,CRIP2,CD3E,DAB2,NFKBIZ,CCL2,IL6ST,RUNX1T1,TGM2	0.0008367339583487936	0	0
9	EGFR UP.V1 UP	4.207042248681085e-05	4.122808732486152	41.542103599619516	IL4R,PCDH9,IL1R1,EPAS1,TFPI,DUSP6,PAPSS2,RND1,SOCS2,CRISPLD2,MGAT4A,CCL2,A2M	0.0008367339583487936	0	0
10	CSR LATE UP.V1 DN	5.2553686752843954e-05	4.327781479013991	42.64455348976124	ACVRL1,ANKRD29,SFTPB,CLEC3B,TNXB,NTN4,CCL2,SVEP1,TBC1D2B,TRIM22,PRKG1,APOL3	0.0009407109928759067	0	0
11	KRAS.300 UP.V1 UP	5.958491726506784e-05	4.634942230860598	45.089218975368944	CSF3,DOCK4,RTN1,HPN,ITGB2,ST3GAL6,ETV1,A2M,TFPI,RNASE1,DUSP6	0.0009696091082224676	0	0
12	ATF2 UP.V1 DN	0.00013096678053171548	3.9039598997493736	34.903614465959414	ITIH5,MFAP4,IL1R1,LIMCH1,SLCO4A1,CELF2,CCL2,SVEP1,SLIT3,FOS,SMAD6,CD68	0.001953587809598089	0	0
13	KRAS.50 UP.V1 UP	0.0001931914437684053	8.047619047619047	68.82186134140223	DOCK4,ITGB2,HPN,ST3GAL6,ETV1,A2M	0.0026600975718880423	0	0
14	KRAS.KIDNEY UP.V1 UP	0.00026484988781628674	4.201335055986219	34.603654869742016	RTN1,PCDH9,LIMCH1,PECAM1,AQP4,ST3GAL6,ETV1,A2M,ASPA,DUSP6	0.0033862949942225235	0	0
15	GCNP SHH UP LATE.V1 DN	0.00037723418963763307	3.6960166991564165	29.134385227632567	LGALS4,CD52,NRP2,IL4R,PPM1M,SLC11A1,TNNC1,S1PR1,AMOTL2,ADRB2,AGER	0.004501661329675755	0	0
