Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RNA binding (GO:0003723)	2.8014713075187712e-15	2.4358585858585857	81.62228810202417	RPL4,EIF4A2,PPAN,MSI2,ENO1,RPL7,YY1,FBL,PSMD4,TRIM28,SNRPD2,SNRPD1,RPL36,RPL37,KPNA2,DDX11,RPS5,PUS1,IMP4,ILF2,CLNS1A,GRWD1,FSCN1,SNRPG,CCDC86,SNRPC,PPIA,DUS3L,SNRPB,DAP3,SLBP,MAZ,NOP2,MRPL16,TRMT2A,RPF2,RTN4,MRPL11,RAD51AP1,FXR1,PRDX1,DHX36,DNAJC21,FDPS,ALYREF,KNOP1,EIF2S2,LSM4,MRPL21,CHERP,HNRNPL,HNRNPM,LSM7,CAPRIN1,GRSF1,EIF4G1,TOP2A,RBM28,MTCL1,WDR3,HMGB3,HSPB1,BRCA1,SMG7,SPOUT1,DUSP14,MRPL42,MRPL3,SUMO2,BUD23,RBM34,ZNF385A,EIF5B,TSFM,MRPS24,NCBP2,MRPS23,RANGAP1,YWHAZ,DARS1,NME1,PKM,ESRP1,TCP1,STRAP,PABPC1,CACTIN,ALDOA,LUC7L2,FYTTD1,SLC3A2,SELENOH,PES1,FAM120A,POLR2D,SAP18,DROSHA,RALY,RPS2,HNRNPA1,EIF4E,PTPN1,NQO1,TRMT10C,NIFK,MDH2,CDKN2A,CCDC59,PDAP1,RPL35A,DEK,HSPE1,U2SURP,NUDT21,RBM42,RPL22L1,R3HDM1,RPL26L1,RAN	1.8545740055774266e-12	0	0
2	protein homodimerization activity (GO:0042803)	4.275971639728598e-09	2.521921652681077	48.59807201629346	TOP2A,TENM2,TENM4,MTCL1,HSPB1,ATP2A1,ENO1,SPPL3,NADK2,ATIC,CHEK2,CHMP1A,STARD3,G6PD,TPI1,HMGCS1,UGT1A1,DNTTIP1,SLC51A,CIP2A,KNSTRN,MSH6,ANO1,MVD,TKT,SNRPC,SHMT2,TYMP,FXR1,IRAK1,PDCD10,STC2,HSD17B1,DROSHA,UGT1A3,UGT1A9,ECT2,MORC2,S100A11,UGT1A7,UGT1A6,GSTM4,TBX1,GSTM3,NTRK2,GSTM2,JUP,BNIP3,TPD52L1,GRHL1,GGCT,EXT1,NUDT21,CENPF,BAX,MAP3K13,BCL2L2,FGFR2	1.415346612750166e-06	0	0
3	cadherin binding (GO:0045296)	2.610814694652793e-07	2.918672839506173	44.24250766370268	LAD1,NOTCH3,OLA1,SLC3A2,ENO1,BZW2,NDRG1,RTN4,LDHA,ATIC,CDH3,TRIM29,PRDX1,MICALL1,RUVBL1,RPS2,S100A11,NCK1,PTPN1,ANXA1,JUP,SCRIB,CIP2A,RANGAP1,YWHAZ,ANLN,DLG1,PKM,CTTN,FSCN1,CDH13,ITGA6,ALDOA,RAN	5.76119775953383e-05	0	0
4	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	1.6643622431420235e-06	5.083173894557823	67.63706026745245	CBR1,G6PD,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,UGDH,LDHB,LDHA,BDH1,RDH10,PHGDH,CBR3	0.00023837852751500677	0	0
5	DNA replication origin binding (GO:0003688)	1.8004420507175737e-06	12.936198904340497	171.1132908023807	ORC5,ORC4,DDX11,GRWD1,MCM4,MCM10,MCM5,MCM2	0.00023837852751500677	0	0
6	single-stranded DNA binding (GO:0003697)	6.752444744264673e-06	4.460941388750622	53.1102102705508	DDX11,MCM10,SMC6,RAD51AP1,RAD51,RNF138,RPA3,DHX36,POLR2D,RBBP8,MCM4,MCM5,POLR2H,HNRNPA1,MCM2	0.0007450197367838689	0	0
7	magnesium ion binding (GO:0000287)	2.1756749586261554e-05	3.434238956466069	36.86856945699355	TOP2A,FEN1,EYA2,PLK1,IDH2,NME1,MSH6,GCLC,MTHFD2,RHEB,DHX36,STK38L,UBA2,TKT,MORC2,DCTPP1,RAN,MARK1	0.0018043517257228091	0	0
8	monocarboxylic acid binding (GO:0033293)	2.180485469151431e-05	8.433133622821964	90.51601022942722	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0018043517257228091	0	0
9	DNA secondary structure binding (GO:0000217)	3.5751936292348906e-05	7.757673830594184	79.43009412516903	RAD51AP1,YY1,RECQL4,MSH6,RBBP8,HMGA1,HMGB3,HMGA2	0.002629753536170553	0	0
10	hexosyltransferase activity (GO:0016758)	8.005340493442344e-05	3.513233418367347	33.13968645339889	UGT1A1,TMTC3,FUT3,EXT1,HAS3,GCNT3,B4GALNT1,UGT1A3,B4GALNT3,UGT1A9,LARGE2,B4GALT4,UGT1A7,B4GALNT4,UGT1A6	0.005299535406658832	0	0
