Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	4.0302183780523464e-07	6.68359830418654	98.41114001097597	CBR1,G6PD,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,UGDH,BDH1,RDH10,PHGDH,CBR3	0.0002083622901453063	0	0
2	monocarboxylic acid binding (GO:0033293)	9.621912980470998e-07	13.139046010975095	182.02903391303047	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0002487264505451753	0	0
3	RNA binding (GO:0003723)	2.6118517048395584e-06	1.9547372546458082	25.129029234869908	EIF4A2,ISY1,TOP2A,DQX1,HMGB3,HSPB1,MSI2,BRCA1,VIRMA,SPOUT1,IPO5,YY1,MRPL42,MRPL3,SNRPD1,C1QBP,SUMO2,RPL35,RPL37,MRPL9,KPNA2,RBM34,ZNF385A,NELFE,EIF5B,MRPS24,NCBP2,DDX11,MRPS23,YWHAZ,DARS1,PKM,CLNS1A,ESRP1,TCP1,FSCN1,STRAP,PABPC1,ALDOA,SNRPB,DAP3,SLBP,MAZ,SLC3A2,MRPL15,RTN4,RAD51AP1,PRDX1,TRA2B,DHX36,HNRNPA1,PTPN1,NQO1,NIFK,CDKN2A,MDH2,RPL35A,PDAP1,LSM4,MRPL21,U2SURP,CHERP,HNRNPM,RPL22L1,GRSF1,RAN	0.00045010911046735057	0	0
4	cadherin binding (GO:0045296)	4.630183075568832e-06	3.09542575083052	38.020848753566604	LAD1,NOTCH3,PTPN1,JUP,OLA1,SCRIB,SLC3A2,CIP2A,YWHAZ,RTN4,ANLN,ATIC,CDH3,PKM,TRIM29,EPCAM,PRDX1,MICALL1,FSCN1,CCT8,ALDOA,S100A11,RAN,NCK1	0.0005550762591630695	0	0
5	protein homodimerization activity (GO:0042803)	5.3682423516737865e-06	2.3993555789141023	29.116203972071908	TOP2A,TENM2,TENM4,SHMT2,HSPB1,NADK2,ATIC,IRAK1,STC2,UGT1A3,UGT1A9,ECT2,S100A11,UGT1A7,UGT1A6,GSTM4,TBX1,GSTM3,NTRK2,GSTM2,G6PD,GSTM1,TPI1,JUP,UGT1A1,SLC51A,CIP2A,TPD52L1,GRHL1,KNSTRN,GGCT,EXT1,GREM1,ANO1,TKT,MAP3K13,FGFR2	0.0005550762591630695	0	0
6	hexosyltransferase activity (GO:0016758)	1.4377081607645773e-05	4.658213096559378	51.938494561814984	UGT1A1,TMTC3,FUT3,EXT1,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT1A9,B4GALT4,UGT1A7,B4GALNT4,UGT1A6	0.0012388251985254776	0	0
7	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	4.126279802384472e-05	17.08143208143208	172.44643863671212	NQO1,CBR1,AKR1C1,AKR1C3,AKR1C2	0.0030475523683325314	0	0
8	glutathione transferase activity (GO:0004364)	5.760279926447401e-05	10.75214147554573	104.9617534303328	GSTM4,GSTM3,GSTM2,GSTM1,GSTP1,MGST1	0.0037225809024666327	0	0
9	UDP-glycosyltransferase activity (GO:0008194)	6.68803271649046e-05	5.111163795374321	49.13160221965783	EXT1,UGT1A1,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT1A9,UGT1A7,B4GALNT4,UGT1A6	0.0038419032382506304	0	0
10	glucuronosyltransferase activity (GO:0015020)	0.00013111382733555573	9.029941972920696	80.72266692096954	EXT1,UGT1A1,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.006778584873248231	0	0
11	RNA-DNA hybrid ribonuclease activity (GO:0004523)	0.0001709514948525788	56.17788461538461	487.2943134647415	FEN1,RNASEH2A,EXO1	0.006798609449137172	0	0
12	ketosteroid monooxygenase activity (GO:0047086)	0.0001709514948525788	56.17788461538461	487.2943134647415	AKR1C1,AKR1C3,AKR1C2	0.006798609449137172	0	0
13	L-leucine transmembrane transporter activity (GO:0015190)	0.0001709514948525788	56.17788461538461	487.2943134647415	SLC7A5,SLC7A8,SLC3A2	0.006798609449137172	0	0
14	DNA secondary structure binding (GO:0000217)	0.0001886849212898872	8.36019772189985	71.69230721413705	RAD51AP1,YY1,RECQL4,RBBP8,HMGA1,HMGB3	0.006967864593347978	0	0
15	retinoic acid binding (GO:0001972)	0.00021847336674256487	11.049284578696344	93.13272300995976	UGT1A1,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.007241302512310025	0	0
16	retinoid binding (GO:0005501)	0.00022410220540998143	8.061204752694115	67.74159521714513	UGT1A1,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.007241302512310025	0	0
17	protein serine/threonine kinase activator activity (GO:0043539)	0.0003625186204776868	7.279965058963	57.67504793007488	CCNB1,MAP2K2,DBF4,CALM1,CKS1B,LTF	0.011024830987468474	0	0
18	branched-chain amino acid transmembrane transporter activity (GO:0015658)	0.0005752984696557097	28.08605769230769	209.5394479528676	SLC7A5,SLC7A8,SLC3A2	0.016523850489555663	0	0
19	alcohol dehydrogenase (NADP+) activity (GO:0008106)	0.0008389576729306704	11.539350822587817	81.73726413633202	ALDH3A1,AKR1C1,AKR1C3,AKR1C2	0.021901566256291322	0	0
20	ubiquitin conjugating enzyme binding (GO:0031624)	0.0008472559480190066	7.823761261261262	55.341435736668444	DCUN1D5,SIAH2,DCUN1D1,MARCHF7,FOXL2	0.021901566256291322	0	0
21	androsterone dehydrogenase activity (GO:0047023)	0.0009026212543874761	22.467692307692307	157.5031856373618	AKR1C1,AKR1C3,AKR1C2	0.02222167564372977	0	0
22	bile acid binding (GO:0032052)	0.0013277008635360407	18.722115384615385	124.02103076079678	AKR1C1,AKR1C3,AKR1C2	0.031200970293096954	0	0
23	aldo-keto reductase (NADP) activity (GO:0004033)	0.001860016561492968	16.046703296703296	100.88834975696015	ALDH3A1,AKR1C1,AKR1C3	0.040490774637897776	0	0
24	ubiquitin-like protein conjugating enzyme binding (GO:0044390)	0.0020362865388497916	6.257078507078507	38.77278445893679	DCUN1D5,SIAH2,DCUN1D1,MARCHF7,FOXL2	0.040490774637897776	0	0
25	NADH dehydrogenase (quinone) activity (GO:0050136)	0.0020362865388497916	6.257078507078507	38.77278445893679	NDUFA9,NDUFB5,NDUFS6,NDUFA10,NDUFC2	0.040490774637897776	0	0
26	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	0.0020362865388497916	6.257078507078507	38.77278445893679	NDUFA9,NDUFB5,NDUFS6,NDUFA10,NDUFC2	0.040490774637897776	0	0
27	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.002314637213053247	6.054925893635571	36.744331803580316	AKR1C1,CYP4F3,AKR1C3,AKR1C2,CYP4F11	0.04432101626476032	0	0
28	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.0025081032493234393	14.040144230769231	84.07559167330254	AKR1C1,AKR1C3,AKR1C2	0.046310334996436366	0	0
