Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	8.879602086570526e-12	11.057345749313324	281.3792005132648	GSTM4,CBR1,GSTM3,GSTM2,GSTM1,UGT1A1,GSTP1,AKR1C1,MGST1,ADH7,ALDH3A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	2.441890573806895e-09	0	0
2	Glutathione metabolism	1.972081702448476e-09	11.257976827094474	225.65687061897867	GSTM4,GSTM3,GPX2,G6PD,GSTM2,GSTM1,RRM2,GSTP1,GSR,MGST1,PGD,GGCT,GCLC	2.711612340866654e-07	0	0
3	Drug metabolism	2.111222865822206e-08	6.649515478946917	117.51963601621395	GSTM4,GSTM3,GSTM2,GSTM1,RRM2,UGT1A1,GSTP1,MGST1,ADH7,ALDH3A1,UGT1A5,UGT1A3,UMPS,UGT1A9,UGT1A7,UGT1A6	1.935287627003689e-06	0	0
4	Chemical carcinogenesis	3.543262330791911e-07	3.8974585391429124	57.88913792514163	GSTM4,GSTM3,CBR1,GSTM2,JAG1,GSTM1,MAP2K2,UGT1A1,GSTP1,MGST1,CACNA1B,AKR1C2,KLF5,UGT1A5,BIRC5,UGT1A3,KPNA2,UGT1A9,HRAS,UGT1A7,KPNA1,UGT1A6	2.4359928524194386e-05	0	0
5	Glycolysis / Gluconeogenesis	1.20385928125425e-06	7.450857979910714	101.55503104726236	GPI,ALDH3A1,TPI1,PKM,PDHA1,PGAM1,ALDOA,ADH7,DLD,GAPDH,HK2	6.621226046898375e-05	0	0
6	Steroid hormone biosynthesis	3.7367283756084685e-06	7.424989488972977	92.79232184776383	UGT1A1,SRD5A1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.00017126671721538815	0	0
7	Ascorbate and aldarate metabolism	9.697007468265705e-06	11.47438490057297	132.45677927771354	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0003809538648247241	0	0
8	Central carbon metabolism in cancer	1.3319626545531605e-05	6.308317089018844	70.81888306430879	SLC7A5,G6PD,MAP2K2,PKM,PDHA1,PGAM1,SLC2A1,HRAS,HK2,FGFR2	0.00045786216250264894	0	0
9	Pentose and glucuronate interconversions	2.3405232131806118e-05	9.772466264714327	104.19941960339018	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0007151598706940758	0	0
10	Diabetic cardiomyopathy	2.6028559669494114e-05	3.48449785371244	36.783461051306915	NDUFA9,G6PD,PDHA1,NDUFB5,GSR,NDUFA10,SLC2A1,ATP2A2,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,COL1A1,NDUFS6,VDAC3,GAPDH	0.0007157853909110881	0	0
11	Retinol metabolism	6.67492964825836e-05	5.762777814416673	55.406612252147035	UGT1A1,RDH10,UGT1A5,PNPLA4,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.00166873241206459	0	0
12	Pentose phosphate pathway	0.00010810677557709468	9.406673114119922	85.90541835942156	GPI,G6PD,TALDO1,PGD,ALDOA,TKT	0.0024200697822761427	0	0
13	Porphyrin and chlorophyll metabolism	0.00011440329879850857	7.325958225667528	66.48878986167634	UGT1A1,UGT1A5,UGT1A3,UGT1A9,EARS2,UGT1A7,UGT1A6	0.0024200697822761427	0	0
14	One carbon pool by folate	0.00013430738218275543	12.523809523809524	111.65451454134308	ALDH1L1,ATIC,SHMT2,MTHFD2,TYMS	0.002551025472497783	0	0
15	Hepatocellular carcinoma	0.00013914684395442453	3.4511519914270403	30.646163253122534	GSTM4,GSTM3,NQO1,GSTM2,MAP2K2,GSTM1,CDKN2A,GSTP1,TXNRD1,WNT5A,FZD6,MGST1,KEAP1,HRAS	0.002551025472497783	0	0
16	Fluid shear stress and atherosclerosis	0.00029672812147838606	3.577977410357952	29.062816553159337	GSTM4,GSTM3,NQO1,GSTM2,GSTM1,GSTP1,GPC1,SUMO2,MGST1,KEAP1,RAC3,CALM1	0.0047440367442688714	0	0
17	Alzheimer disease	0.00030961341719429997	2.4208643232267453	19.561034206097716	NDUFA9,MAP2K2,NDUFB5,FZD6,NDUFA10,WNT5A,ATP2A2,NDUFC2,SDHC,COX5A,SDHB,RTN4,ATP5MC1,SEM1,TUBA1C,PPP3R1,NDUFS6,VDAC3,PSMD1,CALM1,HRAS,GAPDH	0.0047440367442688714	0	0
18	DNA replication	0.00031051876871578067	7.523017408123791	60.76541432042754	FEN1,RNASEH2A,RFC4,RPA3,POLD2,MCM4	0.0047440367442688714	0	0
19	Spliceosome	0.0005931953851477524	3.290904449927678	24.451376383840472	ISY1,PRPF4,HNRNPM,SNRPD1,NCBP2,TRA2B,THOC3,HNRNPA1,LSM4,U2SURP,SNRPB,CHERP	0.0085857226797701	0	0
20	Homologous recombination	0.0006419037545370897	6.446642718983145	47.3897359495522	SEM1,RAD51,RPA3,POLD2,RBBP8,BRCA1	0.008826176624884984	0	0
21	Citrate cycle (TCA cycle)	0.0009950864705837285	7.510424710424711	51.9171695928872	PDHA1,MDH2,SDHC,SDHB,DLD	0.013030894257644064	0	0
22	Hippo signaling pathway	0.0012309830310097414	3.0055598035276887	20.137077012155476	PPP2CA,FRMD6,PARD3,DLG5,WNT5A,FZD6,BIRC5,PPP2R2A,SCRIB,NF2,BMP7,YWHAZ	0.015387287887621767	0	0
23	Pathways of neurodegeneration	0.0017277372198201122	2.0289981292962866	12.906340822685156	NDUFA9,RYR1,GPX2,MAP2K2,NDUFB5,FZD6,NDUFA10,WNT5A,CACNA1B,NDUFC2,ATP2A2,SDHC,COX5A,SDHB,ATP5MC1,SEM1,TUBA1C,PPP3R1,UCHL1,NDUFS6,VDAC3,PSMD1,CALM1,HRAS	0.020130950169753664	0	0
24	Pathways in cancer	0.0017568829239057743	1.96534454250254	12.468566569864228	NOTCH3,GSTP1,MGST1,SLC2A1,KEAP1,PLD1,CKS1B,RAC3,HRAS,GSTM4,GSTM3,NQO1,GSTM2,JAG1,GSTM1,MAP2K2,JUP,LAMB3,CDKN2A,TXNRD1,FZD6,WNT5A,RAD51,BIRC5,CALM1,FGFR2	0.020130950169753664	0	0
25	Prion disease	0.002338881388157233	2.3601102080599237	14.297742356974208	RYR1,NDUFA9,NDUFB5,NDUFA10,CACNA1B,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,SEM1,TUBA1C,PPP3R1,NDUFS6,VDAC3,PSMD1	0.025058565251563913	0	0
26	Parkinson disease	0.002434191911712318	2.4282000807591357	14.613249105583819	NDUFA9,NDUFB5,NDUFA10,NDUFC2,SDHC,COX5A,SDHB,ATP5MC1,SEM1,TUBA1C,UCHL1,NDUFS6,VDAC3,PSMD1,CALM1	0.025058565251563913	0	0
