Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	6.526397993321353e-19	5.018875521972559	210.15668759298987	HJURP,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,CBR1,SREBF1,GPX2,G6PD,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,TKT,PFN2,ABCB6,MGST1,LRP8,NT5DC1,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,AKR1C3,CYP4F11,TPD52L1,STXBP5L,GCLC,TMEM237,PNPLA4,RPL22L1,TMEM18	1.1878044347844863e-16	0	0
2	MEL18 DN.V1 UP	4.4490472086576425e-06	4.5348237720284965	55.8818197732154	CA12,JAG1,LAMB3,DDX11,ABCC5,FZD6,ADM,PTHLH,GREM1,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CHST2	0.0004048632959878455	0	0
3	CSR LATE UP.V1 UP	1.2188879399781823e-05	3.90856218075153	44.22532849145722	CXCL6,PRMT5,FEN1,DTYMK,RRM2,UBE2C,IGFBP3,MAZ,FANCA,FOXM1,ANLN,PBK,BIRC5,FAM83D,UMPS,EZH2	0.0007394586835867639	0	0
4	P53 DN.V1 UP	5.373071022495136e-05	3.4215810119008045	33.63936211472302	COL17A1,AUTS2,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,UCHL1,KRT19,CALB1,KLF5,EPCAM,KRT15,PITX1,DSC2	0.002444747315235287	0	0
5	ESC V6.5 UP LATE.V1 DN	0.00011741642821522673	3.3336786849012294	30.16907111256548	VAC14,GPX2,SEMA4B,PHB,FAM169A,KLK10,TGM1,GGCT,BDH1,KRT17,ZNF428,SPP1,SGK1,C16ORF74,CBR3	0.004273957987034253	0	0
6	BMI1 DN.V1 UP	0.0004946926425148183	3.364557512502718	25.60957818914153	GREM1,SLC7A5,JAG1,LAMB3,KRT17,STC2,COL7A1,ADAM12,SLC2A1,B4GALNT1,GABRE,PTHLH	0.015005676822949487	0	0
7	LEF1 UP.V1 UP	0.0006402105843442462	2.932236320811037	21.562825517552543	RYR1,KCNG1,AUTS2,CDKN2A,WNT5A,KRT13,PAX6,KRT5,MPP6,BMP7,ANO1,SLC6A8,STC2,CHST2	0.0166454751929504	0	0
8	GCNP SHH UP LATE.V1 DN	0.0009351088001461877	2.947399319009041	20.55766127762071	DLX5,NDUFA10,SLC2A1,LSR,KLK8,MRPL3,WNK2,GJB6,ESRP1,UBE2V2,S100A11,MDFI,KPNA1	0.02127372520332577	0	0
9	RPS14 DN.V1 DN	0.0013250139852926796	2.8278003155285103	18.73794446880734	PLK1,KRT13,PYCR1,KIF23,MYO19,NCAPH,SLC6A8,TRIM29,EXO1,EPCAM,PRC1,PBK,ECT2	0.026794727258140853	0	0
10	BMI1 DN MEL18 DN.V1 UP	0.0015265921230292812	3.101285564365672	20.11096045673053	GREM1,SLC7A5,JAG1,LAMB3,TUFT1,STC2,COL7A1,ADAM12,MICALL1,ADM,PTHLH	0.02778397663913292	0	0
11	PRC2 EZH2 UP.V1 UP	0.0019274564338318469	2.7023809523809526	16.894080601563456	HELLS,RFC4,HJURP,PILRB,SULF1,THBS2,TPD52L1,NCAPH,HOXA10,TACC3,ECT2,PITX1,EZH2	0.03189064281430874	0	0
