Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	1.508942935503574e-09	15.348290598290598	311.7522757533655	SELP,CSF3,IL6,HGF,ITGB2,PECAM1,HBB,CCL2,ACKR1,TNF,THBS1	3.651641903918649e-07	0	0
2	Hematopoietic cell lineage	4.082411359974201e-09	9.01683967704729	174.174486966847	CSF3,IL4R,IL1R1,CD3E,TNF,EPOR,IL6,HLA-DMA,IL7,HLA-DOA,HLA-DQA1,CD55,HLA-DPA1,HLA-DQB1	4.939717745568784e-07	0	0
3	Rheumatoid arthritis	1.501260787045528e-07	8.066852367688023	126.744693356502	HLA-DMA,IL6,ANGPT1,ITGB2,TNFSF13,CCL2,FOS,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	1.2110170348833925e-05	0	0
4	Cell adhesion molecules	6.959971210426968e-07	5.705297044190811	80.88924685483673	ITGB2,ICAM2,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,PDCD1,HLA-DOA,HLA-DQA1,HLA-DPA1,ITGA9,HLA-DQB1	4.193276951626148e-05	0	0
5	Hypertrophic cardiomyopathy	8.66379535459948e-07	7.5615330520393815	105.55100706440153	EDN1,IL6,ACE,DES,TNNC1,LMNA,CACNA2D2,CACNA1D,TNF,ITGA9,TTN	4.193276951626148e-05	0	0
6	Complement and coagulation cascades	3.886445449057746e-06	7.222160664819945	89.9737901152369	SERPINA1,VWF,F10,ITGB2,C4BPA,VSIG4,TFPI,A2M,CD55,C2	0.00015675329977866243	0	0
7	Th17 cell differentiation	4.872260221409649e-06	6.2171006944444445	76.04728111182304	IL6,HLA-DMA,IL4R,IL1R1,FOS,HLA-DOA,IL6ST,CD3E,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.00016143265811567023	0	0
8	ECM-receptor interaction	5.336616797212239e-06	6.94331983805668	84.29828141441189	TNXB,VWF,COL4A2,COL4A1,LAMA4,COL4A3,NPNT,HSPG2,THBS1,ITGA9	0.00016143265811567023	0	0
9	Graft-versus-host disease	1.101409555509842e-05	10.765934065934067	122.90750656199405	HLA-DMA,IL6,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0002961567915926464	0	0
10	Antigen processing and presentation	1.3936828545448664e-05	7.04780206581792	78.80130353776173	CD74,HLA-DMA,PSME1,IFI30,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.00033727125079985765	0	0
11	Asthma	1.9459814136222547e-05	12.890301369863014	139.82314893343295	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.00042811591099689605	0	0
12	Inflammatory bowel disease	2.609462357185351e-05	7.567348122372046	79.8641367887005	HLA-DMA,IL6,IL4R,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0005085960899862687	0	0
13	Intestinal immune network for IgA production	2.7321277561245836e-05	9.187617260787993	96.54205590442253	HLA-DMA,IL6,TNFSF13,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0005085960899862687	0	0
14	PI3K-Akt signaling pathway	3.779595819538342e-05	3.108768656716418	31.657549935505674	PDGFRA,CSF3,TNXB,IL4R,VWF,ANGPT1,HGF,LAMA4,GNG11,THBS1,EPOR,NR4A1,IL6,COL4A2,COL4A1,IL7,COL4A3,FGFR4,ITGA9	0.000653330134520199	0	0
15	Allograft rejection	6.540026150908243e-05	10.06695205479452	96.99492500585107	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0010303113451216538	0	0
16	Staphylococcus aureus infection	6.811975835515067e-05	5.649717332648079	54.20476238043685	SELP,HLA-DMA,ITGB2,FPR3,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1,C2	0.0010303113451216538	0	0
17	Leishmaniasis	8.968848967824943e-05	6.247454785004192	58.22108144687901	HLA-DMA,ITGB2,FOS,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.001276742029537433	0	0
18	AGE-RAGE signaling pathway in diabetic complications	0.0001016894211398317	5.337927266104062	49.074700218302404	IL6,EDN1,COL4A2,COL4A1,COL4A3,AGTR1,CCL2,TNF,AGER	0.0013671577731021818	0	0
19	Viral myocarditis	0.00011843846132277534	7.103047895500726	64.21948740664432	HLA-DMA,ITGB2,HLA-DOA,HLA-DQA1,CD55,HLA-DPA1,HLA-DQB1	0.0014342670478671383	0	0
20	Amoebiasis	0.0001185344667658792	5.222598467296382	47.213892337799216	IL6,COL4A2,IL1R1,COL4A1,LAMA4,COL4A3,ITGB2,TNF,SERPINB6	0.0014342670478671383	0	0
21	Type I diabetes mellitus	0.00013358409328629556	8.704331728989263	77.64942288434047	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0015393976464420727	0	0
22	JAK-STAT signaling pathway	0.00022710639195186675	3.9414643119941135	33.069248047576124	SOCS2,PDGFRA,SOCS3,CSF3,IL6,IL4R,IL7,FHL1,LIFR,IL6ST,EPOR	0.0024981703114705343	0	0
