Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	3.3747014146577244e-09	6.070415133998949	118.41533904852982	VWF,PDE4D,ITGB2,AIF1,DCN,HCK,HLA-DMA,TYROBP,SPTLC3,ENPP2,SH3BP5,CTSH,CCL2,ST3GAL6,MNDA,CD69,PTGDS,TRIM22,HLA-DQB1	6.006968518090749e-07	0	0
2	ESC V6.5 UP LATE.V1 UP	5.482155594648705e-07	5.039339485186984	72.65012786805133	PARM1,GPX3,TNNC1,HPN,HNF1B,SH3RF1,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,SLIT3,ZNF521,CD55	4.0155126711325796e-05	0	0
3	EGFR UP.V1 UP	6.76771798505491e-07	4.9531630460730485	70.36429592353991	EDN1,IL4R,PCDH9,IL1R1,EPAS1,TFPI,DUSP6,PAPSS2,RND1,SOCS2,CRISPLD2,MGAT4A,CCL2,A2M,CTNNAL1,MGLL	4.0155126711325796e-05	0	0
4	CORDENONSI YAP CONSERVED SIGNATURE	9.681707670337494e-07	10.142092541436464	140.44625077477485	DAB2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	4.308359913300185e-05	0	0
5	KRAS.600 UP.V1 UP	1.927484923697042e-06	3.8994551390773404	51.31407877221415	NRP1,CSF3,DOCK4,RTN1,PCDH9,LIMCH1,HPN,ITGB2,LAPTM5,ETV1,TFPI,RNASE1,GNG11,DUSP6,SLCO4A1,MGAT4A,ST3GAL6,A2M,TGM2	6.608221454053304e-05	0	0
6	ATF2 S UP.V1 DN	2.28339579989841e-06	4.766380324013587	61.914550376364204	ITIH5,IL4R,IL1R1,ADH1B,CELF2,TMEM176A,C4BPA,FOS,SMAD6,DES,CCL2,SVEP1,ST3GAL6,SLIT3,A2M	6.608221454053304e-05	0	0
7	ERB2 UP.V1 UP	2.9699871703610357e-06	4.6570958886619	59.27064014175816	VIPR1,EDN1,PARM1,SERPINA1,IL1R1,LIMCH1,EPAS1,PDE4D,DUSP6,PAPSS2,DAB2,MUC1,NPC2,MGAT4A,FGFR4	6.608221454053304e-05	0	0
8	ESC J1 UP LATE.V1 UP	2.9699871703610357e-06	4.6570958886619	59.27064014175816	PDGFRA,PARM1,CITED2,GPX3,SHROOM3,LMO7,HNF1B,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,CD55	6.608221454053304e-05	0	0
9	MEL18 DN.V1 UP	6.603079880882257e-05	4.583098290598291	44.1141051379392	NRP1,NRP2,EDN1,CD83,ABLIM3,CRISPLD2,SLCO4A1,GFPT2,LTBP4,LPL,HLA-DQA1	0.0013059424653300465	0	0
10	KRAS.KIDNEY UP.V1 UP	8.506200388495543e-05	4.44537728026534	41.66265425836767	RTN1,PCDH9,LIMCH1,PECAM1,AQP4,ANK2,ST3GAL6,ETV1,A2M,ASPA,DUSP6	0.0014643439204743624	0	0
11	KRAS.300 UP.V1 UP	9.049316362482014e-05	4.412222222222222	41.07883127713421	CSF3,DOCK4,RTN1,HPN,ITGB2,ST3GAL6,ETV1,A2M,TFPI,RNASE1,DUSP6	0.0014643439204743624	0	0
12	GCNP SHH UP LATE.V1 DN	0.0001415411710000306	3.8720652606446477	34.31780433812651	LGALS4,CD52,NRP2,EDN1,IL4R,SLC11A1,TNNC1,S1PR1,AMOTL2,ADRB2,HSPG2,AGER	0.002099527369833787	0	0
13	ATF2 UP.V1 DN	0.00020220174505994158	3.7158456028651017	31.60789167202156	ITIH5,MFAP4,IL1R1,LIMCH1,SLCO4A1,CELF2,CCL2,SVEP1,SLIT3,FOS,SMAD6,CD68	0.0025354266410237566	0	0
14	CRX DN.V1 DN	0.0002030990878308279	4.357296041461889	37.044931731969655	SOCS3,PPP1R14A,STEAP4,COL4A2,GLIPR2,TMEM176A,RGL3,GNG11,CTNNAL1,TGM2	0.0025354266410237566	0	0
15	HINATA NFKB IMMU INF	0.0002289845376489659	16.44602808635506	137.84824047248927	IL6,CD83,CCL2,OLR1	0.0025354266410237566	0	0
16	LTE2 UP.V1 UP	0.00023429932966571455	3.652655628931802	30.532223584225328	UNC13B,DAB2,EDN1,SERPINA1,PCDH9,IL1R1,EPAS1,GPX3,NPC2,MGAT4A,C4ORF19,FGFR4	0.0025354266410237566	0	0
17	KRAS.50 UP.V1 UP	0.0002487400154785775	7.6661448140900195	63.622120223652026	DOCK4,ITGB2,HPN,ST3GAL6,ETV1,A2M	0.0025354266410237566	0	0
18	IL2 UP.V1 UP	0.00025802583838489726	3.6116991643454037	29.841486755550285	SOCS2,CLDN5,CD52,RGS3,SLCO4A1,HEG1,AATK,FOS,CD69,ASPA,DUSP6,ITGA9	0.0025354266410237566	0	0
19	E2F1 UP.V1 DN	0.00027063542797444595	3.5915603502670095	29.503727026515747	PDGFRA,DAB2,TNXB,PLXND1,IL1R1,LAMA4,NFKBIZ,CCL2,CD3E,IL6ST,RUNX1T1,TGM2	0.0025354266410237566	0	0
20	RAF UP.V1 UP	0.0003116517874681957	3.532457308949982	28.51973231773112	CCR1,SOCS2,HPGD,CRISPLD2,EPAS1,NPC2,GJA5,HEG1,PDE4D,C4ORF19,TBC1D2B,TSPAN12	0.002773700908466942	0	0
21	KRAS.600.LUNG.BREAST UP.V1 UP	0.00033785079771321325	2.987405852574392	23.878054721592402	CSF3,DOCK4,HPN,SEMA3B,LPL,TFPI,RNASE1,GNG11,CLDN5,SLCO4A1,TRIM46,ST3GAL6,SLIT2,A2M,MGLL	0.0027847030398294465	0	0
22	CSR LATE UP.V1 DN	0.0003441767802036394	3.741614255765199	29.836960859821694	ACVRL1,ANKRD29,SFTPB,CLEC3B,TNXB,CCL2,SVEP1,TBC1D2B,TRIM22,PRKG1,APOL3	0.0027847030398294465	0	0
23	BMI1 DN MEL18 DN.V1 UP	0.0003837779833433935	4.0	31.461785363827655	NRP2,EDN1,ZEB2,ABLIM3,CRISPLD2,PODXL,GFPT2,TNIP3,ADRB2,MGLL	0.0029701078710923498	0	0
24	NRL DN.V1 DN	0.0009000362444210704	3.8792486187845303	27.205463539411564	SOCS3,NR4A1,PLEKHH2,ALDH2,ARHGDIB,PECAM1,CCL2,RGL3,ADRB2	0.006675268812789605	0	0
