Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	9.320881236040478e-05	41.69370629370629	386.945457789147	NQO1,AKR1C1,AKR1C2	0.014413349823629467	0	0
2	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	0.0001347042039591539	36.13090909090909	322.0141715616055	AKR1C1,AKR1C2,PTGR1	0.014413349823629467	0	0
3	ketosteroid monooxygenase activity (GO:0047086)	0.000312907902338157	119.42342342342343	963.699454999233	AKR1C1,AKR1C2	0.022320763700121864	0	0
4	monocarboxylic acid binding (GO:0033293)	0.0007034009221338621	19.34318181818182	140.42344408624004	AKR1C1,AKR1C2,UGT1A6	0.02639164040663295	0	0
5	DNA secondary structure binding (GO:0000217)	0.0008468020682651258	18.05181818181818	127.69934844887474	RECQL4,MSH6,HMGB3	0.02639164040663295	0	0
6	androsterone dehydrogenase activity (GO:0047023)	0.0008664746331823843	59.7027027027027	420.96839710585425	AKR1C1,AKR1C2	0.02639164040663295	0	0
7	oxidized DNA binding (GO:0032356)	0.0008664746331823843	59.7027027027027	420.96839710585425	RECQL4,MSH6	0.02639164040663295	0	0
8	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.0010946126189063116	16.408264462809917	111.86095969110802	AKR1C1,AKR1C2,CYP4F11	0.02639164040663295	0	0
9	bile acid binding (GO:0032052)	0.0011099288021481147	51.171171171171174	348.14098591899386	AKR1C1,AKR1C2	0.02639164040663295	0	0
10	oxidized purine DNA binding (GO:0032357)	0.0013822943268056002	44.77252252252252	294.7827630862282	RECQL4,MSH6	0.029581098593639842	0	0
11	carboxylic acid binding (GO:0031406)	0.0016011030056112862	14.245693779904306	91.70042134163485	GCLC,AKR1C1,AKR1C2	0.030017825969249033	0	0
12	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.001683242577714899	39.7957957957958	254.1770705617978	AKR1C1,AKR1C2	0.030017825969249033	0	0
13	RNA binding (GO:0003723)	0.002295846533184276	2.3583063354931606	14.330610786550373	NQO1,TRMT10C,MAZ,MRPS23,HMGB3,HSPB1,HLA-A,MSI2,CHD3,SAFB,U2SURP,FBL,TRIM28,DKC1,KHSRP,ESRP1,FAM120A	0.036220820250574645	0	0
14	protein phosphatase activator activity (GO:0072542)	0.0023695863715329207	32.55692055692056	196.8078826757668	PTPA,IGFBP3	0.036220820250574645	0	0
15	peptide hormone receptor binding (GO:0051428)	0.0027543382287582405	29.84234234234234	175.90801680556538	PSMC5,PTHLH	0.0392952253969509	0	0
