Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	guanyl-nucleotide exchange factor activity (GO:0005085)	1.646315968759841e-07	4.721799173980382	73.75240475620878	DOCK4,ARHGEF15,DENND4A,DENND3,RASGRP2,DOCK10,DOCK11,PREX1,ABR,AKAP13,FGD5,RASGEF1B,SPATA13,SH3BP5,RAPGEF2,RIN3,ARHGEF2,DOCK2,RAPGEF5	8.955958870053534e-05	0	0
2	GTPase activator activity (GO:0005096)	6.322002528377898e-07	3.0753521361630223	43.89775979707901	NRP1,DOCK4,LRRK2,ARHGEF10L,DENND3,IQGAP2,RASGRP2,ARHGAP44,DOCK10,PREX1,ABR,AKAP13,DOCK11,FGD5,RGS3,RASGEF1B,CHN1,SH3BP5,STARD13,ARHGEF15,DENND4A,RALGAPA2,TBC1D2B,SPATA13,RAPGEF2,RIN3,ARHGEF2,RAPGEF5,DOCK2	0.00017195846877187884	0	0
3	calcium ion binding (GO:0005509)	3.102966423730834e-05	2.613325037699438	27.127795385664445	MCTP1,LTBP4,LPL,FBLN1,RASGRP2,AIF1,THBS1,SLC8A1,TTN,CDH5,CLEC3B,SCUBE1,ENPP2,CAPN3,EFHD1,SLIT3,TGM2,TNNC1,SYT15,SYT8,NAALADL1,SELP,RGN,CDHR3,SPARCL1,RAPGEF2	0.005626712448365247	0	0
4	MHC class II receptor activity (GO:0032395)	0.00016037780398785897	21.144571740316422	184.76080799856723	HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.02181138134234882	0	0
5	protease binding (GO:0002020)	0.00028174852113956077	3.6194499202102692	29.587177642257934	ADAMTS4,PRKN,CCBE1,SERPINA1,VWF,ITGB3,TIMP2,CFLAR,A2M,TNF,SERPINB6,TTN	0.03043124622212042	0	0
6	metal ion binding (GO:0046872)	0.0003356387450969164	2.064198235526242	16.51250246872337	MCTP1,LRRK2,LTBP4,LPL,FBLN1,RASGRP2,AIF1,THBS1,SLC8A1,TTN,CDH5,CLEC3B,SCUBE1,ENPP2,EFHD1,CAPN3,SLIT3,APOE,TGM2,TNNC1,SYT15,IRAK3,SEPTIN4,SYT8,NAALADL1,SELP,RAP2A,RGN,CDHR3,SPARCL1,RAPGEF2	0.03043124622212042	0	0
7	sodium ion binding (GO:0031402)	0.0005398704451053177	31.669934640522875	238.29033201062055	SLC34A2,CAPN3,ATP1A2	0.03671119026716161	0	0
8	LBD domain binding (GO:0050693)	0.0005398704451053177	31.669934640522875	238.29033201062055	CITED2,PPARG,PROX1	0.03671119026716161	0	0
9	PDZ domain binding (GO:0030165)	0.0006667543518025148	4.632020368428935	33.87437659287152	PRKN,DOCK4,PLEKHA1,CADM1,TMEM88,CRIM1,RAPGEF2,CFTR	0.03806718955727568	0	0
10	transforming growth factor beta binding (GO:0050431)	0.0007074477851814695	8.354616048317515	60.603104327841606	ACVRL1,LTBP4,CD36,THBS1,ENG	0.03806718955727568	0	0
11	amyloid-beta binding (GO:0001540)	0.0007697409653125597	4.040022312090364	28.96476425949597	CD74,MSR1,ITGB2,CD36,ADRB2,APBB1,APOE,HSPG2,AGER	0.03806718955727568	0	0
12	actin binding (GO:0003779)	0.001180589843062501	2.7470371466778274	18.51981323057382	PRKN,MACF1,PLEKHH2,LRRK2,SORBS1,IQGAP2,SYNE1,MLPH,MICAL1,PHACTR1,DMD,CORO7,UTRN,MYH10	0.046617969535293166	0	0
13	transmembrane receptor protein phosphatase activity (GO:0019198)	0.0011997271571582801	10.569012547735952	71.08359673818767	PTPRE,PTPRB,PTPRC,PTPRM	0.046617969535293166	0	0
14	transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	0.0011997271571582801	10.569012547735952	71.08359673818767	PTPRE,PTPRB,PTPRC,PTPRM	0.046617969535293166	0	0
