Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RNA binding (GO:0003723)	3.1825211200585154e-12	2.2413192532217203	59.33522328803116	RPL4,EIF4A2,PPAN,MSI2,ENO1,YARS1,YY1,FBL,PSMD4,TRIM28,SNRPD2,SNRPD1,RPL36,RPL35,RPL37,KPNA2,DDX11,RPS5,PUS1,IMP4,CLNS1A,GRWD1,FSCN1,SNRPG,CCDC86,SNRPC,PPIA,SNRPB,DAP3,SLBP,MAZ,MRPL16,TRMT2A,RPF2,RTN4,MRPL11,RAD51AP1,PRDX1,DHX36,DNAJC21,FDPS,ALYREF,EIF2S2,LSM4,MRPL21,CHERP,HNRNPL,HNRNPM,LSM7,CAPRIN1,GRSF1,EIF4G1,TOP2A,RBM28,WDR3,HMGB3,HSPB1,BRCA1,SPOUT1,DUSP14,MRPL42,MRPL3,SUMO2,RBM34,ZNF385A,EIF5B,TSFM,MRPS24,NCBP2,MRPS23,YWHAZ,DARS1,NME1,PKM,ESRP1,TCP1,STRAP,PABPC1,CACTIN,ALDOA,LUC7L2,FYTTD1,SLC3A2,SELENOH,PES1,FAM120A,POLR2D,SAP18,DROSHA,RALY,RPS2,HNRNPA1,EIF4E,PTPN1,NQO1,TRMT10C,NIFK,MDH2,CDKN2A,CCDC59,PDAP1,RPL35A,DEK,HSPE1,U2SURP,NUDT21,RBM42,RPL22L1,RAN	2.0590911646778594e-09	0	0
2	protein homodimerization activity (GO:0042803)	7.61668600051515e-08	2.378550461577731	38.98524929039498	TOP2A,TENM2,TENM4,HSPB1,ATP2A1,ENO1,NADK2,ATIC,CHEK2,CHMP1A,G6PD,TPI1,HMGCS1,UGT1A1,DNTTIP1,SLC51A,CIP2A,KNSTRN,MSH6,ANO1,MVD,TKT,SNRPC,SHMT2,TYMP,IRAK1,PDCD10,STC2,HSD17B1,DROSHA,UGT1A3,UGT1A9,ECT2,MORC2,S100A11,UGT1A7,UGT1A6,TBX1,GSTM3,NTRK2,GSTM2,GSTM1,JUP,BNIP3,TPD52L1,GRHL1,GGCT,EXT1,NUDT21,CENPF,BAX,MAP3K13,BCL2L2,FGFR2	2.463997921166651e-05	0	0
3	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	1.2548105522445126e-06	5.207517406440383	70.76248541854365	CBR1,G6PD,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,UGDH,LDHB,LDHA,BDH1,RDH10,PHGDH,CBR3	0.00019640839642609792	0	0
4	cadherin binding (GO:0045296)	1.358341603892735e-06	2.7886745545785185	37.672890602982335	LAD1,TWF1,SLC3A2,ENO1,BZW2,NDRG1,CDH8,RTN4,LDHA,ATIC,CDH3,TRIM29,PRDX1,MICALL1,RPS2,S100A11,NCK1,PTPN1,ANXA1,JUP,SCRIB,CIP2A,YWHAZ,ANLN,DLG1,PKM,CTTN,FSCN1,CDH13,ITGA6,ALDOA,RAN	0.00019640839642609792	0	0
5	DNA replication origin binding (GO:0003688)	1.517839230495347e-06	13.24984907287624	177.5244298568454	ORC5,ORC4,DDX11,GRWD1,MCM4,MCM10,MCM5,MCM2	0.00019640839642609792	0	0
6	magnesium ion binding (GO:0000287)	1.6071051658504554e-05	3.518573885976409	38.83974595506866	TOP2A,FEN1,EYA2,PLK1,IDH2,NME1,MSH6,GCLC,MTHFD2,RHEB,DHX36,STK38L,UBA2,TKT,MORC2,DCTPP1,RAN,MARK1	0.001710155900890789	0	0
7	monocarboxylic acid binding (GO:0033293)	1.8502459515047175e-05	8.637606164576185	94.12923643454809	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.001710155900890789	0	0
8	single-stranded DNA binding (GO:0003697)	2.3619784061907436e-05	4.208290790279763	44.832714055325454	DDX11,MCM10,RAD51AP1,RAD51,RNF138,RPA3,DHX36,POLR2D,RBBP8,MCM4,MCM5,POLR2H,HNRNPA1,MCM2	0.0019102500360067638	0	0
9	DNA secondary structure binding (GO:0000217)	3.0386410520966295e-05	7.945769728331177	82.64804358655117	RAD51AP1,YY1,RECQL4,MSH6,RBBP8,HMGA1,HMGB3,HMGA2	0.00218444528967391	0	0
10	hexosyltransferase activity (GO:0016758)	6.201611769277542e-05	3.5991790520184774	34.869265038625834	UGT1A1,TMTC3,FUT3,EXT1,HAS3,GCNT3,B4GALNT1,UGT1A3,B4GALNT3,UGT1A9,LARGE2,B4GALT4,UGT1A7,B4GALNT4,UGT1A6	0.0040124428147225695	0	0
11	UDP-glycosyltransferase activity (GO:0008194)	9.874466565895766e-05	4.14976159514521	38.273139871704764	EXT1,UGT1A1,HAS3,GCNT3,B4GALNT1,UGT1A3,B4GALNT3,UGT1A9,LARGE2,UGT1A7,B4GALNT4,UGT1A6	0.005807981698304146	0	0
12	metal ion binding (GO:0046872)	0.00015130065059414439	2.0009159953582074	17.600540590812937	TOP2A,RYR1,FEN1,SPARC,ATP2A2,ATP2A1,RASGRP1,CDH8,PPP3R1,CDH3,CALB1,DHX36,STK38L,MORC2,S100A11,MARK1,ANXA1,S100A2,EYA2,IGFBP3,PLK1,IDH2,HSPE1,NME1,MSH6,SMOC2,GCLC,RCN1,RCN2,MTHFD2,RHEB,UBA2,CDH13,TKT,CALM1,DCTPP1,DSC2,RAN	0.007762322681964436	0	0
13	glucuronosyltransferase activity (GO:0015020)	0.00015596629809202112	7.233257967269595	63.405803443767695	EXT1,UGT1A1,UGT1A3,UGT1A9,LARGE2,UGT1A7,UGT1A6	0.007762322681964436	0	0
14	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	0.0002733419508558597	11.251171508903468	92.3134654986807	NQO1,CBR1,AKR1C1,AKR1C3,AKR1C2	0.012429314576357469	0	0
15	retinoid binding (GO:0005501)	0.00028816030702528907	6.428557756723132	52.40556176119562	UGT1A1,ABCA4,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.012429314576357469	0	0
16	RNA-DNA hybrid ribonuclease activity (GO:0004523)	0.0005591777621014437	37.05077120822622	277.47482377005593	FEN1,RNASEH2A,EXO1	0.020099334004424114	0	0
17	ketosteroid monooxygenase activity (GO:0047086)	0.0005591777621014437	37.05077120822622	277.47482377005593	AKR1C1,AKR1C3,AKR1C2	0.020099334004424114	0	0
18	L-leucine transmembrane transporter activity (GO:0015190)	0.0005591777621014437	37.05077120822622	277.47482377005593	SLC7A5,SLC7A8,SLC3A2	0.020099334004424114	0	0
19	translation initiation factor activity (GO:0003743)	0.0009500890447059461	5.103169174646603	35.512723860379495	EIF4A2,EIF2B5,EIF5B,EIF3K,EIF2S2,EIF4E,EIF4G1	0.032353032206565636	0	0
20	insulin-like growth factor I binding (GO:0031994)	0.0012439298060416268	10.988130988130989	73.50487932085338	ITGB4,IGFBP3,IGFBP2,ITGA6	0.04024112922544663	0	0
21	retinoic acid binding (GO:0001972)	0.0013564398849296138	7.277895694360218	48.055157387828885	UGT1A1,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.04179126693092668	0	0
22	mRNA binding (GO:0003729)	0.0016041944184062762	2.1667953458025226	13.943617465627248	FYTTD1,SLBP,SHMT2,NCBP2,RPS5,TYMS,EIF2S2,HNRNPL,HNRNPM,NUDT21,PKM,ESRP1,DHX36,RPL35,PABPC1,RPS2,GRSF1,CCT5,ZNF385A,LUC7L2,EIF4G1	0.04550614460646796	0	0
23	translation elongation factor activity (GO:0003746)	0.0016880177288334328	9.888803088803089	63.13210043728302	EEF1B2,TSFM,EIF5A2,EEF1A2	0.04550614460646796	0	0
24	nucleoside diphosphate kinase activity (GO:0004550)	0.0016880177288334328	9.888803088803089	63.13210043728302	DTYMK,NME2,NME4,NME1	0.04550614460646796	0	0
25	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	0.0017762467759897158	3.96771021992238	25.128511437827882	COX8A,NDUFA9,NDUFS6,NDUFB5,NDUFA10,NDUFA4L2,NDUFC2,COX5A	0.04591546466979169	0	0
26	branched-chain amino acid transmembrane transporter activity (GO:0015658)	0.0018451345926036847	18.523457583547557	116.60892675484226	SLC7A5,SLC7A8,SLC3A2	0.04591546466979169	0	0
