Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Bacterial invasion of epithelial cells	0.011506051423331512	131.05921052631578	585.1639324621284	FN1	0.03684074853239513	0	0
2	ECM-receptor interaction	0.013142539507388676	114.42528735632185	495.67901892070734	FN1	0.03684074853239513	0	0
3	Small cell lung cancer	0.013737178126808362	109.37362637362638	468.95576237961774	FN1	0.03684074853239513	0	0
4	AGE-RAGE signaling pathway in diabetic complications	0.014925738877681147	100.4949494949495	422.54790984855003	FN1	0.03684074853239513	0	0
5	Amoebiasis	0.015222729833167328	98.4950495049505	412.1983924062594	FN1	0.03684074853239513	0	0
6	Leukocyte transendothelial migration	0.017003422399566984	87.98230088495575	358.4698638821348	THY1	0.03684074853239513	0	0
7	Yersinia infection	0.020410415306419013	73.01838235294117	284.1663654413698	FN1	0.037905056997635314	0	0
8	Focal adhesion	0.0298493008283308	49.4925	173.79755922762263	FN1	0.042050155216866066	0	0
9	Proteoglycans in cancer	0.03043720969101589	48.51225490196079	169.40913189219572	FN1	0.042050155216866066	0	0
10	Regulation of actin cytoskeleton	0.032346273243743125	45.576036866359445	156.3830711828775	FN1	0.042050155216866066	0	0
