Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	monocarboxylic acid binding (GO:0033293)	2.40559655372669e-06	14.232751454696592	184.1392483671987	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	0.001147469556127631	0	0
2	protein homodimerization activity (GO:0042803)	7.65110515657547e-06	2.5806037222965124	30.401216222956695	TENM2,TENM4,SHMT2,HSPB1,NFS1,INPP5F,CHEK2,STC2,UGT1A3,ECT2,S100A11,UGT1A7,UGT1A6,TBX1,GSTM3,NTRK2,HSP90AA1,G6PD,GSTM1,TPI1,JUP,UGT1A1,BNIP3,CEP131,SLC51A,TARBP2,EXT1,ANO1,DDIT3,TKT,MAP3K13	0.0018247885798432497	0	0
3	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	1.250846752810919e-05	22.08549515001128	249.32546799959644	NQO1,CBR1,AKR1C1,AKR1C3,AKR1C2	0.001988846336969361	0	0
4	UDP-glycosyltransferase activity (GO:0008194)	5.343412791779669e-05	5.869774436090226	57.74132869423384	EXT1,UGT1A1,MGAT4B,HAS3,B4GALNT1,UGT1A3,UGT1A7,B4GALNT4,UGT1A6	0.0063720197541972555	0	0
5	ketosteroid monooxygenase activity (GO:0047086)	8.174267916950084e-05	72.55555555555556	682.8881222530126	AKR1C1,AKR1C3,AKR1C2	0.0077982515927703805	0	0
6	cadherin binding (GO:0045296)	0.00011984912419464877	2.92834008097166	26.440793461998958	LAD1,JUP,HSPA5,SCRIB,SLC3A2,YWHAZ,RTN4,DNAJB1,LDHA,DLG1,CDH3,PKM,PRDX1,MICALL1,FSCN1,CCT8,ALDOA,S100A11	0.009528005373474577	0	0
7	alcohol dehydrogenase (NADP+) activity (GO:0008106)	0.000328981470937345	14.911652703731912	119.58413497299706	ALDH3A1,AKR1C1,AKR1C3,AKR1C2	0.018962073670403666	0	0
8	glucuronosyltransferase activity (GO:0015020)	0.0003782127321828473	9.336705478144683	73.5737408952136	EXT1,UGT1A1,UGT1A3,UGT1A7,UGT1A6	0.018962073670403666	0	0
9	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.0004013207461096176	4.94	38.634502948762346	CBR1,G6PD,LDHA,BDH1,AKR1C1,AKR1C3,PTGR1,CBR3	0.018962073670403666	0	0
10	5'-flap endonuclease activity (GO:0017108)	0.00043728052489400485	29.017777777777777	224.45064339414512	FEN1,EXO1,DNA2	0.018962073670403666	0	0
11	androsterone dehydrogenase activity (GO:0047023)	0.00043728052489400485	29.017777777777777	224.45064339414512	AKR1C1,AKR1C3,AKR1C2	0.018962073670403666	0	0
12	endodeoxyribonuclease activity (GO:0004520)	0.0006380535630252428	12.113861386138614	89.12274815716601	FEN1,EXO1,RBBP8,DNA2	0.02201044441688086	0	0
13	bile acid binding (GO:0032052)	0.0006460088508099205	24.18024691358025	177.59659550907213	AKR1C1,AKR1C3,AKR1C2	0.02201044441688086	0	0
14	flap endonuclease activity (GO:0048256)	0.0006460088508099205	24.18024691358025	177.59659550907213	FEN1,EXO1,DNA2	0.02201044441688086	0	0
15	hexosyltransferase activity (GO:0016758)	0.0007517922023227488	3.994941900205058	28.73581922783336	EXT1,UGT1A1,MGAT4B,HAS3,B4GALNT1,UGT1A3,UGT1A7,B4GALNT4,UGT1A6	0.02390699203386341	0	0
16	aldo-keto reductase (NADP) activity (GO:0004033)	0.0009089375558031968	20.724867724867725	145.14110164610787	ALDH3A1,AKR1C1,AKR1C3	0.026172813449630197	0	0
17	retinoic acid binding (GO:0001972)	0.0009327837078484557	10.766776677667767	75.12343152738477	UGT1A1,UGT1A3,UGT1A7,UGT1A6	0.026172813449630197	0	0
18	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.0012309402886972161	18.133333333333333	121.4929151658802	AKR1C1,AKR1C3,AKR1C2	0.03261991765047623	0	0
