Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	4.1775372077790455e-09	10.202009242515572	196.8329136864272	CBR1,GSTM3,GSTM1,UGT1A1,GSTP1,AKR1C1,ALDH3A1,CYP2S1,UGT1A5,UGT1A3,UGT1A7,CBR3,UGT1A6	1.0443843019447613e-06	0	0
2	Steroid hormone biosynthesis	3.8030924293518804e-06	8.475997686524002	105.77787463631658	UGT1A1,SRD5A1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	0.00047538655366898507	0	0
3	Glycolysis / Gluconeogenesis	8.41842496820366e-06	7.596836919885922	88.76970645381058	GPI,ALDH3A1,LDHA,TPI1,PKM,PGAM1,PGK1,ALDOA,HK2	0.0005434837288966837	0	0
4	Hepatocellular carcinoma	9.40678057700203e-06	4.485002307337333	51.90977456681375	GSTM3,NQO1,FZD3,MAP2K2,GSTM1,CDKN2A,GSTP1,TXNRD1,WNT7B,FZD6,ACTL6A,KEAP1,E2F3,HRAS	0.0005434837288966837	0	0
5	Central carbon metabolism in cancer	1.2132728849575532e-05	7.22211265869592	81.7514545693749	SLC7A5,G6PD,LDHA,MAP2K2,PKM,PGAM1,HRAS,HK2,PDK1	0.0005434837288966837	0	0
6	Drug metabolism	1.3043609493520409e-05	5.568698226388636	62.63233084222392	ALDH3A1,GSTM3,GSTM1,RRM2,UGT1A1,GSTP1,UGT1A5,NME4,UGT1A3,UGT1A7,UGT1A6	0.0005434837288966837	0	0
7	Glutathione metabolism	1.9304556946381385e-05	7.976734693877551	86.58880619108787	GSTM3,GPX2,G6PD,GCLC,GSTM1,RRM2,GSTP1,GSR	0.0006894484623707638	0	0
8	Chemical carcinogenesis	3.4626187815492214e-05	3.54516335682255	36.41201934580276	GSTM3,CBR1,HSP90AA1,JAG1,GSTM1,MAP2K2,UGT1A1,GSTP1,PTGES3,AKR1C2,UGT1A5,BIRC5,UGT1A3,HRAS,UGT1A7,UGT1A6	0.0010820683692341316	0	0
9	Human papillomavirus infection	0.0001688767715617416	2.8428115015974442	24.693630873039627	FZD3,JAG1,MAP2K2,LAMB3,ITGB4,WNT7B,FZD6,FN1,TNC,SCRIB,COL1A1,DLG1,PKM,RHEB,PARD3,SPP1,HRAS,ATP6V0A1	0.0046910214322706	0	0
10	Ascorbate and aldarate metabolism	0.0003225648010460889	9.710669975186104	78.06608126579629	UGT1A1,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.008064120026152222	0	0
11	Pentose and glucuronate interconversions	0.0005890788229248169	8.369555916830667	62.24397354811873	UGT1A1,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.012864760982190639	0	0
12	Pathways in cancer	0.0006175085271451507	2.244258104100624	16.584658217098657	GSTM3,NQO1,FZD3,HSP90AA1,JAG1,GSTM1,MAP2K2,JUP,LAMB3,CDKN2A,WNT7B,GSTP1,TXNRD1,MMP2,FZD6,FN1,KEAP1,PLD1,PGF,CKS1B,BIRC5,E2F3,HRAS	0.012864760982190639	0	0
13	DNA replication	0.0007718900496174609	7.828784119106699	56.106300076691454	FEN1,POLA2,RFC4,POLD2,DNA2	0.0148440394157204	0	0
14	Cell cycle	0.001009114465993578	3.820268061457993	26.35481488917708	CCNB1,DBF4,PTTG1,CDKN2A,CHEK2,PLK1,E2F3,PKMYT1,YWHAZ	0.018019901178456747	0	0
15	Amoebiasis	0.0011564711780175359	4.148510638297872	28.053813660326018	COL1A1,SERPINB4,COL3A1,SERPINB13,LAMB3,PRDX1,FN1,HSPB1	0.0192745196336256	0	0
16	Cellular senescence	0.0013979418544855925	3.3465271563295933	21.995900515757718	PPP3R1,CCNB1,MAP2K2,RHEB,CDKN2A,CHEK2,IGFBP3,E2F3,FOXM1,HRAS	0.02076002801230709	0	0
17	Bladder cancer	0.0014116819048368822	6.7397298042459335	44.232667732758614	MAP2K2,CDKN2A,MMP2,E2F3,HRAS	0.02076002801230709	0	0
18	Porphyrin and chlorophyll metabolism	0.0017539449990955725	6.38435418571242	40.514394973687075	UGT1A1,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.02436034720966073	0	0
19	Estrogen signaling pathway	0.002023079210962511	3.429981203007519	21.276634962363556	HSP90AA1,MAP2K2,KRT17,KRT16,MMP2,KRT15,KRT13,HRAS,EBAG9	0.0266194633021383	0	0
20	Retinol metabolism	0.0026194923250831043	4.701492537313433	27.949314118606935	UGT1A1,CYP2S1,UGT1A5,UGT1A3,UGT1A7,UGT1A6	0.0327436540635388	0	0
21	Pentose phosphate pathway	0.003073305257801497	7.450875856816451	43.103329239843234	GPI,G6PD,ALDOA,TKT	0.036586967354779724	0	0
22	Pathways of neurodegeneration	0.0042964560100292905	2.049700085689803	11.17079327620934	COX8A,RYR1,FZD3,GPX2,COX7B,MAP2K2,HSPA5,WNT7B,FZD6,SEPTIN5,UBE2G1,SEM1,PPP3R1,UCHL1,PSMC6,NDUFS6,DDIT3,TARDBP,HRAS	0.04608649957511065	0	0
23	Fructose and mannose metabolism	0.004373936499971095	6.679071355411403	36.28132923855911	TKFC,TPI1,ALDOA,HK2	0.04608649957511065	0	0
24	mTOR signaling pathway	0.0044243039592106225	3.0252009333679024	16.398532176416705	SLC7A5,CLIP1,FZD3,MAP2K2,RHEB,WNT7B,FZD6,SLC3A2,HRAS	0.04608649957511065	0	0
