Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ECM-receptor interaction	1.489038922699441e-05	8.094238683127571	89.96580017524043	TNXB,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,NPNT,ITGA9	0.003283306482137938	0	0
2	Dilated cardiomyopathy	2.8182888258694746e-05	7.3554059109614665	77.06108401595652	PLN,DES,LAMA2,TNNC1,CACNA1D,SLC8A1,ITGA9,TTN	0.003283306482137938	0	0
3	Amoebiasis	4.369494789445335e-05	6.883810524472463	69.10160423526777	PLCB4,COL4A2,LAMA2,IL1R1,COL4A1,LAMA4,COL4A3,SERPINB6	0.0033528994693176883	0	0
4	Parathyroid hormone synthesis, secretion and action	5.756050591103328e-05	6.601494918955236	64.44824205848288	SLC34A2,EGR1,AKAP13,MEF2C,PLCB4,PDE4D,FOS,FGFR1	0.0033528994693176883	0	0
5	Cell adhesion molecules	0.00010779646955920147	5.246744752957964	47.93040711570145	CDH5,CLDN5,CADM1,ICAM2,PECAM1,ESAM,HLA-DOA,ITGA9,HLA-DQB1	0.005023315481458788	0	0
6	Hypertrophic cardiomyopathy	0.00013895526783710502	6.797452103495951	60.370608954839376	DES,LAMA2,TNNC1,CACNA1D,SLC8A1,ITGA9,TTN	0.005396096234340912	0	0
7	Transcriptional misregulation in cancer	0.00016282591702861883	4.461036888422781	38.91286159047405	MEF2C,DDX5,MEIS1,SPI1,HPGD,ID2,JMJD1C,ERG,FLI1,DUSP6	0.005419776952524026	0	0
8	AGE-RAGE signaling pathway in diabetic complications	0.00026777055938768805	6.063458487572713	49.87425057362355	STAT5A,EGR1,PLCB4,COL4A2,COL4A1,COL4A3,PRKCZ	0.007798817542166415	0	0
9	Fluid shear stress and atherosclerosis	0.00037710923426072815	4.930229635912418	38.86488024983362	CDH5,MEF2C,IL1R1,PECAM1,CYBA,FOS,ARHGEF2,PRKCZ	0.009762939064749962	0	0
10	Osteoclast differentiation	0.001123697283766769	4.692725409836066	31.868912462164985	SOCS3,SPI1,TYROBP,IL1R1,FOSB,CYBA,FOS	0.026068220985641214	0	0
11	Relaxin signaling pathway	0.001230688544386495	4.615325181402849	30.92351627710043	PLCB4,COL4A2,COL4A1,COL4A3,FOS,PRKCZ,GNG11	0.026068220985641214	0	0
12	Human T-cell leukemia virus 1 infection	0.00184908001578184	3.460271546635183	21.775720862305544	STAT5A,EGR1,ZFP36,SPI1,IL1R1,FOS,HLA-DOA,B2M,HLA-DQB1	0.03590297030643073	0	0
13	Th17 cell differentiation	0.0023143382679237804	4.7641139624166495	28.911651955647056	STAT5A,IL1R1,FOS,HLA-DOA,IL6ST,HLA-DQB1	0.041480062802018526	0	0
14	Arrhythmogenic right ventricular cardiomyopathy	0.0028353931911196616	5.554708672086721	32.58155842882033	DES,LAMA2,CACNA1D,SLC8A1,ITGA9	0.04658695484564539	0	0
15	Antigen processing and presentation	0.002999160183196055	5.478338345027286	31.82598461048103	CD74,CIITA,HLA-DOA,B2M,HLA-DQB1	0.04658695484564539	0	0
