Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	4.2949323167575626e-11	6.049077836824008	144.3975384113412	CPM,RBM47,VWF,PDE4D,ITGB2,CRIM1,TNFAIP2,EMP1,PTPN22,FRY,ITGAL,AIF1,DCN,HCK,HLA-DMA,TYROBP,ITGAX,SH3BP5,CTSH,ST3GAL6,MNDA,CD69,PTGDS,HLA-DQB1	7.859726139666339e-09	0	0
2	CAMP UP.V1 DN	8.412426277324604e-08	4.661123162207761	75.9342213889385	RERE,CD83,ATP8A1,DST,RALGAPA1,STXBP1,CELF2,FRY,ETS2,SEL1L3,ZFP36,PTPRC,MYO15B,ID2,EPB41L3,TIMP2,IDS,FOSB,SVEP1,MYH10	7.697370043752013e-06	0	0
3	ATF2 S UP.V1 DN	1.3775096146608596e-07	4.737025870954442	74.83467450877275	ITIH5,DGKD,LAMA2,IL1R1,ADH1B,CELF2,PDE4DIP,C4BPA,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,SVEP1,ST3GAL6,SLIT3,A2M	8.402808649431244e-06	0	0
4	ATF2 UP.V1 DN	6.569432554432069e-07	4.451288867304817	63.367071338936235	ITIH5,DGKD,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,MFAP4,PLN,NFIB,SVEP1,SLIT3	3.0055153936526716e-05	0	0
5	EGFR UP.V1 UP	1.0438589977023268e-06	4.297340327059549	59.185489815709026	CADPS2,MBNL2,IL1R1,ARAP2,TFPI,KLF4,PAPSS2,ETS2,SEL1L3,SOCS2,SDCBP,ATXN1,CRISPLD2,PLAGL1,MGAT4A,A2M,TNS3,MGLL	3.8205239315905164e-05	0	0
6	ESC V6.5 UP LATE.V1 UP	3.663168148290776e-06	4.097094877416783	51.28408295123443	PARM1,EPB41,GPX3,TNNC1,CYBA,SH3RF1,SEL1L3,SGCE,COL4A2,COL4A1,PODXL,PLAGL1,CTSH,RGL3,SLIT3,ZNF521,CD55	0.00011172662852286866	0	0
7	SNF5 DN.V1 UP	6.185436763519408e-06	4.137153543044146	49.61817711443931	CSF1R,CD52,USP15,SPI1,FNBP1,ELN,ITGB2,FBLN1,AIF1,SLC6A6,PTPRC,ID2,ABI3BP,GRK6,EVL,VAMP5	0.00016170498967486453	0	0
8	ESC J1 UP LATE.V1 UP	1.6207163708912182e-05	3.8034285714285714	41.95203473402225	PARM1,CITED2,GPX3,CRIM1,ARAP2,SHROOM3,LMO7,SEL1L3,SGCE,COL4A2,COL4A1,PODXL,ID2,CTSH,RGL3,CD55	0.00037073886984136616	0	0
9	HOXA9 DN.V1 UP	1.9673046394728218e-05	3.738745922435665	40.51402686141561	RBM47,USP15,FOS,FRY,ARHGAP26,SAMHD1,KLF4,N4BP2L2,HLA-DMA,TYROBP,ATXN1,CRISPLD2,FCGRT,PECAM1,ST3GAL6,MNDA	0.0003936696249554419	0	0
10	CRX DN.V1 DN	2.151200136368535e-05	4.453168044077135	47.85774976299417	CADPS2,PPP1R14A,STEAP4,KSR1,RNASE4,GNG11,SEL1L3,SOCS3,COL4A2,GLIPR2,MAP3K8,RGL3,TGM2	0.0003936696249554419	0	0
11	BMI1 DN MEL18 DN.V1 DN	5.709046442839264e-05	4.018449419568823	39.263760755885976	EPHA4,IL1R1,GPX3,LMO3,AK1,FOS,SOCS2,FCGRT,ID2,CTSH,ITGA7,PDE5A,A2M	0.0009201642632911335	0	0
12	ERB2 UP.V1 UP	6.252503429882745e-05	3.5376633827545843	34.244381782548786	CADPS2,PARM1,SERPINA1,IL1R1,LIMCH1,LMO3,PDE4D,PAPSS2,PNRC1,DOCK10,SDCBP,SLC6A6,ATXN1,MGAT4A,FGFR4	0.0009201642632911335	0	0
