Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	7.43723741355142e-08	7.990280160091481	131.1539070212933	GPI,TPI1,PGAM1,ENO1,ENO2,HK2,ALDH3A1,LDHA,PKM,PGK1,PGM2,ALDOA,GAPDH	2.074989238380846e-05	0	0
2	Glutathione metabolism	6.2608991545875086e-06	7.028175150678963	84.20587897968518	GGCT,GSTM3,GPX2,G6PD,GCLC,GSTM1,RRM2,GSTP1,ODC1,GSR	0.0008733954320649575	0	0
3	Central carbon metabolism in cancer	4.064489923204672e-05	5.501706484641638	55.62575830206212	SLC7A5,G6PD,LDHA,MAP2K2,PKM,PIK3CA,PGAM1,SLC2A1,HRAS,HK2	0.0030976398139392846	0	0
4	Parkinson disease	6.127067297388227e-05	2.907417515769044	28.202558272936813	COX8A,NDUFA9,HSPA5,NDUFA10,ADRM1,SEPTIN5,GNAI1,SEM1,TUBA1C,UCHL1,PSMC5,PSMC6,PSMD4,TUBB3,NDUFS6,PSMD2,DDIT3,VDAC3,PPIF,SLC25A6	0.0030976398139392846	0	0
5	Prion disease	7.54800790343344e-05	2.7756521739130435	26.34549616945749	RYR1,COX8A,NDUFA9,PRNP,HSPA5,NDUFA10,ADRM1,SEM1,TUBA1C,PSMC5,PSMC6,PSMD4,PIK3CA,TUBB3,NDUFS6,PSMD2,DDIT3,CREB3L2,VDAC3,PPIF,SLC25A6	0.0030976398139392846	0	0
6	Steroid hormone biosynthesis	7.594635439702805e-05	5.705936312409907	54.12356377405439	SRD5A1,HSD17B1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A7,UGT1A6	0.0030976398139392846	0	0
7	Metabolism of xenobiotics by cytochrome P450	8.33483161426859e-05	5.0	46.96241075609429	ALDH3A1,GSTM3,GSTM1,GSTP1,AKR1C1,UGT1A5,UGT1A3,UGT1A7,CBR3,UGT1A6	0.0030976398139392846	0	0
8	Drug metabolism	9.052381635968999e-05	4.132705479452055	38.47506473243433	ALDH3A1,GSTM3,GSTM1,RRM2,GSTP1,NME2,UGT1A5,NME4,UGT1A3,UGT1A7,TYMP,UGT1A6	0.0030976398139392846	0	0
9	Pathways of neurodegeneration	9.992386496578338e-05	2.258188748163735	20.800406922347737	RYR1,APP,NDUFA10,DCTN3,ATP2A2,TUBA1C,UCHL1,PSMD4,TUBB3,PSMD2,HRAS,NDUFA9,COX8A,PRNP,GPX2,MAP2K2,HSPA5,FZD6,ADRM1,SEPTIN5,ATXN2L,SEM1,PSMC5,PSMC6,NDUFS6,DDIT3,VDAC3,PPIF,STX1A,SLC25A6	0.0030976398139392846	0	0
10	Huntington disease	0.00013797525949001507	2.580360210040732	22.93536701723244	COX8A,NDUFA9,GPX2,HDAC1,NDUFA10,DCTN3,ADRM1,SEM1,TUBA1C,PSMC5,PSMC6,PSMD4,TUBB3,NDUFS6,PSMD2,CREB3L2,CLTCL1,VDAC3,PPIF,POLR2H,STX1A,SLC25A6	0.00384950973977142	0	0
11	Human papillomavirus infection	0.00016236121491415388	2.4886561954624784	21.71523497035727	BCAP31,ATP6V1A,MAP2K2,LAMB3,ITGB4,HDAC1,FZD6,LAMA3,FN1,TNC,HLA-C,SCRIB,THBS2,COL1A1,PPP2CA,PKM,PIK3CA,PPP2R1A,RHEB,PARD3,CREB3L2,SPP1,HRAS	0.004118070814640812	0	0
