Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	2.1788459822989822e-06	31.98701298701299	417.00557800238823	NQO1,CBR1,AKR1C1,AKR1C3,AKR1C2	0.0008430064919894048	0	0
2	monocarboxylic acid binding (GO:0033293)	4.334223609200025e-06	16.93763440860215	209.16230635758444	UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A7	0.0008430064919894048	0	0
3	cadherin binding (GO:0045296)	1.6780400482971135e-05	3.772675365065481	41.4816936330838	LAD1,JUP,SCRIB,YWHAZ,CDH8,RTN4,KTN1,KRT18,CDH3,PKM,PUF60,PRDX1,FSCN1,CCT8,ALDOA,S100A11	0.0021758585959585903	0	0
4	carbonyl reductase (NADPH) activity (GO:0004090)	2.8032982813663435e-05	104.8563829787234	1099.118110145116	CBR1,DHRS2,CBR3	0.002180966062903015	0	0
5	ketosteroid monooxygenase activity (GO:0047086)	2.8032982813663435e-05	104.8563829787234	1099.118110145116	AKR1C1,AKR1C3,AKR1C2	0.002180966062903015	0	0
6	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	3.4005204469803716e-05	7.178540419503724	73.85998064267737	CBR1,G6PD,BDH1,AKR1C1,AKR1C3,PTGR1,DHRS2,CBR3	0.0022046707564589408	0	0
7	alcohol dehydrogenase (NADP+) activity (GO:0008106)	8.300494217855404e-05	21.57350123186422	202.71778620414776	ALDH3A1,AKR1C1,AKR1C3,AKR1C2	0.004612703215351075	0	0
8	androsterone dehydrogenase activity (GO:0047023)	0.00015206828917489355	41.93617021276596	368.6684572148601	AKR1C1,AKR1C3,AKR1C2	0.007394320561129199	0	0
9	UDP-glycosyltransferase activity (GO:0008194)	0.00019684542546580312	6.421844342707652	54.79818717014617	UGT1A1,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT1A7,B4GALNT4	0.0077630027950083445	0	0
10	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)	0.00019956305385625565	16.494033912497382	140.5189477819123	AKR1C1,HSD17B1,AKR1C3,AKR1C2	0.0077630027950083445	0	0
11	bile acid binding (GO:0032052)	0.00022569875686284592	34.945035460992905	293.4093290980512	AKR1C1,AKR1C3,AKR1C2	0.007981528765422461	0	0
12	hexosyltransferase activity (GO:0016758)	0.0003084761559399608	5.100725274010473	41.23357965828083	UGT1A1,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT1A7,FUT3,B4GALNT4	0.009238725838196285	0	0
13	aldo-keto reductase (NADP) activity (GO:0004033)	0.00031903131831007546	29.951367781155014	241.11513838112583	ALDH3A1,AKR1C1,AKR1C3	0.009238725838196285	0	0
14	protein homodimerization activity (GO:0042803)	0.0003324991304235167	2.4704360679970434	19.78540949679856	CEP57,NTRK2,TENM2,G6PD,GSTM1,TPI1,JUP,UGT1A1,SHMT2,HSPB1,ATP2A1,SLC51A,ANO1,NUDT21,STC2,HSD17B1,UGT1A3,TKT,MAP3K13,S100A11,UGT1A7	0.009238725838196285	0	0
15	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.00043405145270549757	26.206117021276597	202.89686398251587	AKR1C1,AKR1C3,AKR1C2	0.011256401006829238	0	0
16	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.001660802457754218	8.755782918149466	56.04098917373497	AKR1C1,AKR1C3,AKR1C2,CYP4F11	0.04037825975414943	0	0
17	RNA-DNA hybrid ribonuclease activity (GO:0004523)	0.001966893481701103	46.43580683156655	289.35543817387884	FEN1,EXO1	0.0430871647587267	0	0
18	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	0.001993750554388382	13.97163120567376	86.87193826478722	AKR1C1,AKR1C2,PTGR1	0.0430871647587267	0	0
19	calcium activated cation channel activity (GO:0005227)	0.0023427975062000465	13.097739361702128	79.32527373007375	ANO1,KCNMB2,KCNMB3	0.04796569631114832	0	0
