Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	KRAS.KIDNEY UP.V1 UP	2.6462718122774133e-08	7.581203672972674	132.2732706192243	RTN1,SYT1,PCDH9,LIMCH1,AQP4,ANK2,ETV1,DUSP6,DNM3,EPB41L3,PECAM1,ST3GAL6,A2M,ASPA	3.8105762164955157e-06	0	0
2	KRAS.600 UP.V1 UP	4.430902577320367e-08	5.086165115382497	86.11934159910712	NRP1,CSF3,DOCK4,RTN1,SYT1,PCDH9,LIMCH1,NTRK3,LAPTM5,ETV1,TFPI,RNASE1,GNG11,DUSP6,DNM3,NAV3,ST3GAL6,A2M,TGM2	3.8105762164955157e-06	0	0
3	KRAS.300 UP.V1 UP	1.505759404977926e-06	6.3060238376463005	84.53990000546224	DNM3,CSF3,DOCK4,RTN1,SYT1,NAV3,ST3GAL6,ETV1,A2M,TFPI,RNASE1,DUSP6	8.633020588540109e-05	0	0
4	EGFR UP.V1 UP	5.121855092660667e-06	5.092057761732852	62.03141639710922	CADPS2,EDN1,PCDH9,IL1R1,TFPI,DUSP6,PAPSS2,SOCS2,SDCBP,CRISPLD2,SLCO2A1,CCL2,A2M	0.0002202397689844087	0	0
5	ATF2 S UP.V1 DN	1.9242190442248854e-05	4.818499486125385	52.32122021776666	ITIH5,DES,IL1R1,ADH1B,CELF2,CCL2,C4BPA,ST3GAL6,SLIT3,ABCA8,FOS,A2M	0.0006619313512133605	0	0
6	RPS14 DN.V1 UP	2.5009097737501937e-05	4.683453237410072	49.627139203284486	TYROBP,VWF,CD300A,ENPP2,SH3BP5,CCL2,ST3GAL6,MNDA,CD69,FRY,DCN,HLA-DQB1	0.0007169274684750555	0	0
7	ESC J1 UP LATE.V1 UP	0.0001132555418294492	4.277777777777778	38.867306513599715	PARM1,COL4A2,COL4A1,PODXL,CITED2,GPX3,SLCO2A1,LMO7,HNF1B,RGL3,CD55	0.0025503001324403934	0	0
8	IL2 UP.V1 UP	0.00011861861081118109	4.253925820313274	38.4537757763853	SOCS2,CNKSR2,CLDN5,CD52,RGS3,AATK,FOS,CD69,ASPA,DUSP6,ITGA9	0.0025503001324403934	0	0
9	CRX DN.V1 DN	0.00015016963026715055	5.018220640569395	44.17913504578788	CADPS2,SOCS3,PPP1R14A,STEAP4,COL4A2,GLIPR2,RGL3,GNG11,TGM2	0.0028699084895499882	0	0
10	ESC V6.5 UP LATE.V1 UP	0.00047281114153623055	3.875	29.670156292671717	PARM1,COL4A2,COL4A1,PODXL,GPX3,TNNC1,HNF1B,RGL3,SLIT3,CD55	0.007703663693322104	0	0
11	ERB2 UP.V1 UP	0.0004926761664333903	3.8533938437253354	29.346131437119578	CADPS2,SDCBP,VIPR1,EDN1,PARM1,IL1R1,LIMCH1,FGFR4,DUSP6,PAPSS2	0.007703663693322104	0	0
12	MEL18 DN.V1 UP	0.0010645679559419478	4.175758545299419	28.58384492457589	NRP1,NRP2,EDN1,ABLIM3,CRISPLD2,GFPT2,SLCO2A1,LPL	0.014181705817595378	0	0
13	KRAS.600.LUNG.BREAST UP.V1 UP	0.001071873114120581	3.039411948701908	20.78455536540359	CLDN5,CSF3,DOCK4,NAV3,TRIM46,LPL,ST3GAL6,A2M,TFPI,RNASE1,GNG11,ANO2	0.014181705817595378	0	0
14	STK33 UP	0.001241543342487153	2.98456181673878	19.97089706658865	NRP1,ZEB2,DOCK4,TYROBP,RTN1,OLR1,FOS,VSIG4,TFPI,IL6ST,GNG11,HAVCR2	0.014613857514605604	0	0
15	BMI1 DN MEL18 DN.V1 UP	0.0012744643181342096	4.053010301806699	27.014243143647803	NRP2,EDN1,ZEB2,ABLIM3,CRISPLD2,PODXL,GFPT2,ADRB2	0.014613857514605604	0	0
16	BMI1 DN MEL18 DN.V1 DN	0.0013910999723668078	3.9942854227256492	26.273053441853182	SOCS2,IL1R1,GPX3,AK1,PDE5A,FOS,A2M,PPARGC1A	0.014696033817074298	0	0
17	MEL18 DN.V1 DN	0.0014525149702922272	3.9655521783181356	25.912737180641464	SOCS2,IL1R1,AK1,EPB41L3,PDE5A,FOS,A2M,PPARGC1A	0.014696033817074298	0	0
18	ATF2 UP.V1 DN	0.0016798972117220863	3.5144947818785237	22.454186838313483	ITIH5,IL1R1,LIMCH1,CELF2,CCL2,SLIT3,ABCA8,FOS,FRY	0.01605235113423327	0	0
19	IL15 UP.V1 DN	0.0018732676629510429	3.4557126285365998	21.702120523621815	SELP,SYT1,VWF,MMP19,FASLG,LRP2BP,PRKG1,MYLK,FSTL3	0.016958002001451547	0	0
20	P53 DN.V1 DN	0.0020117838181617368	3.4175952394842777	21.218937980233715	SOCS3,NR4A1,NRP2,NAV3,IL1R1,EPB41L3,CAPN3,ST3GAL6,FBLN5	0.017301340836190934	0	0
21	PRC2 EZH2 UP.V1 DN	0.0021583576103476293	3.3803020101952486	20.74967192857717	SLC14A1,MTMR10,EDN1,PTPRB,ABLIM3,PCDH9,GFPT2,AATK,ETV1	0.017677976618085345	0	0
22	NRL DN.V1 DN	0.0034412568026354127	3.81405637016221	21.63301698023955	SOCS3,NR4A1,ALDH2,PECAM1,CCL2,RGL3,ADRB2	0.026904371366058683	0	0
23	STK33 NOMO UP	0.003916434672020939	2.706498473852857	15.000966885389628	NRP1,ZEB2,DOCK4,CADM1,IL1R1,OLR1,FOS,A2M,IL6ST,GNG11,HAVCR2	0.029288120155982676	0	0
24	KRAS.LUNG UP.V1 UP	0.004550436961270014	3.6135224935393704	19.486035734007345	NRP1,CSF3,DOCK4,NAV3,ST3GAL6,RNASE1,SLC6A4	0.032611464889101764	0	0
25	BMI1 DN.V1 DN	0.005100679564782717	3.5338526218049573	18.653022303128154	SOCS2,IL1R1,GPX3,ETV1,PDE5A,FOS,PPARGC1A	0.033767531278348084	0	0
