Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell adhesion molecules	2.985573373160309e-10	6.059609455292908	132.89971279778615	CADM1,ICAM2,NRXN3,PTPRM,SELE,SELP,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,NCAM2,SIGLEC1,HLA-DOA,CD34,HLA-DQA1,CD22,JAM2,HLA-DPA1,ITGA9,HLA-DQB1	7.672923569021993e-08	0	0
2	Dilated cardiomyopathy	6.565980960354433e-07	5.85452343885141	83.34612988177494	LAMA2,TNNC1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TTN,CACNB4,PLN,DES,SGCA,DMD,ITGA9	8.250158826758403e-05	0	0
3	Hematopoietic cell lineage	9.630535595437824e-07	5.647017104714226	78.22901345644932	CSF1R,CSF3,IL1R1,IL5RA,HLA-DMA,IL7,CD37,HLA-DOA,CD34,HLA-DQA1,CD22,CD55,HLA-DPA1,HLA-DQB1	8.250158826758403e-05	0	0
4	Hypertrophic cardiomyopathy	1.8368810965871874e-06	5.780599931042409	76.34693531303917	ACE,LAMA2,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TTN,CACNB4,DES,SGCA,DMD,ITGA9	0.00011801961045572679	0	0
5	Malaria	1.1499010525768555e-05	7.476917141754897	85.03684464895402	SELP,CSF3,HGF,PECAM1,HBB,HBA2,ACKR1,TLR4,SELE	0.0005430747374681765	0	0
6	Arrhythmogenic right ventricular cardiomyopathy	1.2678787645171436e-05	5.689594356261023	64.15347761233043	CACNB4,DES,SGCA,LAMA2,ACTN2,CACNA2D2,CACNA1D,DMD,CACNA2D4,CACNA1C,ITGA9	0.0005430747374681765	0	0
7	Viral myocarditis	5.249644886653592e-05	6.007753540783624	59.20499951033419	HLA-DMA,SGCA,LAMA2,DMD,HLA-DOA,HLA-DQA1,CD55,HLA-DPA1,HLA-DQB1	0.0019273696226713903	0	0
8	Adrenergic signaling in cardiomyocytes	0.00011812009804204703	3.5200771798080934	31.834904521577663	TNNC1,ADCY4,CACNA2D2,CACNA1D,ATP1A2,CACNA2D4,CACNA1C,ADRB2,ADRA1A,KCNE1B,CACNB4,PLN,AGTR1,SCN7A	0.0037946081496007607	0	0
9	Complement and coagulation cascades	0.0001679826436073094	4.541549295774648	39.473556463205476	C3,SERPINA1,VWF,F10,ITGAX,C4BPA,VSIG4,TFPI,A2M,CD55	0.004796837711897614	0	0
10	ECM-receptor interaction	0.00022429772146309257	4.366197183098592	36.68713021445877	TNXB,VWF,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,COL6A5,NPNT,ITGA9	0.005764451441601479	0	0
11	Th17 cell differentiation	0.0002697187417778713	3.9055335097001764	32.096185378925945	STAT5A,NFKBIA,HLA-DMA,IL1R1,RORC,FOS,HLA-DOA,IL6ST,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.00630161060335572	0	0
12	Leishmaniasis	0.0003710189956715524	4.50186084978807	35.56135716054852	C3,NFKBIA,HLA-DMA,FOS,HLA-DOA,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.007945990157299082	0	0
13	Vascular smooth muscle contraction	0.00048532595820474606	3.3818882691352976	25.806140367369764	PPP1R14A,PPP1R12A,AGTR1,ADCY4,CACNA1D,CACNA1C,PPP1R12B,MYH10,ADRA1A,ACTG2,PRKG1,MYLK	0.009594520866047673	0	0
14	Inflammatory bowel disease	0.0005492905115191264	4.768236380424746	35.79459306064349	HLA-DMA,RORC,STAT4,HLA-DOA,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.01008340439002968	0	0
15	PI3K-Akt signaling pathway	0.0006768673060482671	2.2751798561151078	16.60434292003539	MAGI1,CSF1R,CSF3,TNXB,CHRM1,VWF,LAMA2,ANGPT1,HGF,LAMA4,GNG11,NR4A1,CCND3,COL4A2,COL4A1,IL7,COL4A3,COL6A5,FGFR4,TLR4,FGF10,ITGA9	0.01159699317696031	0	0
16	Osteoclast differentiation	0.0011550569925059093	3.228820774797786	21.838470248197314	NFKBIA,CSF1R,SOCS3,SPI1,TYROBP,IL1R1,FOSB,MITF,PPARG,FOS,SIRPB1	0.017544453674034625	0	0
17	cGMP-PKG signaling pathway	0.0011605280640412008	2.8787955407424435	19.457434035734003	MEF2C,PPP1R12A,ADCY4,CACNA1D,ATP1A2,CACNA1C,ADRB2,ADRA1A,MYLK,PLN,AGTR1,PDE5A,PRKG1	0.017544453674034625	0	0
18	Th1 and Th2 cell differentiation	0.0013644730357603465	3.685413005272408	24.31262160901962	STAT5A,NFKBIA,HLA-DMA,STAT4,FOS,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.019481642788356058	0	0
19	Toxoplasmosis	0.0015195563134085945	3.3347141673570837	21.640083649857075	NFKBIA,CIITA,HLA-DMA,LAMA2,LAMA4,HLA-DOA,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.020553998555053094	0	0
20	Pathways in cancer	0.0017384931525279202	1.914809325863004	12.168108800243985	CSF1R,SPI1,LAMA2,LAMA4,ADCY4,IL5RA,RASGRP2,CCND3,STAT4,RUNX1T1,STAT5A,DAPK2,HGF,MITF,FOS,GNG11,ESR1,NFKBIA,COL4A2,COL4A1,IL7,COL4A3,AGTR1,PPARG,IL6ST,FGFR4,GSTM5,FGF10	0.02140812221594925	0	0
21	Asthma	0.001806441579529283	6.509598603839441	41.117204841315726	HLA-DMA,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.02140812221594925	0	0
