Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.7526474903612256e-09	4.964930376482723	100.1036131020084	CPM,RBM47,VWF,PDE4D,CRIM1,TNFAIP2,PTPN22,FRY,TM6SF1,ARHGAP25,AIF1,DCN,HLA-DMA,TYROBP,CACNB4,SPTLC3,ENPP2,ITGAX,SH3BP5,ST3GAL6,MNDA,CD69,PTGDS,HLA-DQB1	3.154765482650206e-07	0	0
2	KRAS.KIDNEY UP.V1 UP	1.0334019776372602e-06	4.567708333333333	62.95514493525444	MEF2C,RTN1,PCDH9,LIMCH1,LMO3,PLCL1,ANK2,ATP1A2,SORBS1,SOBP,DNM3,EPB41L3,PECAM1,SPARCL1,ST3GAL6,A2M,ASPA	7.5422706774263e-05	0	0
3	MEL18 DN.V1 DN	1.3792322050946563e-06	4.4624103631737215	60.21569219800008	EGR1,IL1R1,AK1,UNC5C,FOS,SOCS2,RBP4,SH3BGRL,PLN,ID2,EPB41L3,EFHD1,PDE5A,DMD,PDE7B,A2M,PPARGC1A	7.5422706774263e-05	0	0
4	CRX DN.V1 DN	1.6760601505391778e-06	4.657458230291333	61.93983818945154	CADPS2,EGR1,PPP1R14A,MYOCD,STEAP4,RNASE4,FMN1,GNG11,SOCS3,RBP4,COL4A2,GLIPR2,GDAP1L1,RGL3,TECTA,TGM2	7.5422706774263e-05	0	0
5	KRAS.600 UP.V1 UP	3.5021251847419854e-06	3.1558660828265914	39.64443337811603	NRP1,CSF3,DOCK4,RTN1,PCDH9,LIMCH1,CTNND2,LMO3,NTRK3,HPN,LAPTM5,ATP1A2,TFPI,RNASE1,GNG11,DNM3,RBP4,ZEB1,NAV3,MGAT4A,ST3GAL6,A2M,TLR4,TGM2	0.0001260765066507115	0	0
6	BMI1 DN MEL18 DN.V1 DN	2.4086171433387064e-05	3.893508800258356	41.40307686662908	IL1R1,GPX3,LMO3,AK1,UNC5C,FOS,SOCS2,RBP4,FCGRT,ID2,EFHD1,PDE5A,PDE7B,A2M,PPARGC1A	0.0007225851430016119	0	0
7	ATF2 S UP.V1 DN	3.1961291588075985e-05	3.431729055258467	35.52177606166	ITIH5,LAMA2,IL1R1,ADH1B,CELF2,C4BPA,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,SVEP1,ST3GAL6,SLIT3,A2M	0.0008218617836933826	0	0
8	IL15 UP.V1 DN	3.915539540265661e-05	3.371693816780522	34.2158555626997	DNAI2,ATP8A1,VWF,ACTN2,TSC22D3,PLCL1,TNFAIP2,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,CHIT1,SELP,MMP19,PTGDS,PRKG1	0.0008809963965597737	0	0
9	KRAS.600.LUNG.BREAST UP.V1 UP	0.00010483234050499413	2.7047989833175317	24.78447404645379	PPP1R15A,CSF3,DOCK4,HPN,SEMA3B,LPL,DNAH9,TFPI,RNASE1,GNG11,ANO2,CLDN5,RBP4,NAV3,ID2,TRIM46,ST3GAL6,CD37,SLIT2,A2M,MGLL	0.0020966468100998828	0	0
10	ESC V6.5 UP LATE.V1 UP	0.00013426533636303866	3.1493434777273284	28.07857831957618	PARM1,GPX3,TNNC1,HPN,HNF1B,RBP4,COL4A2,COL4A1,PODXL,PLAGL1,CA4,RGL3,SLIT3,ZNF521,LPIN2,CD55	0.002416776054534696	0	0
11	CAMP UP.V1 DN	0.00024211570532168365	2.9766362370416215	24.783755568863217	CD83,ATP8A1,DST,STXBP1,CELF2,FOXN3,FRY,ZFP36,PTPRC,MYO15B,ID2,EPB41L3,TIMP2,FOSB,SVEP1,MYH10	0.003961893359809369	0	0
12	KRAS.LUNG.BREAST UP.V1 UP	0.0003047166185235068	3.3624296057924377	27.222661598673437	CSF3,DOCK4,HPN,SEMA3B,DNAH9,RNASE1,RBP4,NAV3,ID2,ST3GAL6,CD37,A2M,MGLL	0.004512036159614935	0	0
