Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	6.111479813376842e-07	7.2033509152963076	103.06501697532183	GPI,ALDH3A1,LDHA,TPI1,PKM,PGAM1,PGM2,ENO1,PDHB,ALDOA,ADH7,GAPDH	0.0001631765110171617	0	0
2	Metabolism of xenobiotics by cytochrome P450	8.56881875784585e-05	4.982477839620697	46.65988643207898	CBR1,ALDH3A1,UGT1A1,GSTP1,AKR1C1,UGT1A5,UGT1A3,ADH7,UGT1A7,CBR3	0.01143937304172421	0	0
3	Drug metabolism	0.0003902504824250717	3.7295175538734435	29.271945588244456	ALDH3A1,UCK2,RRM2,UGT1A1,GSTP1,NME2,UGT1A5,NME4,UGT1A3,ADH7,UGT1A7	0.029670572761791168	0	0
4	Steroid hormone biosynthesis	0.00044450296272346317	4.950175887432043	38.2081990934162	UGT1A1,SRD5A1,HSD17B1,AKR1C1,UGT1A5,AKR1C2,UGT1A3,UGT1A7	0.029670572761791168	0	0
5	Central carbon metabolism in cancer	0.001127025093481211	4.2296336796063425	28.711488436307373	SLC7A5,G6PD,LDHA,PKM,PGAM1,SLC2A1,PDHB,HRAS	0.0481137458913885	0	0
6	Homologous recombination	0.0012855709116126428	5.608204633204633	37.33130784321713	SEM1,BLM,RAD51,RPA3,POLD2,RBBP8	0.0481137458913885	0	0
7	p53 signaling pathway	0.001484362527364901	4.033794002607562	26.271172055659523	CCNB1,COP1,RRM2,SESN3,CDKN2A,IGFBP3,SIAH1,CDK1	0.0481137458913885	0	0
8	Glutathione metabolism	0.0014922231058902176	4.584230118443316	29.831823647572943	GPX2,G6PD,GCLC,RRM2,GSTP1,GSS,GSR	0.0481137458913885	0	0
9	Ascorbate and aldarate metabolism	0.0018020129547336517	6.535244519392918	41.29523591394972	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A7	0.0481137458913885	0	0
10	Pentose phosphate pathway	0.0018020129547336517	6.535244519392918	41.29523591394972	GPI,G6PD,PGM2,ALDOA,TKT	0.0481137458913885	0	0
