Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	pyrophosphatase activity (GO:0016462)	0.002062757396852603	33.31605351170568	206.01686820131164	ENTPD3,PRUNE1	0.04851613887540991	0	0
2	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.002539744462259441	29.86056971514243	178.43756184160333	NRP2,AXL	0.04851613887540991	0	0
3	exopolyphosphatase activity (GO:0004309)	0.0062349390704731535	208.03125	1056.2966607689368	PRUNE1	0.04851613887540991	0	0
4	collagen binding involved in cell-matrix adhesion (GO:0098639)	0.0062349390704731535	208.03125	1056.2966607689368	ITGA2	0.04851613887540991	0	0
5	oxidoreductase activity, acting on metal ions, NAD or NADP as acceptor (GO:0016723)	0.0062349390704731535	208.03125	1056.2966607689368	STEAP2	0.04851613887540991	0	0
6	leukotriene-B4 20-monooxygenase activity (GO:0050051)	0.0062349390704731535	208.03125	1056.2966607689368	CYP4F3	0.04851613887540991	0	0
7	collagen receptor activity (GO:0038064)	0.007477446810139074	166.41666666666666	814.7533474976135	ITGA2	0.04851613887540991	0	0
8	interleukin-12 receptor binding (GO:0005143)	0.007477446810139074	166.41666666666666	814.7533474976135	JAK2	0.04851613887540991	0	0
9	protein tyrosine kinase activity (GO:0004713)	0.007992538179387713	16.299425758818703	78.7139513198353	AXL,JAK2	0.04851613887540991	0	0
10	vascular endothelial growth factor-activated receptor activity (GO:0005021)	0.008718463827674805	138.67361111111111	657.6335609979999	NRP2	0.04851613887540991	0	0
11	cell-matrix adhesion mediator activity (GO:0098634)	0.008718463827674805	138.67361111111111	657.6335609979999	ITGA2	0.04851613887540991	0	0
12	RNA polymerase II C-terminal domain binding (GO:0099122)	0.009957991701556103	118.85714285714286	547.8577209909951	BRD4	0.04851613887540991	0	0
13	uridine-diphosphatase activity (GO:0045134)	0.011196032048171519	103.99479166666667	467.1649710127919	ENTPD3	0.04851613887540991	0	0
14	growth hormone receptor binding (GO:0005131)	0.011196032048171519	103.99479166666667	467.1649710127919	JAK2	0.04851613887540991	0	0
15	guanosine-diphosphatase activity (GO:0004382)	0.011196032048171519	103.99479166666667	467.1649710127919	ENTPD3	0.04851613887540991	0	0
