Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	1.2109002427185789e-06	4.461581027667984	60.78523342095243	CBR1,G6PD,DHRS11,HIBADH,MDH1,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,DHRS2,UGDH,ADH4,BDH1,RDH10,PHGDH,CBR3	0.0006470603589191122	0	0
2	RNA binding (GO:0003723)	1.8049103456600062e-06	1.645218898138423	21.75801933133658	RPL4,DQX1,NUDT1,MSI2,VIRMA,IPO5,YY1,FBL,PSMD4,SNRPD1,RPL35,DENR,RPL37,KPNA2,RPS10,SRRM3,RBFOX1,EIF1AX,DDX11,IMP4,ACTN4,WBP11,THOC5,FTSJ3,CLNS1A,FSCN1,DNA2,SNRPC,SNRPB,DAP3,SLBP,MAZ,NOP2,TRMT2A,MRPL15,NTPCR,RPF2,RTN4,NOP9,RAD51AP1,RRP7A,PRDX1,DHX36,DNAJC21,DHX37,FDPS,CPSF4,NOP14,KNOP1,MAGOHB,MCAT,LSM4,MRPL21,CHERP,SRPK1,HNRNPM,RALYL,EIF2S3,CAPRIN1,GRSF1,APOBEC3B,ISY1,TOP2A,RBM28,MTCL1,FASTKD3,HMGB3,HSPB1,SPOUT1,DUSP14,MRPL42,MRPL3,C1QBP,SUMO2,RBM34,ZNF385A,NELFE,EIF5B,MRPS24,NCBP2,MRPS23,RANGAP1,YWHAZ,DARS1,TSN,UCHL5,PKM,ESRP1,TCP1,STRAP,PABPC1,ALDOA,FYTTD1,SLC3A2,PUF60,PES1,TRA2B,POLR2D,SAP18,RALY,IGF2BP2,HNRNPA1,RAE1,RTRAF,PTPN1,NQO1,NIFK,MDH2,CDKN2A,CCDC59,PDAP1,HSPE1,U2SURP,KTN1,NUDT21,CMSS1,KRT18,RPL22L1,R3HDM1,RAN	0.0006470603589191122	0	0
3	retinoid binding (GO:0005501)	1.0939979466888948e-05	7.091606498194946	81.00803543046494	ADH4,CYP26A1,UGT1A1,ABCA4,RBP1,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.0026146550925864585	0	0
4	monocarboxylic acid binding (GO:0033293)	3.3986012113433286e-05	6.957127633412575	71.58579283121259	CYP26A1,UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.006091992671332916	0	0
5	UDP-glycosyltransferase activity (GO:0008194)	5.7815553861244785e-05	3.7078718120540817	36.18235019739362	CHPF,UGT1A1,EXT1,UGT8,B3GNT5,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT2A1,B4GALNT3,UGT1A9,UGT1A7,B4GALNT4,UGT1A6	0.007021939734828203	0	0
6	DNA secondary structure binding (GO:0000217)	5.8761001965089565e-05	6.376690712353471	62.12192596211932	RAD51AP1,YY1,RECQL4,BLM,RBBP8,HMGA1,HMGB3,HMGA2,CLSPN	0.007021939734828203	0	0
7	fibroblast growth factor binding (GO:0017134)	9.731853403357412e-05	8.491449144914492	78.43994067565504	CEP57,FIBP,GPC1,SCN5A,CXCL13,FGFR3,FGFR2	0.009968198414581807	0	0
8	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	0.00014836741853642413	10.18273381294964	89.76913621391449	NQO1,CBR1,ADH4,AKR1C1,AKR1C3,AKR1C2	0.013297429886327013	0	0
9	glucuronosyltransferase activity (GO:0015020)	0.00023126463293181776	5.909596553074814	49.47483448800084	EXT1,CHPF,UGT1A1,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.01842408242356815	0	0
10	cadherin binding (GO:0045296)	0.000285760454661591	2.0250230627306274	16.52491045527091	LAD1,NOTCH3,OLA1,SLC3A2,CDH8,RTN4,SNX1,CDH3,PUF60,TRIM29,EPCAM,PRDX1,CCT8,PROM1,S100A11,SPTBN2,NCK1,PTPN1,JUP,SCRIB,CIP2A,RANGAP1,YWHAZ,KTN1,ANLN,KRT18,EIF2S3,PKM,CTTN,FSCN1,CDH13,ITGA6,ALDOA,RAN	0.020489024599236075	0	0
