Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	4.867159389539228e-10	7.14763671875	153.2692075773177	CSF1R,CSF3,IL4R,MME,IL1R1,ITGA1,CD3E,TNF,EPOR,IL6,HLA-DMA,IL7,HLA-DOA,HLA-DQA1,HLA-DRB1,CD33,CD55,HLA-DPA1,HLA-DQB1	1.362804629070984e-07	0	0
2	Malaria	5.539631868244559e-09	10.499205087440382	199.60393442460682	CSF3,HGF,ITGB2,HBB,TNF,THBS1,SELP,IL6,KLRC4-KLRK1,PECAM1,CCL2,ACKR1,TLR4	7.755484615542383e-07	0	0
3	Inflammatory bowel disease	1.6272718708842824e-07	7.464783281733746	116.68345128851018	IL4R,RORC,IL2RG,TNF,HLA-DMA,IL6,HLA-DOA,TLR4,HLA-DQA1,IL18R1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.5187870794919969e-05	0	0
4	Cell adhesion molecules	4.250529003501135e-07	4.421366279069767	64.86609549481129	NLGN3,SELPLG,CADM1,ITGB2,ICAM2,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,NCAM2,HLA-DOA,HLA-DQA1,HLA-DRB1,JAM2,HLA-DPA1,ITGA9,HLA-DQB1	2.4129505266431798e-05	0	0
5	Th17 cell differentiation	4.308840226148535e-07	5.2637875343940665	77.1535808557278	STAT5B,IL4R,IL1R1,RORC,FOS,CD3E,IL2RG,IL6,HLA-DMA,HLA-DOA,IL6ST,RXRG,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.4129505266431798e-05	0	0
6	Complement and coagulation cascades	6.787266854430029e-07	5.891036139316519	83.670665024289	SERPINA1,VWF,F10,ITGB2,FGG,F11,C4BPA,C8B,TFPI,C2,SERPING1,VSIG4,A2M,CD55	3.167391198734013e-05	0	0
7	Vascular smooth muscle contraction	1.8205962725389703e-06	4.388562144161564	58.00075788249111	PPP1R14A,EDN1,PTGIR,RAMP2,PRKCH,CALCRL,PPP1R12A,PLA2G1B,ADCY4,CACNA1D,ADRA1A,MYLK,AGTR1,MYH9,MYH11,MYH10,PRKG1	7.275867323819482e-05	0	0
8	Rheumatoid arthritis	2.0788192353769948e-06	5.292277499754685	69.24262669636616	ANGPT1,ITGB2,TNFSF13,FOS,TNF,HLA-DMA,IL6,CCL2,HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	7.275867323819482e-05	0	0
9	Staphylococcus aureus infection	2.696337797469611e-06	5.161068044788975	66.18355515347007	SELPLG,ITGB2,FGG,FPR3,C2,SELP,HLA-DMA,FCGR2A,HLA-DOA,CAMP,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	8.388606481016567e-05	0	0
10	Asthma	5.365731020517036e-06	10.321512055032391	125.2564817877575	HLA-DMA,FCER1G,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00015024046857447701	0	0
11	Graft-versus-host disease	7.296238455483253e-06	8.101258741258741	95.82291672619534	HLA-DMA,IL6,FASLG,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00017857454644247805	0	0
12	Hypertrophic cardiomyopathy	7.653194847534774e-06	5.034618632141852	59.30975774775194	EDN1,ACE,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,TNF,TTN,IL6,DES,SGCA,ITGA9	0.00017857454644247805	0	0
13	Th1 and Th2 cell differentiation	9.789750320272699e-06	4.906650468315241	56.59416322869703	STAT5B,IL4R,MAML2,FOS,CD3E,IL2RG,HLA-DMA,MAML3,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00021085616074433507	0	0
14	PI3K-Akt signaling pathway	1.9115452584211616e-05	2.588257027019144	28.12144757673995	CSF1R,CSF3,TNXB,CHRM1,LAMA4,FASLG,IL2RG,THBS1,PPP2CB,MAGI1,PDGFRA,IL4R,VWF,ANGPT1,HGF,ITGA1,GNG11,EPOR,NR4A1,IL6,COL4A2,COL4A1,IL7,COL4A3,COL6A1,FGFR4,TLR4,ITGA9	0.0003823090516842323	0	0
15	Viral myocarditis	2.3997179935171866e-05	5.9448382126348225	63.238657815174	HLA-DMA,SGCA,CAV1,ITGB2,HLA-DOA,HLA-DQA1,CD55,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00044794735878987484	0	0
16	Allograft rejection	2.713349964992663e-05	7.9102918586789555	83.17467364089194	HLA-DMA,FASLG,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.000474836243873716	0	0
17	ECM-receptor interaction	3.0845604751051096e-05	4.701456113235174	48.831750503855574	TNXB,VWF,COL4A2,COL4A1,LAMA4,ITGA1,COL4A3,COL6A1,NPNT,HSPG2,THBS1,ITGA9	0.0005080452547231945	0	0
18	Leishmaniasis	4.23382027500578e-05	4.957561728395062	49.92175791835611	HLA-DMA,FCGR2A,ITGB2,FOS,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.000658594265000899	0	0
19	Type I diabetes mellitus	6.958636568523671e-05	6.778494623655914	64.89013523656836	HLA-DMA,FASLG,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0010254832837824357	0	0
20	Intestinal immune network for IgA production	0.00015666284966213753	5.929646697388633	51.95209264974902	HLA-DMA,IL6,TNFSF13,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0021932798952699253	0	0
21	Pertussis	0.00018940665594390716	4.499929962179577	38.57166372288865	IL6,SFTPA2,IRF1,ITGB2,SERPING1,C4BPA,FOS,TNF,TLR4,C2	0.0025254220792520956	0	0
22	Antigen processing and presentation	0.00023540344751239432	4.367125895042146	36.48388559168906	CD74,HLA-DMA,PSME1,IFI30,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.002996043877430473	0	0
23	Pathogenic Escherichia coli infection	0.00029471555078618595	2.8187694704049844	22.915186131785298	IL1R1,FASLG,FOS,TNF,CLDN5,IL6,FCGR2A,MYO1A,MYO5C,MYH9,NCKAP1L,MYH11,ARHGEF2,BAK1,TLR4,MYH10,MYO1G	0.0035878414878318292	0	0
24	Dilated cardiomyopathy	0.0003178696270459855	3.8456063907044298	30.972011008054203	DES,SGCA,TNNC1,ITGA1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,TNF,ITGA9,TTN	0.0037084789822031637	0	0
25	Human T-cell leukemia virus 1 infection	0.0003593708785060372	2.6739935269052553	21.207858775343784	STAT5B,NRP1,MAP3K3,SPI1,IL1R1,ITGB2,ADCY4,FOS,CD3E,IL2RG,TNF,HLA-DMA,IL6,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.004024953839267617	0	0
26	Amoebiasis	0.0005376662287433401	3.5909306742640075	27.033504942501157	IL6,COL4A2,IL1R1,COL4A1,LAMA4,COL4A3,ITGB2,C8B,TNF,TLR4,SERPINB6	0.0057902516941590485	0	0
