Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RNA binding (GO:0003723)	4.041050528302424e-09	1.7002035924153496	32.859428731912935	EIF4A2,DQX1,RRP1,PPAN,NUDT1,GPATCH4,MSI2,ENO1,RPL7,THG1L,YY1,FBL,PSMD4,TRIM28,SNRPD2,SNRPD1,RPL36,RPL35,RPL37,KPNA2,RPS10,SRRM3,TYW5,DDX11,RPS5,PUS1,IMP4,ZCRB1,THOC5,CLNS1A,GRWD1,FSCN1,CCDC86,DNA2,SNRPC,DUS3L,SNRPB,DAP3,SLBP,MAZ,NOP2,MRPL16,TRMT2A,NTPCR,RPF2,RTN4,NOP9,MRPL11,RRP7A,RAD51AP1,FXR1,C7ORF50,STIP1,DHX34,PRDX1,DHX36,DNAJC21,DHX37,FDPS,ALYREF,RPP40,CPSF2,KNOP1,NR0B1,MAGOHB,MEX3D,EIF2S2,MCAT,LSM4,MRPL21,CHERP,HNRNPL,HNRNPM,RPS25,LSM7,RALYL,TBL2,EIF2S3,CAPRIN1,MKRN3,SPATS2L,GRSF1,APOBEC3B,EIF4G1,ISY1,TOP2A,RBM28,MTCL1,WDR3,FASTKD3,CCDC124,CLTC,DDX42,NKAP,MRPL39,HMGB3,HSPB1,SMG7,PHF6,ELAVL1,SPOUT1,ELAVL2,DUSP14,MRPL42,MRPL3,SUMO2,BUD23,RBM34,ZNF385A,EIF5B,TSFM,MRPS24,NCBP2,NSUN2,MRPS23,PRPF40B,RANGAP1,YWHAZ,DARS1,TSN,UCHL5,NME1,PKM,ESRP1,TCP1,STRAP,PABPC1,CACTIN,ALDOA,LUC7L2,FYTTD1,KARS1,SRSF1,SLC3A2,PUF60,PES1,TRA2B,POLR2D,FAM120A,SAP18,DROSHA,FLNB,RALY,IGF2BP2,RPS2,HNRNPA1,EIF4E,PTPN1,NQO1,PTCD1,TRMT10C,NIFK,MDH2,CDKN2A,CCDC59,PDAP1,RPL35A,DEK,HSPE1,U2SURP,NUDT21,RSL1D1,CMSS1,KRT18,XPOT,RBM42,RPL22L1,R3HDM1,RAN	3.386400342717431e-06	0	0
2	DNA secondary structure binding (GO:0000217)	4.6157292540624123e-07	7.783105912930474	113.54481954861585	BLM,HMGA1,HMGB3,HMGA2,NR0B1,RAD51AP1,YY1,RECQL4,MSH6,NEIL3,RAD51D,RBBP8,CLSPN	0.00019339905574521508	0	0
3	single-stranded DNA binding (GO:0003697)	1.0340242662821125e-06	3.7350149364537852	51.47617124701354	BLM,DDX11,MCM10,SMC6,RAD51AP1,NEIL3,RAD51D,RAD51,TDP2,RNF138,HMCES,RPA3,DHX36,POLR2D,NABP2,MCM3,RBBP8,MCM4,PMS2,MCM5,POLR2H,HNRNPA1,MCM2	0.00028883744504813676	0	0
4	cadherin binding (GO:0045296)	4.2308539293910045e-06	2.1704454339184878	26.855152963667326	LAD1,OLA1,PTPRJ,ENO1,BZW2,CDH8,ATIC,CDH3,TRIM29,RUVBL1,NCK1,RARS1,ARHGEF16,SCRIB,CIP2A,RANGAP1,YWHAZ,PKM,CTTN,FSCN1,CDH13,ITGA6,ALDOA,NOTCH3,TXNDC9,TWF1,SLC3A2,EVPL,NDRG1,RTN4,LIMA1,LDHA,SNX1,PUF60,EPCAM,PRDX1,MICALL1,PAK6,FLNB,RPS2,EPS15,S100A11,PTPN1,JUP,ANLN,RSL1D1,KRT18,EIF2S3,RAN	0.0008863638982074154	0	0
5	protein homodimerization activity (GO:0042803)	2.071448502881372e-05	1.7226766415466426	18.578511744653426	CEP57,TOP2A,TENM2,TENM4,MTCL1,CPOX,HSPB1,ATP2A1,ENO1,IDE,SPPL3,ELAVL1,NADK2,ATIC,IMPA2,CHEK2,CHMP1A,ABCD1,STARD3,G6PD,TPI1,TYW5,HMGCS1,UGT1A1,PRMT2,DNTTIP1,SLC51A,CIP2A,KNSTRN,MSH6,GREM1,ANO1,ALS2,RABL3,MVD,TKT,SNRPC,BLM,GTF2A2,SHMT2,KARS1,SHMT1,CHRNA7,TYMP,FXR1,SNX1,IRAK1,PDCD10,STC2,HSD17B1,DROSHA,UGT1A3,UGT1A9,ECT2,MORC2,S100A11,UGT1A7,UGT1A6,GSTM4,TBX1,GSTM3,NTRK2,GSTM2,JUP,GSS,NR0B1,TPD52L1,GRHL1,GGCT,EXT1,NUDT21,MLXIPL,CENPF,MAP3K10,BAX,KYAT1,MAP3K13,BCL2L2,FGFR2	0.0034717476908291797	0	0
6	DNA replication origin binding (GO:0003688)	2.993559232383592e-05	7.680122210906397	79.9997042894058	ORC4,DDX11,GRWD1,MCM3,MCM4,MCM10,MCM5,CDC6,MCM2	0.004181004394562416	0	0
7	monocarboxylic acid binding (GO:0033293)	7.500533818311461e-05	5.690507071830029	54.04815887658082	CYP26A1,CYP26B1,UGT1A1,AKR1C1,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.008979210485350006	0	0
8	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	0.00010381352262208862	3.125503089394025	28.669972045828455	CBR1,G6PD,DHRS11,HIBADH,MDH2,AKR1C1,AKR1C3,PGD,PTGR1,ADH7,UGDH,LDHB,LDHA,BDH1,EHHADH,RDH10,PHGDH,CBR3	0.010367214086598181	0	0
9	hexosyltransferase activity (GO:0016758)	0.00011134239472480147	2.7203153426318982	24.762759803440314	POMT2,CHPF,UGT1A1,GBE1,TMTC3,TMTC4,FUT3,EXT1,MTAP,HAS3,GCNT3,B4GALNT1,UGT1A3,UGT2A1,B4GALNT3,B4GALT6,UGT1A9,LARGE2,B4GALT4,UGT1A7,B4GALNT4,UGT1A6	0.010367214086598181	0	0
10	retinoid binding (GO:0005501)	0.00017888461800903626	4.9783830523130135	42.95732010044256	CYP26A1,CYP26B1,UGT1A1,ABCA4,RBP1,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.014990530989157237	0	0
11	insulin-like growth factor I binding (GO:0031994)	0.0002302883291777391	10.2241729809647	85.63949717780027	IGFBP5,ITGB4,IGFBP3,IGFBP2,ITGA6,IGF1R	0.017543783622813214	0	0
12	magnesium ion binding (GO:0000287)	0.0003603751643277105	2.35936829456699	18.705932881383973	TOP2A,FEN1,EYA2,GSS,PLK1,IDH2,MAPK12,THG1L,NME1,MSH6,THTPA,GCLC,OPA1,MTHFD2,RHEB,TDP2,DHX36,STK38L,UBA2,TKT,MORC2,DCTPP1,RAN,MARK1	0.022540737924369253	0	0
13	single-stranded DNA helicase activity (GO:0017116)	0.00036597317649632305	6.960733549083064	55.07994012554483	RFC4,RAD51,RFC2,MCM5,DNA2,CHTF18,MCM2	0.022540737924369253	0	0
14	RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	0.0003765755739154768	8.945666235446312	70.53113754213479	H2AZ1,GTF2A1,HDAC1,RUVBL2,TBPL1,MACROH2A1	0.022540737924369253	0	0
15	glucuronosyltransferase activity (GO:0015020)	0.0004185861680534682	4.8852294821186595	38.00038181916756	EXT1,CHPF,UGT1A1,UGT1A3,UGT2A1,UGT1A9,LARGE2,UGT1A7,UGT1A6	0.023385013921920425	0	0
16	insulin-like growth factor binding (GO:0005520)	0.0005865315796568136	7.951272100043122	59.16767423190921	IGFBP5,ITGB4,IGFBP3,IGFBP2,ITGA6,IGF1R	0.03071959148452561	0	0
17	fibroblast growth factor binding (GO:0017134)	0.0007357955435245328	5.9656957928802585	43.03985993047118	CEP57,GPC1,SCN5A,RPS2,CXCL13,FGFR3,FGFR2	0.03627039208667991	0	0
18	peptide alpha-N-acetyltransferase activity (GO:0004596)	0.0008681015251060984	9.93428140486964	70.02875521263697	NAA50,NAA30,NAA40,NAA10,NAA20	0.03868488711372396	0	0
19	voltage-gated anion channel activity (GO:0008308)	0.0008771036457765575	7.155756791720569	50.36855193842378	ANO1,CLCN5,VDAC3,VDAC2,GPR89B,CLCN2	0.03868488711372396	0	0
20	retinoic acid binding (GO:0001972)	0.001007430090604605	5.567680690399137	38.41896023713335	CYP26A1,CYP26B1,UGT1A1,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.04020125790126947	0	0
21	TBP-class protein binding (GO:0017025)	0.001007430090604605	5.567680690399137	38.41896023713335	GTF2A1,GTF2A2,PSMC5,YEATS2,RUVBL2,RUVBL1,PSMC2	0.04020125790126947	0	0
22	disordered domain specific binding (GO:0097718)	0.0013520437190073144	5.2194174757281555	34.48019194336844	CLTC,FN1,MDM2,CALM1,GAPDH,TP53,BCL2L2	0.04865210500462226	0	0
23	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.001373786373356474	3.9794772089004105	26.22548931936159	SQLE,CYP26A1,CYP26B1,AKR1C1,CYP4F3,AKR1C3,AKR1C2,MSMO1,CYP4F11	0.04865210500462226	0	0
24	exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	0.0013933777089629288	8.514636623880321	55.99245881804366	MGME1,FEN1,TATDN1,EXO1,POLD1	0.04865210500462226	0	0
