Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell cycle	1.5142426572582997e-08	3.8486593787569547	69.2980575942992	HDAC1,PKMYT1,ORC4,CCNB1,FZR1,ORC6,PTTG1,CHEK2,E2F3,SKP2,BUB1,CDKN2A,PLK1,CDC6,CDC25C,YWHAZ,CDC25A,WEE1,TFDP1,RBL1,DBF4,CCNE1,CDK4,MDM2,CDK1,MCM3,MCM4,MCM5,TP53,MCM2	4.6184401046378144e-06	0	0
2	Homologous recombination	1.2922934066935753e-06	6.210422385975051	84.20768900838081	BLM,PALB2,RAD54B,SEM1,BRIP1,RAD51D,RAD51,POLD1,RPA3,POLD2,RBBP8,RAD54L,NBN,TOPBP1	0.00015172823801795803	0	0
3	DNA replication	1.492408898537292e-06	6.766816396869792	90.77764743879358	FEN1,RNASEH2A,RFC4,RFC2,POLD1,RPA3,POLE2,POLD2,MCM3,MCM4,MCM5,DNA2,MCM2	0.00015172823801795803	0	0
4	Drug metabolism	2.1090589346159363e-06	3.4338070306656694	44.87734679069873	GSTM4,GSTM3,GSTM2,RRM1,RRM2,UGT1A1,GSTP1,MGST1,NME2,NME4,ADH7,NME1,TYMP,ALDH3A1,UCK2,CYP2D7,UGT1A5,UGT1A3,UGT2A1,TK1,UMPS,UGT1A9,UGT1A7,UGT1A6	0.00016081574376446513	0	0
5	Metabolism of xenobiotics by cytochrome P450	3.818425367339273e-06	3.998912807131985	49.889126249230635	GSTM4,CBR1,GSTM3,GSTM2,UGT1A1,GSTP1,AKR1C1,MGST1,ADH7,ALDH3A1,CYP2D7,CYP2S1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,CBR3,UGT1A6	0.00019330712943382784	0	0
6	Glutathione metabolism	4.358804145716724e-06	4.676575203252033	57.724430644702046	GSTM4,GSTM3,GPX2,G6PD,GSTM2,RRM1,RRM2,GSTP1,GSS,GSR,IDH2,MGST1,TXNDC12,PGD,GGCT,GCLC	0.00019330712943382784	0	0
7	Central carbon metabolism in cancer	4.436557068973098e-06	4.151138301073112	51.16540273658948	G6PD,PDHA1,GLS2,PGAM1,IDH2,SLC2A1,PDHB,SLC1A5,HK2,SLC7A5,LDHB,LDHA,PKM,PIK3CA,HRAS,TP53,FGFR3,FGFR2	0.00019330712943382784	0	0
8	Glycolysis / Gluconeogenesis	9.868602351369397e-06	4.075127035830619	46.970534939489404	GPI,TPI1,PDHA1,PGAM1,ENO1,PDHB,ENO2,ADH7,HK2,ALDH3A1,LDHB,LDHA,PKM,PGM2,ALDOA,DLD,GAPDH	0.00034709336383170286	0	0
9	Steroid hormone biosynthesis	1.1347196645196634e-05	4.259953703703704	48.506132547406544	DHRS11,UGT1A1,SRD5A1,AKR1C1,SRD5A3,AKR1C3,AKR1C2,CYP19A1,HSD17B1,HSD17B2,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.00034709336383170286	0	0
10	Huntington disease	1.1380110289564029e-05	2.136704464194504	24.32348175231841	NDUFB5,HDAC1,CLTC,NDUFA10,CLTB,NDUFA4L2,CACNA1B,COX5A,ATP5MC1,TUBA1C,PSMB7,ACTR1A,TUBA3D,KLC3,PSMD4,PSMB3,TUBB3,ATG101,PSMD2,POLR2D,POLR2E,POLR2H,POLR2I,AP2M1,COX8A,NDUFA9,GPX2,KCNJ10,DNAH17,TUBB,ADRM1,NDUFC2,SDHC,SDHA,SEM1,PSMC5,NDUFS6,PSMC2,VDAC3,PPIF,TBPL1,VDAC2,MAP3K10,BAX,HAP1,TP53	0.00034709336383170286	0	0
11	Pyrimidine metabolism	1.611810054628955e-05	4.381436755161306	48.3516417593506	DTYMK,RRM1,RRM2,ENTPD3,NME2,NME4,TYMS,NME1,TYMP,UCK2,NT5C1B,NT5M,TK1,UMPS,DCTPP1	0.00044691096969257387	0	0
12	RNA transport	0.00010132542054106039	2.311230162741332	21.256784192783904	EIF4A2,NUP205,FXR1,TGS1,SUMO2,SAP18,EIF4E,EIF2B5,EIF5B,PRMT5,NCBP2,ALYREF,RPP40,THOC1,THOC3,THOC5,EIF2S2,MAGOHB,SENP2,RANGAP1,EIF2S3,XPOT,CLNS1A,NUP50,EEF1A2,TACC3,STRAP,PABPC1,RAN,EIF4G1	0.0025753544387519516	0	0
13	Fanconi anemia pathway	0.0001917083485067549	3.792310496204377	32.46041578459961	FANCI,BLM,FANCA,FAAP24,FANCB,PALB2,FANCG,BRIP1,RAD51,FANCD2,UBE2T,RPA3,PMS2	0.004497772791889249	0	0
14	Mismatch repair	0.00021974502247801612	6.3671848013816925	53.63106928569985	MSH6,RFC4,RFC2,EXO1,RPA3,POLD1,POLD2,PMS2	0.004787302275413922	0	0
15	Spliceosome	0.0005407207620713136	2.2839690850162055	17.181403114449164	ISY1,RBM17,NCBP2,ALYREF,SRSF1,THOC1,DDX42,PRPF40B,THOC3,MAGOHB,LSM4,U2SURP,CHERP,PRPF4,HNRNPM,LSM7,SNRPD2,PUF60,SNRPD1,TRA2B,SNRPE,SNRPC,HNRNPA1,SNRPB	0.010994655495450041	0	0
16	Retinol metabolism	0.0006230396489537466	3.100659827577903	22.885661359219977	UGT1A1,DGAT1,ADH7,CYP26A1,CYP26B1,RDH10,CYP2S1,UGT1A5,PNPLA4,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.011876693308180794	0	0
17	Pentose and glucuronate interconversions	0.0008811701387051977	4.298302009073234	30.235373162598663	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,XYLB,UGT1A7,UGT1A6	0.015809228959122665	0	0
18	Cellular senescence	0.0009578005380933763	2.179438362684436	15.148994929460963	CDKN2A,IGFBP3,LIN9,FOXM1,CDC25A,MAPK12,PPP3R1,CCNB1,RBL1,PIK3CA,RBBP4,CCNE1,RHEB,CDK4,CHEK2,VDAC3,MDM2,CDK1,VDAC2,E2F3,NBN,CALM1,TP53,HRAS	0.016229398006582206	0	0
19	Hepatocellular carcinoma	0.0012365892329230079	2.0957268010313195	14.031725677400408	SHC2,GSTP1,MGST1,KEAP1,TGFA,FZD10,IGF1R,DPF1,E2F3,HRAS,GSTM4,GSTM3,NQO1,GSTM2,CDKN2A,TXNRD1,WNT7B,WNT5A,FZD6,ACTL6A,PIK3CA,CDK4,BAX,TP53,NFE2L2	0.01879138566456798	0	0
