Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	1.0085333630934965e-12	2.8990896919798175	80.08017446778713	HJURP,IDE,SLC7A11,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,HTATIP2,WDHD1,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,EIF1AX,IGFBP3,NDUFC2,TALDO1,ESCO2,PTGR1,PGD,ALDH3A1,DBF4,MTHFD2,NRG4,MCM3,TKT,PFN2,CSTA,ABCB6,ABHD4,MGST1,CPLX2,LRP8,NT5DC1,BRIP1,PTPRZ1,PTPMT1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,OSGIN1,AKR1C3,CYP4F11,TPD52L1,STXBP5L,FERMT1,GCLC,TMEM237,PNPLA4,RPL22L1,TMEM18	1.8960427226157734e-10	0	0
2	CSR LATE UP.V1 UP	9.393772554432397e-09	3.7288261897420085	68.92071056121885	CXCL6,FEN1,DTYMK,UHRF1,MAZ,YEATS4,RPF2,FOXM1,PBK,PGM2,NUP88,CLSPN,FAM83D,PRMT5,GINS2,RRM2,UBE2C,IGFBP3,ACTL6A,FANCA,IMP4,CDC6,ZWINT,ANLN,KRT18,CDK1,MCM3,BIRC5,ITGA6,UMPS,EZH2	8.830146201166453e-07	0	0
3	E2F1 UP.V1 UP	9.02225137176274e-06	2.8133273164861614	32.679094305214264	TOP2A,DLX1,SLBP,FEN1,HMGB3,TYMS,NCAPH,AURKB,SMC2,DNAJC21,E2F3,BUB1,KPNA1,PLK4,WDHD1,STIL,RRM1,KLHL21,WBP11,UCK2,DBF4,PRC1,UBE2T,MCM4,DNA2,GRSF1,EZH2	0.0005512385137775051	0	0
4	RB P107 DN.V1 UP	1.313205254127966e-05	3.1403444652565216	35.29889925605261	WDHD1,SLBP,FKBP10,GSTM2,FEN1,RRM1,RRM2,PAQR4,RFC2,CCNF,FANCA,NCAPH,COL1A1,ORC6,CENPH,CCNE1,PRC1,RPA3,CENPK,SPIRE2,MCM5,DNA2	0.0005512385137775051	0	0
5	P53 DN.V1 UP	1.4660598770678327e-05	2.7283663719492424	30.36766451340351	COL17A1,ITGB4,ADM,GRIK2,UGT8,UCHL1,CALB1,EPCAM,PRSS2,PITX1,SUN1,CDKN2A,THOC1,LSR,SULF1,KLK10,NDC80,AZGP1,KRT19,KRT18,KLF5,LPCAT4,KRT15,NMU,SCNN1A,CDH13,DSC2	0.0005512385137775051	0	0
6	VEGF A UP.V1 DN	3.715414050247676e-05	2.6249466801293715	26.775598879973835	RIF1,BUB1B,HMMR,CENPA,LRP8,IPO5,CCNB1,EXO1,NBN,BUB1,PLK4,SERPINB2,RFC4,RRM2,SPAG5,KIF23,VRK1,NDC80,NUDT21,EIF2S3,DBF4,CCNE1,BIRC5,MCM4,ATP13A3,CDKN3	0.0011641630690776051	0	0
7	E2F3 UP.V1 UP	0.00032020917810066454	2.3477277960354175	18.89107645006794	RYR1,RTN4R,L3MBTL3,FEN1,ATRNL1,ZDHHC23,FANCA,SLC4A3,SYNGR3,RASGRP1,RECQL4,UGT8,CYP26A1,HEY1,CCNE1,MYB,EEF1A2,TSPAN5,ANKRD18A,SLC27A2,FGFR3,CHST2,SAC3D1,E2F7	0.008280492758510897	0	0
8	MEL18 DN.V1 UP	0.0003947198951322926	2.6155840531171046	20.49920627624976	CA12,JAG1,WNT5B,LAMB3,DDX11,ABCC5,FZD6,ADM,SLC7A11,PTHLH,GREM1,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CDH13,CLSPN,CHST2	0.008280492758510897	0	0
9	RPS14 DN.V1 DN	0.0003964065682265855	2.3585442621512547	18.474642742105175	GINS2,ERCC6L,PLK1,KRT13,PYCR1,KIF23,CDC6,NCAPH,NLE1,KIF15,FOXRED2,SLC6A8,TRIM29,EXO1,EPCAM,PRC1,PES1,NMU,ZNF74,PBK,KIF2C,MCM5,ECT2	0.008280492758510897	0	0
10	GCNP SHH UP LATE.V1 DN	0.0005722859104001081	2.3403163988308484	17.472502317696076	EPHB6,GRB7,EYA1,DLX5,NDUFA10,NUDT1,SLC2A1,FMO1,LSR,ACTN4,KLK8,MRPL3,VSNL1,RAB34,WNK2,GJB6,ESRP1,UBE2V2,PPFIA4,S100A11,MDFI,KPNA1	0.010758975115522033	0	0
11	HOXA9 DN.V1 DN	0.0007171941871834144	2.2478825079471307	16.275037833003818	PLK4,FANCI,HELLS,SREBF1,RNASEH2A,DLX5,FZD6,IGFBP2,ADM,STAM,CDC6,TEX15,SLC2A5,LSS,FANCG,COCH,PER2,SQLE,SPP1,MVD,PDK1,APOBEC3B,TMEM45A	0.012257500653680172	0	0
12	RB P130 DN.V1 UP	0.0014172082613763395	2.4576907655295788	16.12015681271473	SEMA5B,UBE2C,FST,COL11A2,HMGA2,ATP2A1,LSM4,AURKB,ZNF428,POLD2,CDK1,BIRC5,SNRPC,POLR2I,SIM2,B4GALT4,SNRPB	0.02220292942822932	0	0
13	BMI1 DN MEL18 DN.V1 UP	0.0035763215608626184	2.225856719588551	12.539186882589174	JAG1,WNT5B,LAMB3,TUFT1,ADM,SLC7A11,PTHLH,GREM1,SLC7A5,SCML2,WEE1,ZNF639,STC2,COL7A1,ADAM12,MICALL1,CDH13	0.047581443922021925	0	0
14	MTOR UP.V1 UP	0.0036823830570627695	2.1099836217332477	11.824760014375284	FDPS,HELLS,GPX2,RRM2,KCNE3,UBE2C,UHRF1,TMPRSS4,SLC2A1,HSPE1,LSS,SQLE,CYP26A1,DBF4,BDH1,CDK1,MCM5,PDK1,IDH3A	0.047581443922021925	0	0
15	GCNP SHH UP LATE.V1 UP	0.003796391802288983	2.058048364466698	11.470952790292099	TOP2A,NAA30,RRM1,RRM2,CDCA7,AURKB,SMC2,FTSJ3,PSMC3IP,SFRP1,FRMD6,SIX4,PIK3CA,PRC1,MYB,ZMYM6,CDK1,MCM4,KIF2C,MCM5	0.047581443922021925	0	0
