Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MHC class II receptor activity (GO:0032395)	3.734899940244498e-07	40.91159830268741	605.5069812847183	HLA-DOA,HLA-DQA1,HLA-DQB2,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0002166241965341809	0	0
2	alpha-actinin binding (GO:0051393)	1.4467651311001158e-05	11.238960173304449	125.24242426841224	MAGI1,PDLIM2,PKD2L1,CACNA1D,PPARG,KCNN2,TTN	0.004195618880190336	0	0
3	actinin binding (GO:0042805)	6.892940773074927e-05	10.903536067892503	104.48234553717519	MAGI1,PKD2L1,CACNA1D,PPARG,KCNN2,TTN	0.013326352161278194	0	0
4	protein tyrosine kinase activity (GO:0004713)	0.00012306478279037808	3.7518195488721804	33.7768797285456	ALK,PDGFRA,CSF1R,NTRK3,AATK,HIPK3,TTN,HCK,FES,PEAK1,FGFR4,JAK2,ROS1	0.01784439350460482	0	0
5	actin binding (GO:0003779)	0.0002067158395356129	2.9198904454022987	24.772833674547257	MACF1,PLEKHH2,LRRK2,PARVA,CGN,SORBS1,SSH2,LMOD2,SYNE1,PDLIM2,MLPH,MICAL1,MYL3,MYH9,PHACTR1,DMD,MYH10	0.023979037386131098	0	0
6	calcium ion binding (GO:0005509)	0.000332426407797267	2.22901805491515	17.852410788050747	MCTP1,PLA2G1B,LPL,PKD2L1,FBLN1,AIF1,THBS1,TTN,CDH5,CLEC3B,SCUBE1,ENPP2,CDH23,MAN1C1,CAPN3,SLIT3,SLIT2,TGM2,AOC3,SYT1,TNNC1,SYT15,EML1,SELP,RGN,ESYT3	0.032134552753735814	0	0
7	exopeptidase activity (GO:0008238)	0.000537779009088087	4.852198581560284	36.52765586309207	CPM,DPP6,ACE,MME,DPEP2,CTSH,LTA4H,TRHDE	0.04455883218158435	0	0
8	cell-cell adhesion mediator activity (GO:0098632)	0.0006457265006398818	5.453824362606232	40.05907357790003	ROBO4,CNTN6,ESAM,STXBP6,CNTN4,DSCAML1,CNN3	0.04681517129639143	0	0
9	sodium ion binding (GO:0031402)	0.0008324005485537276	27.16056338028169	192.6009002491103	SLC34A2,CAPN3,ATP1A2	0.0482792318161162	0	0
10	LBD domain binding (GO:0050693)	0.0008324005485537276	27.16056338028169	192.6009002491103	CITED2,PPARG,PROX1	0.0482792318161162	0	0
