Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	2.5694561600767694e-10	7.017005498018157	154.9506147214292	CSF1R,CSF3,IL4R,MME,IL1R1,ITGA1,CD3E,TNF,EPOR,IL6,HLA-DMA,IL7,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,CD33,CD55,HLA-DPA1,HLA-DQB1	7.220171809815722e-08	0	0
2	Malaria	1.4148381004523648e-08	9.662162162162161	174.6306882401615	CSF3,HGF,ITGB2,HBB,TNF,THBS1,SELP,IL6,KLRC4-KLRK1,PECAM1,CCL2,ACKR1,TLR4	1.158251590036182e-06	0	0
3	Cell adhesion molecules	1.418294250143727e-08	4.841637378540417	87.494322438548	NLGN3,SELPLG,CADM1,ITGB2,ICAM2,PTPRM,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,CD226,ESAM,NCAM2,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,JAM2,HLA-DPA1,ITGA9,HLA-DQB1	1.158251590036182e-06	0	0
4	Hypertrophic cardiomyopathy	1.648756711795277e-08	6.428869469374901	115.2095791110048	EDN1,ACE,LAMA2,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,TNF,TTN,IL6,CACNB4,DES,SGCA,MYL3,DMD,ITGA9	1.158251590036182e-06	0	0
5	Th17 cell differentiation	4.1614323146743335e-08	5.586678522350659	94.94460383241615	STAT5A,STAT5B,IL4R,IL1R1,RORC,FOS,CD3E,IL2RG,IL6,HLA-DMA,HLA-DOA,IL6ST,JAK2,RXRG,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.3387249608469754e-06	0	0
6	Inflammatory bowel disease	4.0000649214856717e-07	6.869642857142857	101.20210200763623	IL4R,RORC,IL2RG,TNF,HLA-DMA,IL6,HLA-DOA,TLR4,HLA-DQA1,IL18R1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.873363738229123e-05	0	0
7	Th1 and Th2 cell differentiation	8.434759783244985e-07	5.36132921519741	74.98212650943726	STAT5A,STAT5B,IL4R,MAML2,FOS,CD3E,IL2RG,HLA-DMA,MAML3,HLA-DOA,JAK2,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	3.3859535701312014e-05	0	0
8	Viral myocarditis	1.117705729426935e-06	6.861269614835948	94.0284335630504	HLA-DMA,SGCA,LAMA2,CAV1,ITGB2,DMD,HLA-DOA,HLA-DQA1,CD55,HLA-DRB1,HLA-DPA1,HLA-DQB1	3.925941374612109e-05	0	0
9	Dilated cardiomyopathy	1.4758711960713098e-06	5.095510983763133	68.4136660071814	LAMA2,TNNC1,ITGA1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,TNF,TTN,CACNB4,DES,SGCA,MYL3,DMD,ITGA9	4.607997845511534e-05	0	0
10	Complement and coagulation cascades	1.7207028034577245e-06	5.420701605915896	71.94776763151005	SERPINA1,VWF,F10,ITGB2,FGG,F11,C4BPA,C8B,TFPI,C2,SERPING1,VSIG4,A2M,CD55	4.8351748777162065e-05	0	0
