Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	GTPase activator activity (GO:0005096)	2.329366722936309e-06	2.320598215407817	30.097959561004348	DENND1C,NRP1,DOCK5,DOCK4,RABGAP1,LRRK2,ARHGEF10L,DENND3,IQGAP1,IQGAP2,RASGRP2,ARHGAP15,KALRN,ARHGAP44,DOCK10,ABR,AKAP13,FGD4,DOCK11,FGD5,ARHGAP20,RGS3,RASGEF1B,CHN1,SH3BP5,NCKAP1L,ARHGEF10,STARD13,ARHGEF15,GRTP1,RALGAPA1,DENND4A,RALGAPA2,ARAP3,TBC1D2B,ARHGAP26,ARHGAP25,SGSM1,SPATA13,RAPGEF2,RIN3,ARHGEF2,RGS11,RAPGEF3	0.0017400369420334228	0	0
2	MHC class II receptor activity (GO:0032395)	9.625522876279589e-06	22.74009700889248	262.67296069904427	HLA-DOA,HLA-DQA1,HLA-DQB2,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0035951327942904264	0	0
3	calcium ion binding (GO:0005509)	6.288431401257242e-05	2.0499222251730287	19.831385890204565	MCTP1,PLA2G1B,LTBP4,LPL,PKD2L1,FBLN1,IQGAP1,RASGRP2,AIF1,THBS1,SLC8A1,TTN,CDH5,CLEC3B,SCUBE1,SPOCK2,ENPP2,CDH23,MAN1C1,CAPN3,EFHD1,SLIT3,ENPP3,SLIT2,TGM2,AOC3,SYT1,CEMIP2,TNNC1,SYT15,EML1,SYT8,NAALADL1,SELP,RGN,CDHR3,SPARCL1,RAPGEF2,ESYT3,CLEC4E,CDH19	0.01565819418913053	0	0
4	guanyl-nucleotide exchange factor activity (GO:0005085)	0.00013482730120097677	2.643115556501383	23.55416617204649	DENND1C,DOCK5,ARHGEF10,DOCK4,ARHGEF15,DENND4A,DENND3,RASGRP2,KALRN,DOCK10,DOCK11,ABR,AKAP13,FGD4,FGD5,RASGEF1B,SPATA13,SH3BP5,RAPGEF2,RIN3,ARHGEF2,RAPGEF3	0.018792800850618442	0	0
5	high voltage-gated calcium channel activity (GO:0008331)	0.0001780887443094545	15.147011308562197	130.76761075461522	CACNB1,CACNB4,CACNA1D,CACNA1S,CACNA1C	0.018792800850618442	0	0
6	actinin binding (GO:0042805)	0.0001890556639162188	7.582119741100324	65.00506907164652	MAGI1,PKD2L1,CACNA1D,PPARG,KCNN2,CACNA1C,TTN	0.018792800850618442	0	0
7	leukemia inhibitory factor receptor activity (GO:0004923)	0.00020126158876164328	30.274414850686036	257.66267052352345	LIFR,IL6ST,CRLF2,IL13RA1	0.018792800850618442	0	0
8	oncostatin-M receptor activity (GO:0004924)	0.00020126158876164328	30.274414850686036	257.66267052352345	LIFR,IL6ST,CRLF2,IL13RA1	0.018792800850618442	0	0
9	voltage-gated calcium channel activity (GO:0005245)	0.0003425159782319937	4.878473026163464	38.926274160138405	CACNG6,CACNB1,CACNB4,CACNA2D2,CACNA1D,CACNA1C,CACNA1S,CACNA2D4,CACNA1G	0.02826009043039923	0	0
10	amyloid-beta binding (GO:0001540)	0.0003783144635930285	3.2260029094854157	25.420208671325152	ACHE,CD74,MSR1,COL25A1,ITGB2,LILRB1,FPR2,ADRB2,HSPG2,AGER,CD36,APBB1,APOE,TLR4	0.02826009043039923	0	0
11	alpha-actinin binding (GO:0051393)	0.00047739432397210654	6.243099181420141	47.742026617755585	MAGI1,PKD2L1,CACNA1D,PPARG,KCNN2,CACNA1C,TTN	0.03241941454610578	0	0
12	actin binding (GO:0003779)	0.0006373019356709632	2.2773525654673197	16.757368271631005	PRKN,MACF1,SPTBN4,PLEKHH2,NOS3,LRRK2,COBL,CGN,SORBS1,IQGAP2,SSH2,LMOD2,SYNE1,MLPH,MICAL1,MYL3,MYH9,PHACTR1,ANG,DMD,CORO7,UTRN,MYH10	0.039672045495517456	0	0
13	phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)	0.0008133561845613513	5.585334695963209	39.7359780444829	FCHSD2,NCF1,PLEKHA1,DAPP1,ARAP3,ZFYVE1,MYO1G	0.04227517542369471	0	0
14	CD4 receptor binding (GO:0042609)	0.0008488991048934681	15.135593220338983	107.03241025857987	CD74,IL16,CD22,HLA-DRB1	0.04227517542369471	0	0
15	ciliary neurotrophic factor receptor activity (GO:0004897)	0.0008488991048934681	15.135593220338983	107.03241025857987	LIFR,IL6ST,CRLF2,IL13RA1	0.04227517542369471	0	0
16	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.0010477872181589353	3.4088921282798834	23.38866370615284	NRP1,PDGFRA,CSF1R,NRP2,EFEMP1,ERBB4,AXL,NTRK3,CRIM1,FGFR4,ROS1	0.04891856574779529	0	0
