Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	3.6631744977965634e-11	5.7622327302631575	138.46706274207494	CSF1R,CSF3,CSF3R,ITGB3,IL5RA,CD3G,TNF,HLA-DMA,CD37,CD36,HLA-DOA,CD34,HLA-DQA1,CD33,CD55,HLA-DPA1,CR1,MME,IL1R1,ITGA1,EPOR,IL6,IL7,IL7R,HLA-DRB1,CD22,HLA-DQB1	7.3268447165996895e-09	0	0
2	Malaria	4.9673523502370774e-11	9.376818469323213	222.47016653705225	IL10,CSF3,CR1,HGF,ITGB2,HBB,HBA2,ITGAL,TNF,THBS1,SELE,SELP,IL6,KLRC4-KLRK1,PECAM1,CCL2,CD36,ACKR1,TLR4	7.3268447165996895e-09	0	0
3	Hypertrophic cardiomyopathy	1.2568972555130207e-10	5.90248831628142	134.56023463076005	LAMA2,ITGB3,CACNA1D,CACNA1C,TNF,SLC8A1,TTN,CACNG6,SGCA,DMD,CACNA1S,MYBPC3,EDN1,ACE,TNNC1,ITGA1,CACNA2D2,CACNA2D4,CACNB1,SLC8A3,IL6,CACNB4,DES,MYL3,ITGA9	1.235948967921137e-08	0	0
4	Dilated cardiomyopathy	3.0539381431848065e-09	5.109379272627837	100.17875065242002	MYBPC3,LAMA2,ITGB3,TNNC1,ITGA1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TNF,SLC8A1,TTN,CACNB1,CACNG6,SLC8A3,CACNB4,PLN,DES,SGCA,MYL3,DMD,CACNA1S,ITGA9	2.2522793805987948e-07	0	0
5	Cell adhesion molecules	2.9319480842295674e-08	3.7413785942713162	64.8942628499022	NLGN3,SELPLG,ITGB2,ICAM2,NRXN3,PTPRM,ITGAL,CDH5,HLA-DMA,NCAM2,HLA-DOA,CD34,HLA-DQA1,JAM2,HLA-DPA1,CADM1,SELE,SELP,CLDN5,PTPRC,CLDN15,PECAM1,CD226,ESAM,SIGLEC1,HLA-DRB1,CD22,ITGA9,HLA-DQB1	1.7298493696954447e-06	0	0
6	Complement and coagulation cascades	1.83708617241697e-07	4.702685703503365	72.9382552344678	C1QB,CFD,SERPINA1,CR1,VWF,CFH,F10,PROS1,ITGB2,F11,C4BPA,C8B,TFPI,C2,C3,ITGAX,SERPING1,VSIG4,A2M,CD55	9.032340347716768e-06	0	0
7	Staphylococcus aureus infection	2.838179077117585e-07	4.3387335780952805	65.40611788378905	IL10,C1QB,CFD,SELPLG,CFH,ITGB2,DEFA3,FPR3,FPR2,ITGAL,C2,C3,SELP,HLA-DMA,FCGR2A,HLA-DOA,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.1960897539281252e-05	0	0
8	Arrhythmogenic right ventricular cardiomyopathy	8.290193456736393e-07	4.656713939813214	65.20806935779429	LAMA2,ACTN2,ITGB3,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,SLC8A1,CACNB1,CACNG6,SLC8A3,CACNB4,DES,SGCA,DMD,CACNA1S,ITGA9	3.057008837171545e-05	0	0
9	Adrenergic signaling in cardiomyocytes	1.782172026051127e-06	3.2102870623161133	42.49674544961848	CAMK2A,ADCY4,CACNA1D,ATP1A2,CACNA1C,ADRB2,ADRA1A,SLC8A1,KCNE1B,CACNG6,PLN,CREB3L1,SCN7A,CACNA1S,SCN1B,TNNC1,CACNA2D2,CACNA2D4,CACNB1,SLC8A3,CACNB4,KCNQ1,MYL3,AGTR1,PLCB2,RAPGEF3	5.841563863167583e-05	0	0
10	Leishmaniasis	3.862948408208597e-06	4.32094888526373	53.85665184614698	IL10,CR1,NCF1,ITGB2,FOS,TNF,C3,NFKBIA,HLA-DMA,FCGR2A,HLA-DOA,TLR4,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00011395697804215362	0	0
11	Osteoclast differentiation	1.0980049904660806e-05	3.2006864006864006	36.550016150881106	LILRA6,CSF1R,SPI1,JUND,NCF1,IL1R1,ITGB3,MITF,NFATC1,LILRB1,FOS,TNF,SIRPB1,NFKBIA,SOCS3,TYROBP,FCGR2A,PLCG2,FOSB,PPARG,JUNB,FCGR2C	0.0002944649747159034	0	0
