Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	9.952192634326914e-12	4.069869186682417	103.10292494713894	CPM,RBM47,SEMA3D,LST1,ITGB2,TNFAIP2,PTPN22,FRY,ITGAL,AIF1,HLA-DMA,SPTLC3,ENPP2,ITGAX,SH3BP5,LPXN,CTSH,CCL2,ST3GAL6,PTGDS,TRIM22,CR1,VWF,CD300A,GDF15,PDE4D,CRIM1,TM6SF1,ARHGAP25,DCN,PTPRE,BST1,HCK,TYROBP,CACNB4,TFEC,ARHGEF3,MNDA,CD69,HLA-DQB1	1.851107829984806e-09	0	0
2	ESC J1 UP LATE.V1 UP	7.056156390855104e-09	3.454719604347088	64.84289445048294	PARM1,CITED2,PTPN21,TMPRSS2,PTH1R,SEL1L3,PODXL,HNF4A,CA4,CHST15,CTSH,APOB,CD55,PDGFRA,GADD45B,PEG3,GPX3,CRIM1,KRT7,GKN2,SHROOM3,LMO7,HNF1B,RBP4,DAB2,COL4A2,COL4A1,ID2,APOC2,SLCO2A1,MYL3,TFEC,RGL3,HLA-DRB1,LGMN	6.562225443495247e-07	0	0
3	KRAS.600 UP.V1 UP	5.363670656339714e-07	2.5666943982251804	37.05908125551936	LILRA6,NRP1,DDX6,CSF3,DOCK4,RTN1,CTNND2,HPN,ITGB2,ATP1A2,TFPI,CXCL5,HSD11B1,LPXN,ST3GAL6,A2M,SCN1B,TGM2,SYT1,PEG3,PCDH9,KCNJ8,LIMCH1,LMO3,NTRK3,LAPTM5,ETV1,RNASE1,GNG11,DUSP6,DNM3,RBP4,ZEB1,NAV3,ACOX2,SLCO4A1,MGAT4A,ALPI,TLR4,KCNK3,CCNJL	3.3254758069306225e-05	0	0
4	ERB2 UP.V1 UP	8.322669732983417e-07	2.97291150990099	41.618122876540056	ACHE,VIPR1,PARM1,SERPINA1,EPAS1,PLEKHB1,PAPSS2,DOCK10,SLC9A3R2,SDCBP,MUC1,PDE4B,ZNF467,CSGALNACT1,CADPS2,EDN1,IL1R1,LIMCH1,GDF15,TPK1,LMO3,PDE4D,KRT7,DUSP6,PNRC1,PTPRE,DAB2,NPC2,MGAT4A,FGFR4,ABCG1	3.40518131605e-05	0	0
5	KRAS.KIDNEY UP.V1 UP	9.15371321518817e-07	3.346070720810921	46.52355328119558	DDX6,RTN1,AQP4,ATP1A2,SOBP,EPB41L3,ST3GAL6,A2M,SCN1B,MEF2C,WSCD1,SYT1,PEG3,PCDH9,KCNJ8,LIMCH1,LMO3,PLCL1,ANK2,ETV1,SORBS1,DUSP6,DNM3,PECAM1,SPARCL1,ASPA	3.40518131605e-05	0	0
6	ESC V6.5 UP LATE.V1 UP	6.519360561955076e-06	2.7591351417724885	32.946099515760345	PARM1,HPN,TMPRSS2,PTH1R,SH3RF1,SEL1L3,PODXL,SPOCK2,PLAGL1,CA4,CHST15,CTSH,SLIT3,APOB,ZNF521,CD55,GPX3,TNNC1,KRT7,HNF1B,RBP4,DAB2,COL4A2,COL4A1,APOC2,MYL3,RGL3,LPIN2,LGMN	0.00020210017742060737	0	0
7	EGFR UP.V1 UP	8.898927263731376e-06	2.7082261823441955	31.495532559961696	EPAS1,TFPI,PAPSS2,ACTG2,SEL1L3,RND1,SOCS2,SDCBP,PLAGL1,PDE4B,CCL2,A2M,JUNB,TNS3,CSGALNACT1,CADPS2,EDN1,MBNL2,PCDH9,IL1R1,SAMD4A,KRT7,DUSP6,PTPRE,RCAN1,CRISPLD2,MGAT4A,SLCO2A1,MGLL	0.00023645721015057658	0	0
8	BMI1 DN MEL18 DN.V1 DN	1.2649698950764324e-05	2.9826927309469977	33.63844217026397	PEG3,IL1R1,GPX3,LMO3,AK1,UNC5C,SEMA3E,FOS,SLC4A4,SOCS2,RBP4,ACOX2,FCGRT,ID2,PDE4B,EFHD1,CTSH,PDE5A,APOE,PDE7B,ZNF423,A2M,PPARGC1A,SEC31B	0.0002789900938638479	0	0
9	ATF2 UP.V1 DN	1.3499520670831351e-05	2.695571602350079	30.225057236501645	ITIH5,SERPINA3,CCL11,CFH,CELF2,FRY,AFF1,EFEMP1,PLN,REV3L,CCL2,SVEP1,SLIT3,CSGALNACT1,IL1R1,LIMCH1,PDE4DIP,RNASE4,ABCA8,FOS,SMAD6,RBL2,MFAP4,SLCO4A1,NFIB,ARHGEF3,CD302,SCRG1	0.0002789900938638479	0	0
10	LTE2 UP.V1 UP	1.8245007014902418e-05	2.645226845501194	28.86370778070625	SERPINA1,EPAS1,PROS1,C4ORF19,ACTG2,SDCBP,DPYSL2,PLAGL1,KIF13B,TNS3,SASH1,CSGALNACT1,UNC13B,EDN1,PCDH9,IL1R1,GPX3,ASRGL1,PNRC1,RCAN1,DIAPH2,DAB2,ACOX2,NPC2,NOVA1,MGAT4A,CD302,FGFR4	0.000339357130477185	0	0
11	CRX DN.V1 DN	2.623000958204767e-05	2.9995173745173744	31.640728170076283	CADPS2,EGR1,SERPINA3,PPP1R14A,MYOCD,STEAP4,RNASE4,FMN1,GNG11,SEL1L3,SOCS3,RBP4,COL4A2,GLIPR2,GDAP1L1,SERPING1,TAGLN2,RGL3,JUNB,RXRG,TECTA,TGM2	0.0004202984703995768	0	0
12	KRAS.50 UP.V1 UP	2.7116030348359794e-05	5.069320335770376	53.30585744812893	LILRA6,HSD11B1,DOCK4,RBP4,PEG3,LMO3,ITGB2,HPN,ST3GAL6,ETV1,A2M,CXCL5	0.0004202984703995768	0	0
13	KRAS.300 UP.V1 UP	3.4249934029650204e-05	2.856070904971345	29.365623858377145	LILRA6,DDX6,CSF3,DOCK4,RTN1,SYT1,PEG3,LMO3,HPN,ITGB2,ETV1,ATP1A2,TFPI,RNASE1,CXCL5,DUSP6,HSD11B1,DNM3,RBP4,NAV3,ST3GAL6,A2M,SCN1B	0.000458248874295443	0	0
14	CORDENONSI YAP CONSERVED SIGNATURE	3.638760726610886e-05	4.494992609016999	45.94458839773164	GADD45B,ITGB2,CRIM1,FGF2,THBS1,DAB2,AXL,COL4A3,PMP22,AMOTL2,SLIT2,TNS1,TGM2	0.000458248874295443	0	0
15	ATF2 S UP.V1 DN	3.6955554378664754e-05	2.5807925575657893	26.3390387487259	ITIH5,SERPINA3,CCL11,LAMA2,ADH1B,CELF2,C4BPA,EFEMP1,PLN,CCL2,SVEP1,ST3GAL6,CCIN,SLIT3,A2M,CSGALNACT1,IL1R1,PDE4DIP,ABCA8,FOS,SORBS1,SMAD6,SLC7A7,DES,NFIB,SERPING1,CD302	0.000458248874295443	0	0
16	CSR LATE UP.V1 DN	5.202646966361034e-05	2.6346186512655003	25.987240632133222	ACVRL1,TNXB,CCL11,CFH,MRGPRF,ACCS,CLEC3B,FGGY,CCL2,SVEP1,TRIM22,PRKG1,APOL3,ANKRD29,SFTPB,BTBD19,MME,SGIP1,TSC22D3,TBC1D2B,DAAM2,ALPI,EXOC6,PDE5A,VAMP5	0.0006048077098394701	0	0
17	MEL18 DN.V1 DN	0.00012194121313701973	2.6642356642356644	24.010015845789717	EGR1,PEG3,IL1R1,AK1,UNC5C,SEMA3E,FOS,SOCS2,ATXN3,RBP4,SH3BGRL,PLN,ID2,EPB41L3,PDE4B,EFHD1,PDE5A,DMD,APOE,PDE7B,A2M,PPARGC1A	0.0013341803319697452	0	0
18	RELA DN.V1 UP	0.0003635141907638724	2.5010804521276597	19.80778740459309	MYBPC3,PPP1R15A,EGR1,KDM5D,GADD45B,DAPP1,LMO7,FOS,FGF2,SIRPB1,AGPAT4,ZFP36,CLDN15,NOVA1,CCL2,FOSB,PDE5A,APOB,JUNB,PRKG1,LGMN	0.003756313304560015	0	0
19	HINATA NFKB IMMU INF	0.00038863311737605944	8.266039538472844	64.91217360712673	NFKBIA,IL6,CD83,TNFAIP2,CCL2,OLR1	0.0038045136753656343	0	0
20	HOXA9 DN.V1 UP	0.0004303442423914192	2.2575567668405863	17.498153421999543	RBM47,SNX10,IFI30,FRY,SAMHD1,MS4A4A,HLA-DMA,FCGRT,ST3GAL6,TRIM22,IL13RA1,TPK1,GDF15,FOS,IPCEF1,ARHGAP26,BST1,PTPRE,TYROBP,OSTM1,CRISPLD2,TFEC,ARHGEF3,PECAM1,MNDA	0.004002201454240199	0	0
21	IL15 UP.V1 DN	0.000740981650706933	2.204967532146634	15.892379991177169	CDKN1C,ARHGEF10,DNAI2,ATP8A1,SYT1,VWF,ACTN2,TSC22D3,PLCL1,TNFAIP2,PBXIP1,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,LGALS4,CHIT1,SELP,KCNQ1,MMP19,PTGDS,TNS3,PRKG1	0.006264663046885889	0	0
22	LEF1 UP.V1 DN	0.000740981650706933	2.204967532146634	15.892379991177169	MEF2C,RBM47,KDM5D,ATP8A1,LIMCH1,PROS1,TNNC1,HNF1B,CXCL5,PAPSS2,SELENBP1,RBP4,SH3BGRL,BDH2,KCNQ1,CAT,STAT4,EFHD1,CTSH,OLR1,VILL,TNS3,CFTR,SEC31B	0.006264663046885889	0	0
23	P53 DN.V1 DN	0.0008603185536632882	2.178483534513067	15.376189532255276	ARHGEF10,NRP2,KCNJ8,IL1R1,PTPRM,MITF,ITGAL,FBLN5,SOCS3,NR4A1,NAV3,APOC2,EPB41L3,APOC1,PDE4B,STAT4,CAPN3,ST3GAL5,ST3GAL6,VIM,TRIM22,LAT,MGLL,CDH19	0.006957358738320505	0	0
24	ESC V6.5 UP EARLY.V1 DN	0.0010219769455847366	2.235075075075075	15.390763500590733	TAGLN,WSB1,CAV1,PLCL2,CADPS,GPCPD1,FGF2,BMP4,SLC8A3,SOCS3,MRAS,COL4A2,COL4A1,AXL,CRY2,MGP,TIMP2,PMP22,UTS2,CEACAM21,CD37,JUNB	0.007920321328281708	0	0
25	MEK UP.V1 UP	0.0011497351053579262	2.127363260011065	14.398470448333562	CSGALNACT1,CADPS2,MEF2C,EDN1,PARM1,CHKA,PCDH9,LIMCH1,EPAS1,GDF15,GPX3,FHL1,SAMD4A,KRT7,NEDD9,SDCBP,PTPRE,NPC2,EHBP1L1,TIMP2,PPARG,TNS3,ABCG1,CCNJL	0.008554029183862971	0	0
