Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell adhesion molecules	4.6207814538518016e-09	4.611735258164037	88.51166051422331	ICAM2,NRXN3,PTPRM,ITGAL,CDH5,HLA-DMA,NCAM2,HLA-DOA,CD34,HLA-DQA1,JAM2,HLA-DPA1,CADM1,SELE,SELP,CD2,CLDN5,PTPRC,PECAM1,CD226,ESAM,SIGLEC1,CD22,ITGA9,HLA-DQB1	1.279956462716949e-06	0	0
2	Hematopoietic cell lineage	1.0551396977650105e-06	4.669535259182379	64.26138489973422	CSF1R,CSF3,IL1R1,IL11RA,IL5RA,CD2,HLA-DMA,IL7,CD37,HLA-DOA,CD34,MS4A1,HLA-DQA1,CD22,CD55,HLA-DPA1,HLA-DQB1	0.00014613684814045394	0	0
3	Dilated cardiomyopathy	3.271590547996862e-06	4.499881936245573	56.834563110507375	LAMA2,TNNC1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,IGF1,TTN,CACNB4,PLN,DES,SGCA,ITGA7,DMD,ITGA9	0.0003020768605983769	0	0
4	Hypertrophic cardiomyopathy	6.5950607698259165e-06	4.495754716981132	53.63071022202664	ACE,LAMA2,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,IGF1,TTN,CACNB4,DES,SGCA,ITGA7,DMD,ITGA9	0.0004567079583104447	0	0
5	Viral myocarditis	4.4714136847241376e-05	5.0294145827345025	50.37069777107199	HLA-DMA,CASP8,SGCA,LAMA2,DMD,ITGAL,HLA-DOA,HLA-DQA1,CD55,HLA-DPA1,HLA-DQB1	0.002094375166484691	0	0
6	Malaria	4.536552707187057e-05	5.597010550996483	55.97434836265984	SELP,CSF3,HGF,PECAM1,HBB,HBA2,ACKR1,ITGAL,TLR4,SELE	0.002094375166484691	0	0
7	Arrhythmogenic right ventricular cardiomyopathy	0.00010706349401455369	4.137467233119407	37.82509160064496	CACNB4,DES,SGCA,LAMA2,ACTN2,CACNA2D2,ITGA7,CACNA1D,DMD,CACNA2D4,CACNA1C,ITGA9	0.0042366554060044815	0	0
8	Vascular smooth muscle contraction	0.0002001683169309203	3.07086852541398	26.152597187447256	PPP1R14A,ARHGEF12,PPP1R12A,PRKCE,ADCY4,CACNA1D,CACNA1C,ADRA1A,ACTG2,MYLK,PLCB4,AGTR1,ARHGEF1,PPP1R12B,MYH10,PRKG1	0.0069308279737331155	0	0
9	Transcriptional misregulation in cancer	0.00024999523910051037	2.6159342326684873	21.696738198268804	CSF1R,ARNT2,MEF2C,DDX5,SPI1,KMT2A,HPGD,JMJD1C,MITF,IGF1,FLI1,PBX1,AFF1,MEIS1,ZEB1,ID2,REL,PPARG,ERG,RUNX1T1	0.007330292744914042	0	0
10	Adrenergic signaling in cardiomyocytes	0.00026463150703660805	2.8712561545708244	23.65103148794741	TNNC1,ADCY4,CACNA2D2,CACNA1D,ATP1A2,CACNA2D4,CACNA1C,ADRB2,ADRA1A,PIK3R5,KCNE1B,CACNB4,PLCB4,PLN,KCNQ1,AGTR1,SCN7A	0.007330292744914042	0	0
11	ECM-receptor interaction	0.0003879702091728814	3.536582348939328	27.778376065759986	TNXB,FRAS1,VWF,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,ITGA7,COL6A5,NPNT,ITGA9	0.009769795267353469	0	0
12	Leishmaniasis	0.0004478244210441956	3.7306338028169015	28.76732508521843	C3,NFKBIA,HLA-DMA,FCGR3B,CYBA,FOS,HLA-DOA,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.01033728038577018	0	0
13	cGMP-PKG signaling pathway	0.0009178984921979951	2.543569739952719	17.788261025110593	MEF2C,PPP1R12A,PRKCE,PDE2A,ADCY4,CACNA1D,ATP1A2,CACNA1C,ADRB2,ADRA1A,MYLK,PIK3R5,PLCB4,PLN,AGTR1,PDE5A,PRKG1	0.019558298641449586	0	0
14	Toxoplasmosis	0.001080217360666907	2.9411051693404633	20.08949237672354	CIITA,LAMA2,LAMA4,PIK3R5,NFKBIA,HLA-DMA,CASP8,HLA-DOA,CCR5,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0213728720646238	0	0
15	Osteoclast differentiation	0.001175666288082279	2.7761551851736037	18.727721448638242	CSF1R,SPI1,IL1R1,MITF,CYBA,FOS,SIRPB1,FOSL2,NFKBIA,SOCS3,TYROBP,FCGR3B,FOSB,PPARG	0.021710637453252753	0	0
16	Pathways in cancer	0.0016547032667295807	1.7418944003933863	11.155324424560773	CSF1R,SPI1,WNT2B,LAMA2,LAMA4,ADCY4,IL5RA,RASGRP2,CCND3,CASP8,RASSF5,STAT4,RUNX1T1,STAT5A,ARNT2,ARHGEF12,DAPK2,HGF,MITF,FOS,IGF1,GNG11,ESR1,NFKBIA,PLCB4,COL4A2,COL4A1,IL7,COL4A3,AGTR1,PPARG,ARHGEF1,IL6ST,FGFR4,SOS2,GSTM5,FGFR1,FGF10	0.028647050305255866	0	0
17	Focal adhesion	0.0028057485182184307	2.2063051702395966	12.96443654901002	TNXB,PPP1R12A,VWF,LAMA2,HGF,LAMA4,PARVA,IGF1,MYLK,CCND3,COL4A2,COL4A1,COL4A3,ITGA7,COL6A5,PPP1R12B,SOS2,ITGA9	0.045396499744738125	0	0
18	Regulation of actin cytoskeleton	0.0029499530520046436	2.142358712996261	12.481309071704938	CHRM1,ARHGEF12,PPP1R12A,IQGAP1,IQGAP2,ITGAL,MYLK,ACTR3C,DIAPH2,ITGAX,ITGA7,ARHGEF1,FGFR4,PPP1R12B,MYH10,SOS2,FGFR1,FGF10,ITGA9	0.045396499744738125	0	0
19	PI3K-Akt signaling pathway	0.003136902363106575	1.8577981651376148	10.70931370271271	CSF1R,CSF3,TNXB,CHRM1,LAMA2,LAMA4,PIK3R5,CCND3,MAGI1,VWF,ANGPT1,HGF,IGF1,GNG11,NR4A1,COL4A2,COL4A1,IL7,COL4A3,ITGA7,COL6A5,FGFR4,TLR4,SOS2,FGFR1,FGF10,ITGA9	0.04573273445160639	0	0
20	Complement and coagulation cascades	0.003560637328038424	2.979601406799531	16.798443666712082	C3,SERPINA1,VWF,F10,ITGAX,C4BPA,VSIG4,TFPI,A2M,CD55	0.04931482699333217	0	0
