Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	4.0074737844469965e-09	4.047652675405688	78.26178856404275	CPM,RBM47,TNFAIP2,PTPN22,FRY,ITGAL,AIF1,HLA-DMA,SPTLC3,ENPP2,ANXA6,ITGAX,SH3BP5,ST3GAL6,PTGDS,ATP8B4,VWF,PDE4D,CRIM1,EMP1,TM6SF1,ARHGAP25,DCN,TYROBP,CACNB4,ARHGEF3,MNDA,CD69,HLA-DQB1	7.293602287693533e-07	0	0
2	KRAS.KIDNEY UP.V1 UP	2.7441132623554194e-07	4.043850236362054	61.097067995055966	MEF2C,VIPR2,RTN1,NRN1,SYT1,PEG3,PCDH9,LIMCH1,LMO3,PLCL1,EMP1,ANK2,ATP1A2,SORBS1,SOBP,DNM3,EPB41L3,PECAM1,SPARCL1,ST3GAL6,A2M,ASPA	2.4971430687434317e-05	0	0
3	CRX DN.V1 DN	1.236213171659644e-06	3.958918648935506	53.85498255597224	CADPS2,EGR1,PPP1R14A,MYOCD,STEAP4,TNFRSF13B,KSR1,RNASE4,FMN1,GNG11,SEL1L3,SOCS3,RBP4,COL4A2,GLIPR2,GDAP1L1,MAP3K8,RGL3,TECTA,TGM2	7.49969324140184e-05	0	0
4	MEL18 DN.V1 DN	5.920933153552511e-06	3.523317022538553	42.410225114595576	EGR1,PEG3,IL1R1,COL14A1,AK1,UNC5C,FOS,SOCS2,RBP4,SH3BGRL,PLN,ID2,STK17B,EPB41L3,EFHD1,PDE5A,DMD,PDE7B,A2M,PPARGC1A	0.00026940245848663925	0	0
5	IL15 UP.V1 DN	8.038419292131937e-06	3.1102794411177643	36.48755309109347	CDKN1C,DNAI2,ATP8A1,SYT1,VWF,ACTN2,TSC22D3,PLCL1,TNFAIP2,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,EPS8,CHIT1,SELP,TCEAL4,KCNQ1,MMP19,PTGDS,TNS3,PRKG1	0.0002925984622336025	0	0
6	ATF2 UP.V1 DN	1.976600590799944e-05	3.007847800237812	32.579644724219854	ITIH5,ARNT2,ATP8B4,DGKD,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,MFAP4,PLN,PER3,NFIB,REV3L,ARHGEF3,SVEP1,SLIT3,CD200	0.0005230365490712756	0	0
7	KRAS.600 UP.V1 UP	2.0116790348895215e-05	2.5444342200658077	27.51539906676839	NRP1,CSF3,DOCK4,RTN1,CTNND2,HPN,ATP1A2,TFPI,ZNF529,ST3GAL6,A2M,TGM2,SYT1,PEG3,PCDH9,LIMCH1,LMO3,NTRK3,PDE2A,LAPTM5,EMP1,RNASE1,GNG11,DNM3,RBP4,ZEB1,NAV3,MGAT4A,TLR4	0.0005230365490712756	0	0
8	BMI1 DN MEL18 DN.V1 DN	6.498023691701462e-05	3.138791798541351	30.26243319200919	PEG3,IL1R1,COL14A1,GPX3,LMO3,AK1,UNC5C,FOS,SOCS2,RBP4,FCGRT,ID2,EFHD1,ITGA7,PDE5A,PDE7B,A2M,PPARGC1A	0.0014783003898620826	0	0
9	ESC V6.5 UP LATE.V1 UP	7.616376710855156e-05	2.7992522733980802	26.544258764986044	PARM1,EPB41,GPX3,TNNC1,HPN,CYBA,HNF1B,SH3RF1,SEL1L3,SGCE,RBP4,COL4A2,COL4A1,PODXL,PLAGL1,CA4,RGL3,SLIT3,ZNF521,LPIN2,CD55	0.0015402006237507093	0	0
10	EGFR UP.V1 UP	9.546786650547688e-05	2.749993095067116	25.45591840253635	ARNT2,CADPS2,MBNL2,PCDH9,IL1R1,ARAP2,TFPI,KLF4,PAPSS2,ETS2,ACTG2,SEL1L3,RND1,SOCS2,SDCBP,CRISPLD2,PLAGL1,MGAT4A,A2M,TNS3,MGLL	0.0017375151703996792	0	0
11	CAMP UP.V1 DN	0.00015828041349498612	2.64147613423745	23.115933609429934	CD83,ARHGEF12,ATP8A1,DST,RALGAPA1,STXBP1,CELF2,FOXN3,FRY,ETS2,SEL1L3,ZFP36,ABLIM1,PTPRC,MYO15B,ID2,EPB41L3,TIMP2,FOSB,SVEP1,MYH10	0.0026188213869170435	0	0
12	LTE2 UP.V1 UP	0.00021737043925389697	2.6469890447282114	22.32446093281711	UNC13B,SERPINA1,PCDH9,IL1R1,GPX3,ACTG2,ASRGL1,PNRC1,SDCBP,DIAPH2,PLCB4,NOVA1,ELF5,PLAGL1,MGAT4A,ANXA6,KIF13B,FGFR4,TNS3,SASH1	0.003264563316341276	0	0
