Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	tumor necrosis factor binding (GO:0043120)	0.0004999362185987752	4998.5	37993.74860736107	A2M	0.007749011388281016	0	0
2	C-X-C chemokine binding (GO:0019958)	0.0004999362185987752	4998.5	37993.74860736107	A2M	0.007749011388281016	0	0
3	interleukin-1 binding (GO:0019966)	0.0008997988691311835	2498.75	17524.581571772524	A2M	0.009297921647688896	0	0
4	MAP kinase kinase activity (GO:0004708)	0.0014994446955652384	1427.4285714285713	9282.083305740876	LRRK2	0.011620696390630597	0	0
5	syntaxin-1 binding (GO:0017075)	0.0021988055850330917	951.2857142857143	5821.717299823695	LRRK2	0.01363259462720517	0	0
6	protein serine/threonine/tyrosine kinase activity (GO:0004712)	0.0027980636576703175	739.6666666666666	4348.372853162505	LRRK2	0.01445666223129664	0	0
7	signaling receptor complex adaptor activity (GO:0030159)	0.0038962373924015473	525.2631578947369	2914.025513048134	LRRK2	0.015484660582801919	0	0
8	peptidase inhibitor activity (GO:0030414)	0.003996041440723076	511.7692307692308	2826.220524641283	A2M	0.015484660582801919	0	0
9	endopeptidase regulator activity (GO:0061135)	0.004594760937859201	443.4	2386.7506135617996	A2M	0.01582639878595947	0	0
10	serine-type endopeptidase inhibitor activity (GO:0004867)	0.0059910742376778365	337.9491525423729	1729.4495649366188	A2M	0.015992041495075156	0	0
11	protein serine/threonine phosphatase activity (GO:0004722)	0.006190467675512963	326.8360655737705	1661.8779331552414	LRRK2	0.015992041495075156	0	0
12	syntaxin binding (GO:0019905)	0.006190467675512963	326.8360655737705	1661.8779331552414	LRRK2	0.015992041495075156	0	0
13	kinase activity (GO:0016301)	0.011168809427044516	179.16216216216216	805.2676751854874	LRRK2	0.024315100045943876	0	0
14	endopeptidase inhibitor activity (GO:0004866)	0.011467112696561406	174.42105263157896	779.3607241853069	A2M	0.024315100045943876	0	0
15	protease binding (GO:0002020)	0.011765370989972842	169.92307692307693	754.8993650142176	A2M	0.024315100045943876	0	0
16	magnesium ion binding (GO:0000287)	0.014546946009083262	136.91724137931035	579.2111659699091	LRRK2	0.02818470789259882	0	0
17	small GTPase binding (GO:0031267)	0.017423731959283654	113.93103448275862	461.41181400948415	LRRK2	0.029921060461176863	0	0
18	actin binding (GO:0003779)	0.017621976035732772	112.625	454.8482842772131	LRRK2	0.029921060461176863	0	0
19	GTP binding (GO:0005525)	0.018811020597923923	105.37234042553192	418.6772246041432	LRRK2	0.029921060461176863	0	0
20	GTPase binding (GO:0051020)	0.01999934532436261	98.99	387.2543976774345	LRRK2	0.029921060461176863	0	0
21	guanyl ribonucleotide binding (GO:0032561)	0.021285884786567393	92.88732394366197	357.589363151427	LRRK2	0.029921060461176863	0	0
22	GTPase activity (GO:0003924)	0.021483738948424244	92.0139534883721	353.3758119344102	LRRK2	0.029921060461176863	0	0
23	microtubule binding (GO:0008017)	0.023065852373515747	85.57142857142857	322.55311463116965	LRRK2	0.029921060461176863	0	0
24	GTPase regulator activity (GO:0030695)	0.023164691969943377	85.19827586206897	320.78224849553374	LRRK2	0.029921060461176863	0	0
25	nucleoside-triphosphatase activity (GO:0017111)	0.02760729954929241	71.19494584837545	255.56672185192167	LRRK2	0.03423305144112258	0	0
26	tubulin binding (GO:0015631)	0.030464948962044224	64.3529411764706	224.66760275386966	LRRK2	0.036323592993206574	0	0
27	GTPase activator activity (GO:0005096)	0.03331839376607531	58.6955223880597	199.66136952958874	LRRK2	0.03775889790549794	0	0
28	protein serine/threonine kinase activity (GO:0004674)	0.03410481101141749	57.30320699708455	193.58838799610092	LRRK2	0.03775889790549794	0	0
29	purine ribonucleoside triphosphate binding (GO:0035639)	0.0454719030091012	42.568627450980394	131.56518221508796	LRRK2	0.048607896320073694	0	0
