Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	KRAS.50 UP.V1 UP	0.004794294174934743	424.48936170212767	2266.9127558249947	A2M	0.029184453655292562	0	0
2	KRAS.KIDNEY UP.V1 UP	0.014447671516019701	137.875	584.206985754933	A2M	0.029184453655292562	0	0
3	KRAS.LUNG.BREAST UP.V1 UP	0.014447671516019701	137.875	584.206985754933	A2M	0.029184453655292562	0	0
4	KRAS.300 UP.V1 UP	0.014546946009083262	136.91724137931035	579.2111659699091	A2M	0.029184453655292562	0	0
5	KRAS.BREAST UP.V1 UP	0.014546946009083262	136.91724137931035	579.2111659699091	A2M	0.029184453655292562	0	0
6	BMI1 DN MEL18 DN.V1 DN	0.014646215501499311	135.97260273972603	574.2902550659267	A2M	0.029184453655292562	0	0
7	MEL18 DN.V1 DN	0.01474547999620996	135.0408163265306	569.4426374009993	A2M	0.029184453655292562	0	0
8	CSR EARLY UP.V1 DN	0.015340962001823399	129.7058823529412	541.8111437954401	LRRK2	0.029184453655292562	0	0
9	ATF2 S UP.V1 DN	0.018612896489265424	106.51612903225806	424.3496681125001	A2M	0.029184453655292562	0	0
10	EGFR UP.V1 UP	0.01920720882058677	103.15625	407.72194331075906	A2M	0.029184453655292562	0	0
11	CYCLIN D1 KE .V1 DN	0.019306243382999962	102.61658031088083	405.0611718426778	A2M	0.029184453655292562	0	0
12	KRAS.600 UP.V1 UP	0.028494606216670094	68.92307692307692	245.23109667661214	A2M	0.029184453655292562	0	0
13	KRAS.600.LUNG.BREAST UP.V1 UP	0.028593170849772177	68.6794425087108	244.12707899878805	A2M	0.029184453655292562	0	0
14	STK33 SKM DN	0.028593170849772177	68.6794425087108	244.12707899878805	LRRK2	0.029184453655292562	0	0
15	STK33 DN	0.028691730483428914	68.4375	243.0315772469316	LRRK2	0.029184453655292562	0	0
16	STK33 NOMO DN	0.028987379387625592	67.72164948453609	239.79523225768318	LRRK2	0.029184453655292562	0	0
17	STK33 NOMO UP	0.029184453655292562	67.25255972696246	237.6785572372079	A2M	0.029184453655292562	0	0
